"Index","SourceBatch","SpecId","Type","Section10","Order","VariantIndex","VariantLabel","MainMissionId","LevelName","Category","RoleInSection","ProductionLane","ProductionStyleFamily","ProductionChainLanguage","ProductionDifficultyBand","ExperienceRole","ReviewOnly","StyleHint","ProfileHint","PlannedWidth","PlannedHeight","PlannedAspect","PlannedCanvasBand","PlannedTargetChains","TargetChainsMin","TargetChainsMax","ReferenceArrowTiles","ReferenceMaxChainLength","LevelId","AssetPath","Width","Height","Chains","TargetChains","Arrows","Coverage","TargetCoverage","OuterBandCoverage","InitialMovableChains","EdgeHeadChains","ShortChains","GreedyMoves","AvgChain","MaxChain","Straightness","BlockLinks","PortableSolved","PortableOpeners","PortableScore","PortableQuality","Attempts","Status"
"1","Campaign500NormalFullV1:h01r","nutation_strict_mixed_choiceclamp_v1_rect_s03_o025_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","nutation_strict_mixed_choiceclamp_v1_rect_s03_o025_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","3","25","0","v00","125","Main/Level_Main_25","normal","Hard","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Hard","FixedFront40","0","lock","PSG_Normal_lock_Hard_FixedFront40","23","31","0.742","M_PeelMid","98","88","108","728","13","c5hole_lowchoice_v1_h01r_01_nutation_strict_mixed_choiceclamp_v1_rect_s03_o025_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_01_nutation_strict_mixed_choiceclamp_v1_rect_s03_o025_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","23","31","72","72","702","0.985","0.940","1.000","3","6","19","72","9.75","21","0.477","343","True","3","187.3","ok","134","Style=PressureHard | Score=24252 | TargetInitial=5 | OpeningRatio=0.056 | Straightness=0.477 | EarlyChoices=25.4/60 | LocalRun=5 | Jump=10.5 | NearRate=0.48 | Peel style=PressureHard seed=704873083 fill=702/713(0.985) chains=72 remaining=11 rejectedShort=0 failedPeels=1 | FlipGate=ops=1 initial=4->3 edgeHeads=7->6 earlyChoices=24.3/60 localRun=7 jump=8.6 near=0.61 targetInitial=3"
"2","Campaign500NormalFullV1:h01r","nutation_strict_mixed_choiceclamp_v1_rect_s03_o025_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1","nutation_strict_mixed_choiceclamp_v1_rect_s03_o025_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1","3","25","1","v01","125","Main/Level_Main_25","normal","Hard","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Hard","FixedFront40","0","lock","PSG_Normal_lock_Hard_FixedFront40","23","31","0.742","M_PeelMid","98","88","108","728","13","c5hole_lowchoice_v1_h01r_02_nutation_strict_mixed_choiceclamp_v1_rect_s03_o025_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_02_nutation_strict_mixed_choiceclamp_v1_rect_s03_o025_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","23","31","76","72","698","0.979","0.940","0.960","3","6","23","76","9.18","21","0.447","319","True","3","185.5","ok","245","Style=PressureHard | Score=25434 | TargetInitial=5 | OpeningRatio=0.039 | Straightness=0.447 | EarlyChoices=23.4/50 | LocalRun=4 | Jump=7.4 | NearRate=0.58 | Peel style=PressureHard seed=716507210 fill=698/713(0.979) chains=76 remaining=15 rejectedShort=0 failedPeels=1"
"3","Campaign500NormalFullV1:h01r","nutation_strict_mixed_choiceclamp_v1_rect_s03_o025_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1","nutation_strict_mixed_choiceclamp_v1_rect_s03_o025_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1","3","25","2","v02","125","Main/Level_Main_25","normal","Hard","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Hard","FixedFront40","0","lock","PSG_Normal_lock_Hard_FixedFront40","23","31","0.742","M_PeelMid","98","88","108","728","13","c5hole_lowchoice_v1_h01r_03_nutation_strict_mixed_choiceclamp_v1_rect_s03_o025_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_03_nutation_strict_mixed_choiceclamp_v1_rect_s03_o025_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","23","31","71","72","698","0.979","0.940","0.970","1","3","18","71","9.83","21","0.504","348","True","1","181.9","long-straight-run","391","Style=PressureHard | Score=25513 | TargetInitial=5 | OpeningRatio=0.014 | Straightness=0.504 | EarlyChoices=27.3/58 | LocalRun=5 | Jump=7.3 | NearRate=0.61 | Peel style=PressureHard seed=731806852 fill=698/713(0.979) chains=71 remaining=15 rejectedShort=0 failedPeels=1"
"4","Campaign500NormalFullV1:h01r","nutation_strict_mixed_choiceclamp_v1_rect_s03_o025_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1","nutation_strict_mixed_choiceclamp_v1_rect_s03_o025_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1","3","25","3","v03","125","Main/Level_Main_25","normal","Hard","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Hard","FixedFront40","0","lock","PSG_Normal_lock_Hard_FixedFront40","23","31","0.742","M_PeelMid","98","88","108","728","13","c5hole_lowchoice_v1_h01r_04_nutation_strict_mixed_choiceclamp_v1_rect_s03_o025_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_04_nutation_strict_mixed_choiceclamp_v1_rect_s03_o025_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","23","31","71","72","705","0.989","0.940","0.985","3","5","19","71","9.93","21","0.476","404","True","3","172.3","ok","147","Style=PressureHard | Score=32993 | TargetInitial=5 | OpeningRatio=0.042 | Straightness=0.476 | EarlyChoices=22.7/49 | LocalRun=6 | Jump=9.5 | NearRate=0.52 | Peel style=PressureHard seed=706262184 fill=705/713(0.989) chains=71 remaining=8 rejectedShort=0 failedPeels=1"
"5","Campaign500NormalFullV1:h01r","nutation_strict_mixed_choiceclamp_v1_rect_s03_o025_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1","nutation_strict_mixed_choiceclamp_v1_rect_s03_o025_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1","3","25","4","v04","125","Main/Level_Main_25","normal","Hard","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Hard","FixedFront40","0","lock","PSG_Normal_lock_Hard_FixedFront40","23","31","0.742","M_PeelMid","98","88","108","728","13","c5hole_lowchoice_v1_h01r_05_nutation_strict_mixed_choiceclamp_v1_rect_s03_o025_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_05_nutation_strict_mixed_choiceclamp_v1_rect_s03_o025_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","23","31","75","72","708","0.993","0.940","0.995","3","7","26","75","9.44","21","0.518","372","True","3","188.4","ok","240","Style=PressureHard | Score=22117 | TargetInitial=5 | OpeningRatio=0.040 | Straightness=0.518 | EarlyChoices=23.3/58 | LocalRun=6 | Jump=6.3 | NearRate=0.71 | Peel style=PressureHard seed=716011189 fill=708/713(0.993) chains=75 remaining=5 rejectedShort=0 failedPeels=1"
"6","Campaign500NormalFullV1:h01r","nutation_strict_mixed_choiceclamp_v1_rect_s03_o025_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1","nutation_strict_mixed_choiceclamp_v1_rect_s03_o025_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1","3","25","5","v05","125","Main/Level_Main_25","normal","Hard","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Hard","FixedFront40","0","lock","PSG_Normal_lock_Hard_FixedFront40","23","31","0.742","M_PeelMid","98","88","108","728","13","c5hole_lowchoice_v1_h01r_06_nutation_strict_mixed_choiceclamp_v1_rect_s03_o025_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_06_nutation_strict_mixed_choiceclamp_v1_rect_s03_o025_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","23","31","71","72","709","0.994","0.940","0.985","1","7","20","71","9.99","21","0.506","376","True","1","188.0","ok","94","Style=PressureHard | Score=20532 | TargetInitial=5 | OpeningRatio=0.014 | Straightness=0.506 | EarlyChoices=29.8/54 | LocalRun=8 | Jump=6.7 | NearRate=0.65 | Peel style=PressureHard seed=700729963 fill=709/713(0.994) chains=71 remaining=4 rejectedShort=0 failedPeels=1"
"7","Campaign500NormalFullV1:h01r","nutation_strict_mixed_hard_v1_rect_s03_o025_v00_strictmixedhard_strict_hard_chain_hf1","nutation_strict_mixed_hard_v1_rect_s03_o025_v00_strictmixedhard_strict_hard_chain_hf1","3","25","0","v00","125","Main/Level_Main_25","normal","Hard","StrictMixedHard","strict_mixed_dependency","strict_hard_chain_hf1","Hard","FixedFront40","0","lock","PSG_Normal_lock_Hard_FixedFront40","23","31","0.742","M_PeelMid","98","88","108","728","13","c5hole_lowchoice_v1_h01r_07_nutation_strict_mixed_hard_v1_rect_s03_o025_v00_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_07_nutation_strict_mixed_hard_v1_rect_s03_o025_v00_strictmixedhard_strict_hard_chain_hf1.asset","23","31","77","84","702","0.985","0.950","0.980","2","5","28","77","9.12","21","0.445","394","True","2","186.6","ok","31","Style=PressureHard | Score=19665 | TargetInitial=5 | OpeningRatio=0.026 | Straightness=0.445 | EarlyChoices=23.2/60 | LocalRun=6 | Jump=6.7 | NearRate=0.61 | Peel style=PressureHard seed=1138819597 fill=702/713(0.985) chains=77 remaining=11 rejectedShort=0 failedPeels=1"
"8","Campaign500NormalFullV1:h01r","nutation_strict_mixed_hard_v1_rect_s03_o025_v01_strictmixedhard_strict_hard_chain_hf1","nutation_strict_mixed_hard_v1_rect_s03_o025_v01_strictmixedhard_strict_hard_chain_hf1","3","25","1","v01","125","Main/Level_Main_25","normal","Hard","StrictMixedHard","strict_mixed_dependency","strict_hard_chain_hf1","Hard","FixedFront40","0","lock","PSG_Normal_lock_Hard_FixedFront40","23","31","0.742","M_PeelMid","98","88","108","728","13","c5hole_lowchoice_v1_h01r_08_nutation_strict_mixed_hard_v1_rect_s03_o025_v01_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_08_nutation_strict_mixed_hard_v1_rect_s03_o025_v01_strictmixedhard_strict_hard_chain_hf1.asset","23","31","77","84","700","0.982","0.950","0.985","3","10","28","77","9.09","21","0.485","355","True","3","186.7","ok","220","Style=PressureHard | Score=12092 | TargetInitial=5 | OpeningRatio=0.039 | Straightness=0.485 | EarlyChoices=23.9/58 | LocalRun=6 | Jump=9.1 | NearRate=0.58 | Peel style=PressureHard seed=1158622586 fill=700/713(0.982) chains=77 remaining=13 rejectedShort=0 failedPeels=1"
"9","Campaign500NormalFullV1:h01r","nutation_strict_mixed_hard_v1_rect_s03_o025_v02_strictmixedhard_strict_hard_chain_hf1","nutation_strict_mixed_hard_v1_rect_s03_o025_v02_strictmixedhard_strict_hard_chain_hf1","3","25","2","v02","125","Main/Level_Main_25","normal","Hard","StrictMixedHard","strict_mixed_dependency","strict_hard_chain_hf1","Hard","FixedFront40","0","lock","PSG_Normal_lock_Hard_FixedFront40","23","31","0.742","M_PeelMid","98","88","108","728","13","c5hole_lowchoice_v1_h01r_09_nutation_strict_mixed_hard_v1_rect_s03_o025_v02_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_09_nutation_strict_mixed_hard_v1_rect_s03_o025_v02_strictmixedhard_strict_hard_chain_hf1.asset","23","31","78","84","707","0.992","0.950","0.990","4","5","21","78","9.06","21","0.425","429","True","4","188.2","ok","42","Style=PressureHard | Score=24547 | TargetInitial=5 | OpeningRatio=0.064 | Straightness=0.425 | EarlyChoices=25.3/52 | LocalRun=6 | Jump=11.6 | NearRate=0.58 | Peel style=PressureHard seed=1139990032 fill=707/713(0.992) chains=78 remaining=6 rejectedShort=0 failedPeels=1 | FlipGate=ops=1 initial=5->4 edgeHeads=6->5 earlyChoices=24.6/52 localRun=6 jump=10.8 near=0.61 targetInitial=3"
"10","Campaign500NormalFullV1:h01r","nutation_strict_mixed_hard_v1_rect_s03_o025_v03_strictmixedhard_strict_hard_chain_hf1","nutation_strict_mixed_hard_v1_rect_s03_o025_v03_strictmixedhard_strict_hard_chain_hf1","3","25","3","v03","125","Main/Level_Main_25","normal","Hard","StrictMixedHard","strict_mixed_dependency","strict_hard_chain_hf1","Hard","FixedFront40","0","lock","PSG_Normal_lock_Hard_FixedFront40","23","31","0.742","M_PeelMid","98","88","108","728","13","c5hole_lowchoice_v1_h01r_10_nutation_strict_mixed_hard_v1_rect_s03_o025_v03_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_10_nutation_strict_mixed_hard_v1_rect_s03_o025_v03_strictmixedhard_strict_hard_chain_hf1.asset","23","31","77","84","705","0.989","0.950","0.990","2","7","24","77","9.16","21","0.506","396","True","2","185.0","ok","307","Style=PressureHard | Score=18586 | TargetInitial=5 | OpeningRatio=0.026 | Straightness=0.506 | EarlyChoices=24.5/62 | LocalRun=6 | Jump=7.2 | NearRate=0.58 | Peel style=PressureHard seed=1167752425 fill=705/713(0.989) chains=77 remaining=8 rejectedShort=0 failedPeels=1"
