"selected","levelId","path","source","order","section10","variantIndex","variantLabel","productionLane","productionChainLanguage","productionDifficultyBand","coverage","chains","portableOpeners","status"
"1","c5hole_lowchoice_v1_h01r_25_nutation_strict_mixed_choiceclamp_v1_rect_s05_o047_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_25_nutation_strict_mixed_choiceclamp_v1_rect_s05_o047_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h01r_order47","47","5","0","v00","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Peak","0.982","80","4","Style=PressureHard | Score=28149 | TargetInitial=6 | OpeningRatio=0.050 | Straightness=0.519 | EarlyChoices=24.6/40 | LocalRun=6 | Jump=8.5 | NearRate=0.65 | Peel style=PressureHard seed=1216149247 fill=754/768(0.982) chains=80 remaining=14 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h01r_26_nutation_strict_mixed_choiceclamp_v1_rect_s05_o047_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_26_nutation_strict_mixed_choiceclamp_v1_rect_s05_o047_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h01r_order47","47","5","1","v01","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Peak","0.975","74","3","Style=PressureHard | Score=23026 | TargetInitial=5 | OpeningRatio=0.041 | Straightness=0.488 | EarlyChoices=28.9/60 | LocalRun=6 | Jump=7.8 | NearRate=0.55 | Peel style=PressureHard seed=1233752863 fill=749/768(0.975) chains=74 remaining=19 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h01r_27_nutation_strict_mixed_choiceclamp_v1_rect_s05_o047_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_27_nutation_strict_mixed_choiceclamp_v1_rect_s05_o047_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h01r_order47","47","5","2","v02","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Peak","0.982","75","1","Style=PressureHard | Score=27648 | TargetInitial=5 | OpeningRatio=0.013 | Straightness=0.502 | EarlyChoices=24.7/60 | LocalRun=7 | Jump=7.5 | NearRate=0.55 | Peel style=PressureHard seed=1231772156 fill=754/768(0.982) chains=75 remaining=14 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h01r_28_nutation_strict_mixed_choiceclamp_v1_rect_s05_o047_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_28_nutation_strict_mixed_choiceclamp_v1_rect_s05_o047_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h01r_order47","47","5","3","v03","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Peak","0.992","77","3","Style=PressureHard | Score=23835 | TargetInitial=5 | OpeningRatio=0.039 | Straightness=0.503 | EarlyChoices=28.0/60 | LocalRun=4 | Jump=11.5 | NearRate=0.35 | Peel style=PressureHard seed=1216386137 fill=762/768(0.992) chains=77 remaining=6 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h01r_29_nutation_strict_mixed_choiceclamp_v1_rect_s05_o047_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_29_nutation_strict_mixed_choiceclamp_v1_rect_s05_o047_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h01r_order47","47","5","4","v04","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Peak","0.991","80","2","Style=PressureHard | Score=29181 | TargetInitial=6 | OpeningRatio=0.025 | Straightness=0.494 | EarlyChoices=23.8/47 | LocalRun=6 | Jump=6.5 | NearRate=0.68 | Peel style=PressureHard seed=1233151921 fill=761/768(0.991) chains=80 remaining=7 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h01r_30_nutation_strict_mixed_choiceclamp_v1_rect_s05_o047_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_30_nutation_strict_mixed_choiceclamp_v1_rect_s05_o047_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h01r_order47","47","5","5","v05","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Peak","0.983","76","3","Style=PressureHard | Score=22489 | TargetInitial=5 | OpeningRatio=0.039 | Straightness=0.474 | EarlyChoices=28.6/56 | LocalRun=6 | Jump=9.4 | NearRate=0.58 | Peel style=PressureHard seed=1240282637 fill=755/768(0.983) chains=76 remaining=13 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h01r_31_nutation_strict_mixed_peak_v1_rect_s05_o047_v00_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_31_nutation_strict_mixed_peak_v1_rect_s05_o047_v00_strictmixedpeak_strict_peak_chain_hf1.asset","c5hole_lowchoice_v1_h01r_order47","47","5","0","v00","StrictMixedPeak","strict_peak_chain_hf1","Peak","0.983","84","3","Style=PressureHard | Score=18116 | TargetInitial=6 | OpeningRatio=0.036 | Straightness=0.480 | EarlyChoices=23.8/65 | LocalRun=8 | Jump=8.5 | NearRate=0.71 | Peel style=PressureHard seed=189961369 fill=755/768(0.983) chains=84 remaining=13 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h01r_32_nutation_strict_mixed_peak_v1_rect_s05_o047_v01_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_32_nutation_strict_mixed_peak_v1_rect_s05_o047_v01_strictmixedpeak_strict_peak_chain_hf1.asset","c5hole_lowchoice_v1_h01r_order47","47","5","1","v01","StrictMixedPeak","strict_peak_chain_hf1","Peak","0.987","86","1","Style=PressureHard | Score=21727 | TargetInitial=6 | OpeningRatio=0.012 | Straightness=0.481 | EarlyChoices=23.4/46 | LocalRun=10 | Jump=5.6 | NearRate=0.77 | Peel style=PressureHard seed=211230564 fill=758/768(0.987) chains=86 remaining=10 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h01r_33_nutation_strict_mixed_peak_v1_rect_s05_o047_v02_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_33_nutation_strict_mixed_peak_v1_rect_s05_o047_v02_strictmixedpeak_strict_peak_chain_hf1.asset","c5hole_lowchoice_v1_h01r_order47","47","5","2","v02","StrictMixedPeak","strict_peak_chain_hf1","Peak","0.982","86","3","Style=PressureHard | Score=29121 | TargetInitial=6 | OpeningRatio=0.035 | Straightness=0.455 | EarlyChoices=24.8/47 | LocalRun=6 | Jump=7.0 | NearRate=0.65 | Peel style=PressureHard seed=199091208 fill=754/768(0.982) chains=86 remaining=14 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h01r_34_nutation_strict_mixed_peak_v1_rect_s05_o047_v03_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_34_nutation_strict_mixed_peak_v1_rect_s05_o047_v03_strictmixedpeak_strict_peak_chain_hf1.asset","c5hole_lowchoice_v1_h01r_order47","47","5","3","v03","StrictMixedPeak","strict_peak_chain_hf1","Peak","0.984","81","4","Style=PressureHard | Score=20412 | TargetInitial=6 | OpeningRatio=0.049 | Straightness=0.481 | EarlyChoices=20.7/45 | LocalRun=10 | Jump=7.4 | NearRate=0.68 | Peel style=PressureHard seed=173127624 fill=756/768(0.984) chains=81 remaining=12 rejectedShort=0 failedPeels=1"
