"Index","SourceBatch","SpecId","Type","Section10","Order","VariantIndex","VariantLabel","MainMissionId","LevelName","Category","RoleInSection","ProductionLane","ProductionStyleFamily","ProductionChainLanguage","ProductionDifficultyBand","ExperienceRole","ReviewOnly","StyleHint","ProfileHint","PlannedWidth","PlannedHeight","PlannedAspect","PlannedCanvasBand","PlannedTargetChains","TargetChainsMin","TargetChainsMax","ReferenceArrowTiles","ReferenceMaxChainLength","LevelId","AssetPath","Width","Height","Chains","TargetChains","Arrows","Coverage","TargetCoverage","OuterBandCoverage","InitialMovableChains","EdgeHeadChains","ShortChains","GreedyMoves","AvgChain","MaxChain","Straightness","BlockLinks","PortableSolved","PortableOpeners","PortableScore","PortableQuality","Attempts","Status"
"37","Campaign500NormalFullV1:h01r","nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","6","56","0","v00","156","Main/Level_Main_56","normal","Peak","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Peak","Pressure","0","dense","PSG_Normal_dense_VeryHard_Pressure","22","30","0.733","S_Peak","96","86","106","734","13","c5hole_lowchoice_v1_h01r_37_nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_37_nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","22","30","64","72","653","0.989","0.940","0.984","3","6","19","64","10.20","21","0.495","269","True","3","168.9","ok","145","Style=PressureHard | Score=22250 | TargetInitial=4 | OpeningRatio=0.047 | Straightness=0.495 | EarlyChoices=20.5/42 | LocalRun=5 | Jump=7.4 | NearRate=0.55 | Peel style=PressureHard seed=808784920 fill=653/660(0.989) chains=64 remaining=7 rejectedShort=0 failedPeels=1"
"38","Campaign500NormalFullV1:h01r","nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1","nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1","6","56","1","v01","156","Main/Level_Main_56","normal","Peak","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Peak","Pressure","0","dense","PSG_Normal_dense_VeryHard_Pressure","22","30","0.733","S_Peak","96","86","106","734","13","c5hole_lowchoice_v1_h01r_38_nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_38_nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","22","30","67","72","654","0.991","0.940","1.000","3","8","20","67","9.76","21","0.452","278","True","3","179.4","ok","130","Style=PressureHard | Score=16589 | TargetInitial=5 | OpeningRatio=0.045 | Straightness=0.452 | EarlyChoices=24.8/46 | LocalRun=4 | Jump=6.5 | NearRate=0.58 | Peel style=PressureHard seed=807223193 fill=654/660(0.991) chains=67 remaining=6 rejectedShort=0 failedPeels=1"
"39","Campaign500NormalFullV1:h01r","nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1","nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1","6","56","2","v02","156","Main/Level_Main_56","normal","Peak","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Peak","Pressure","0","dense","PSG_Normal_dense_VeryHard_Pressure","22","30","0.733","S_Peak","96","86","106","734","13","c5hole_lowchoice_v1_h01r_39_nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_39_nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","22","30","67","72","649","0.983","0.940","0.974","4","7","22","67","9.69","21","0.491","325","True","4","174.5","ok","335","Style=PressureHard | Score=18290 | TargetInitial=5 | OpeningRatio=0.060 | Straightness=0.491 | EarlyChoices=23.5/38 | LocalRun=7 | Jump=6.2 | NearRate=0.65 | Peel style=PressureHard seed=828701846 fill=649/660(0.983) chains=67 remaining=11 rejectedShort=0 failedPeels=1 | FlipGate=ops=1 initial=4->4 edgeHeads=8->7 earlyChoices=23.5/38 localRun=7 jump=6.2 near=0.65 targetInitial=3"
"40","Campaign500NormalFullV1:h01r","nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1","nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1","6","56","3","v03","156","Main/Level_Main_56","normal","Peak","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Peak","Pressure","0","dense","PSG_Normal_dense_VeryHard_Pressure","22","30","0.733","S_Peak","96","86","106","734","13","c5hole_lowchoice_v1_h01r_40_nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_40_nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","22","30","76","72","649","0.983","0.940","0.979","3","6","31","76","8.54","21","0.513","389","True","3","185.6","ok","119","Style=PressureHard | Score=13800 | TargetInitial=5 | OpeningRatio=0.053 | Straightness=0.513 | EarlyChoices=23.5/62 | LocalRun=6 | Jump=7.6 | NearRate=0.55 | Peel style=PressureHard seed=806089590 fill=649/660(0.983) chains=76 remaining=11 rejectedShort=0 failedPeels=1 | FlipGate=ops=1 initial=4->3 edgeHeads=7->6 earlyChoices=22.3/57 localRun=6 jump=8.5 near=0.52 targetInitial=3"
"41","Campaign500NormalFullV1:h01r","nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1","nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1","6","56","4","v04","156","Main/Level_Main_56","normal","Peak","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Peak","Pressure","0","dense","PSG_Normal_dense_VeryHard_Pressure","22","30","0.733","S_Peak","96","86","106","734","13","c5hole_lowchoice_v1_h01r_41_nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_41_nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","22","30","66","72","648","0.982","0.940","0.979","3","6","17","66","9.82","21","0.547","344","True","3","171.2","ok","228","Style=PressureHard | Score=16477 | TargetInitial=5 | OpeningRatio=0.045 | Straightness=0.547 | EarlyChoices=26.9/50 | LocalRun=7 | Jump=6.9 | NearRate=0.61 | Peel style=PressureHard seed=817514259 fill=648/660(0.982) chains=66 remaining=12 rejectedShort=0 failedPeels=1"
"42","Campaign500NormalFullV1:h01r","nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1","nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1","6","56","5","v05","156","Main/Level_Main_56","normal","Peak","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Peak","Pressure","0","dense","PSG_Normal_dense_VeryHard_Pressure","22","30","0.733","S_Peak","96","86","106","734","13","c5hole_lowchoice_v1_h01r_42_nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_42_nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","22","30","74","72","657","0.995","0.940","0.995","2","7","24","74","8.88","21","0.499","376","True","2","188.5","ok","77","Style=PressureHard | Score=20413 | TargetInitial=5 | OpeningRatio=0.027 | Straightness=0.499 | EarlyChoices=23.7/52 | LocalRun=6 | Jump=6.4 | NearRate=0.58 | Peel style=PressureHard seed=801709388 fill=657/660(0.995) chains=74 remaining=3 rejectedShort=0 failedPeels=1"
"43","Campaign500NormalFullV1:h01r","nutation_strict_mixed_peak_v1_rect_s06_o056_v00_strictmixedpeak_strict_peak_chain_hf1","nutation_strict_mixed_peak_v1_rect_s06_o056_v00_strictmixedpeak_strict_peak_chain_hf1","6","56","0","v00","156","Main/Level_Main_56","normal","Peak","StrictMixedPeak","strict_mixed_dependency","strict_peak_chain_hf1","Peak","Pressure","0","dense","PSG_Normal_dense_VeryHard_Pressure","22","30","0.733","S_Peak","96","86","106","734","13","c5hole_lowchoice_v1_h01r_43_nutation_strict_mixed_peak_v1_rect_s06_o056_v00_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_43_nutation_strict_mixed_peak_v1_rect_s06_o056_v00_strictmixedpeak_strict_peak_chain_hf1.asset","22","30","73","92","653","0.989","0.950","0.990","1","4","24","73","8.95","21","0.475","359","True","1","178.4","ok","248","Style=PressureHard | Score=4655 | TargetInitial=5 | OpeningRatio=0.014 | Straightness=0.475 | EarlyChoices=23.6/53 | LocalRun=9 | Jump=5.6 | NearRate=0.71 | Peel style=PressureHard seed=-2135979592 fill=653/660(0.989) chains=73 remaining=7 rejectedShort=0 failedPeels=1"
"44","Campaign500NormalFullV1:h01r","nutation_strict_mixed_peak_v1_rect_s06_o056_v01_strictmixedpeak_strict_peak_chain_hf1","nutation_strict_mixed_peak_v1_rect_s06_o056_v01_strictmixedpeak_strict_peak_chain_hf1","6","56","1","v01","156","Main/Level_Main_56","normal","Peak","StrictMixedPeak","strict_mixed_dependency","strict_peak_chain_hf1","Peak","Pressure","0","dense","PSG_Normal_dense_VeryHard_Pressure","22","30","0.733","S_Peak","96","86","106","734","13","c5hole_lowchoice_v1_h01r_44_nutation_strict_mixed_peak_v1_rect_s06_o056_v01_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_44_nutation_strict_mixed_peak_v1_rect_s06_o056_v01_strictmixedpeak_strict_peak_chain_hf1.asset","22","30","79","92","649","0.983","0.950","0.990","3","8","31","79","8.22","21","0.509","402","True","3","187.1","ok","220","Style=PressureHard | Score=1856 | TargetInitial=6 | OpeningRatio=0.051 | Straightness=0.509 | EarlyChoices=25.4/56 | LocalRun=7 | Jump=7.1 | NearRate=0.61 | Peel style=PressureHard seed=-2138902860 fill=649/660(0.983) chains=79 remaining=11 rejectedShort=0 failedPeels=1 | FlipGate=ops=1 initial=4->3 edgeHeads=9->8 earlyChoices=25.8/58 localRun=7 jump=7.5 near=0.65 targetInitial=3"
"45","Campaign500NormalFullV1:h01r","nutation_strict_mixed_peak_v1_rect_s06_o056_v02_strictmixedpeak_strict_peak_chain_hf1","nutation_strict_mixed_peak_v1_rect_s06_o056_v02_strictmixedpeak_strict_peak_chain_hf1","6","56","2","v02","156","Main/Level_Main_56","normal","Peak","StrictMixedPeak","strict_mixed_dependency","strict_peak_chain_hf1","Peak","Pressure","0","dense","PSG_Normal_dense_VeryHard_Pressure","22","30","0.733","S_Peak","96","86","106","734","13","c5hole_lowchoice_v1_h01r_45_nutation_strict_mixed_peak_v1_rect_s06_o056_v02_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_45_nutation_strict_mixed_peak_v1_rect_s06_o056_v02_strictmixedpeak_strict_peak_chain_hf1.asset","22","30","73","92","651","0.986","0.950","0.995","1","3","27","73","8.92","21","0.501","325","True","1","187.1","ok","219","Style=PressureHard | Score=-5298 | TargetInitial=5 | OpeningRatio=0.014 | Straightness=0.501 | EarlyChoices=31.8/64 | LocalRun=5 | Jump=6.4 | NearRate=0.65 | Peel style=PressureHard seed=-2138998445 fill=651/660(0.986) chains=73 remaining=9 rejectedShort=0 failedPeels=1"
"46","Campaign500NormalFullV1:h01r","nutation_strict_mixed_peak_v1_rect_s06_o056_v03_strictmixedpeak_strict_peak_chain_hf1","nutation_strict_mixed_peak_v1_rect_s06_o056_v03_strictmixedpeak_strict_peak_chain_hf1","6","56","3","v03","156","Main/Level_Main_56","normal","Peak","StrictMixedPeak","strict_mixed_dependency","strict_peak_chain_hf1","Peak","Pressure","0","dense","PSG_Normal_dense_VeryHard_Pressure","22","30","0.733","S_Peak","96","86","106","734","13","c5hole_lowchoice_v1_h01r_46_nutation_strict_mixed_peak_v1_rect_s06_o056_v03_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_46_nutation_strict_mixed_peak_v1_rect_s06_o056_v03_strictmixedpeak_strict_peak_chain_hf1.asset","22","30","76","92","644","0.976","0.950","0.995","5","7","28","76","8.47","21","0.476","304","True","5","176.3","ok","192","Style=PressureHard | Score=-1064 | TargetInitial=5 | OpeningRatio=0.066 | Straightness=0.476 | EarlyChoices=25.1/61 | LocalRun=5 | Jump=7.1 | NearRate=0.58 | Peel style=PressureHard seed=-2141816984 fill=644/660(0.976) chains=76 remaining=16 rejectedShort=0 failedPeels=1 | FlipGate=ops=1 initial=5->5 edgeHeads=8->7 earlyChoices=23.9/61 localRun=4 jump=7.8 near=0.55 targetInitial=3"
