"selected","levelId","path","source","order","section10","variantIndex","variantLabel","productionLane","productionChainLanguage","productionDifficultyBand","coverage","chains","portableOpeners","status"
"1","c5hole_lowchoice_v1_h02r_37_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v00_strictmixedaxisbreak_axis_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_37_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v00_strictmixedaxisbreak_axis_break_chain_hf1.asset","c5hole_lowchoice_v1_h02r_order105_shortroot1","105","11","0","v00","StrictMixedAxisBreak","axis_break_chain_hf1","Hard","0.994","79","1","Style=PressureHard | Score=18274 | TargetInitial=6 | OpeningRatio=0.013 | Straightness=0.485 | EarlyChoices=26.1/54 | LocalRun=4 | Jump=7.7 | NearRate=0.42 | Peel style=PressureHard seed=426485568 fill=709/713(0.994) chains=79 remaining=4 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h02r_38_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v01_strictmixedaxisbreak_axis_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_38_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v01_strictmixedaxisbreak_axis_break_chain_hf1.asset","c5hole_lowchoice_v1_h02r_order105_shortroot1","105","11","1","v01","StrictMixedAxisBreak","axis_break_chain_hf1","Hard","0.983","74","3","Style=PressureHard | Score=6842 | TargetInitial=5 | OpeningRatio=0.041 | Straightness=0.488 | EarlyChoices=29.0/58 | LocalRun=8 | Jump=7.6 | NearRate=0.61 | Peel style=PressureHard seed=413194129 fill=701/713(0.983) chains=74 remaining=12 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h02r_39_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v02_strictmixedaxisbreak_axis_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_39_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v02_strictmixedaxisbreak_axis_break_chain_hf1.asset","c5hole_lowchoice_v1_h02r_order105_shortroot1","105","11","2","v02","StrictMixedAxisBreak","axis_break_chain_hf1","Hard","0.983","78","2","Style=PressureHard | Score=14700 | TargetInitial=5 | OpeningRatio=0.026 | Straightness=0.495 | EarlyChoices=26.3/48 | LocalRun=7 | Jump=6.7 | NearRate=0.74 | Peel style=PressureHard seed=418230265 fill=701/713(0.983) chains=78 remaining=12 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h02r_40_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v03_strictmixedaxisbreak_axis_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_40_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v03_strictmixedaxisbreak_axis_break_chain_hf1.asset","c5hole_lowchoice_v1_h02r_order105_shortroot1","105","11","3","v03","StrictMixedAxisBreak","axis_break_chain_hf1","Hard","0.983","79","2","Style=PressureHard | Score=12833 | TargetInitial=6 | OpeningRatio=0.025 | Straightness=0.464 | EarlyChoices=28.3/55 | LocalRun=6 | Jump=8.0 | NearRate=0.58 | Peel style=PressureHard seed=436985900 fill=701/713(0.983) chains=79 remaining=12 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h02r_41_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v04_strictmixedaxisbreak_axis_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_41_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v04_strictmixedaxisbreak_axis_break_chain_hf1.asset","c5hole_lowchoice_v1_h02r_order105_shortroot1","105","11","4","v04","StrictMixedAxisBreak","axis_break_chain_hf1","Hard","0.993","77","2","Style=PressureHard | Score=21449 | TargetInitial=5 | OpeningRatio=0.026 | Straightness=0.518 | EarlyChoices=21.4/51 | LocalRun=6 | Jump=6.6 | NearRate=0.65 | Peel style=PressureHard seed=407775653 fill=708/713(0.993) chains=77 remaining=5 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h02r_42_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v05_strictmixedaxisbreak_axis_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_42_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v05_strictmixedaxisbreak_axis_break_chain_hf1.asset","c5hole_lowchoice_v1_h02r_order105_shortroot1","105","11","5","v05","StrictMixedAxisBreak","axis_break_chain_hf1","Hard","0.987","73","2","Style=PressureHard | Score=11385 | TargetInitial=5 | OpeningRatio=0.027 | Straightness=0.480 | EarlyChoices=27.3/55 | LocalRun=4 | Jump=8.7 | NearRate=0.48 | Peel style=PressureHard seed=427892765 fill=704/713(0.987) chains=73 remaining=9 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h02r_43_nutation_strict_mixed_localbreak_v1_rect_s11_o105_v00_strictmixedlocalbreak_local_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_43_nutation_strict_mixed_localbreak_v1_rect_s11_o105_v00_strictmixedlocalbreak_local_break_chain_hf1.asset","c5hole_lowchoice_v1_h02r_order105_shortroot1","105","11","0","v00","StrictMixedLocalBreak","local_break_chain_hf1","Hard","0.987","74","1","Style=PressureHard | Score=17135 | TargetInitial=5 | OpeningRatio=0.014 | Straightness=0.532 | EarlyChoices=25.5/54 | LocalRun=6 | Jump=7.2 | NearRate=0.65 | Peel style=PressureHard seed=1151346817 fill=704/713(0.987) chains=74 remaining=9 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h02r_44_nutation_strict_mixed_localbreak_v1_rect_s11_o105_v01_strictmixedlocalbreak_local_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_44_nutation_strict_mixed_localbreak_v1_rect_s11_o105_v01_strictmixedlocalbreak_local_break_chain_hf1.asset","c5hole_lowchoice_v1_h02r_order105_shortroot1","105","11","1","v01","StrictMixedLocalBreak","local_break_chain_hf1","Hard","0.996","78","2","Style=PressureHard | Score=18105 | TargetInitial=5 | OpeningRatio=0.026 | Straightness=0.507 | EarlyChoices=26.8/53 | LocalRun=6 | Jump=6.5 | NearRate=0.58 | Peel style=PressureHard seed=1172511283 fill=710/713(0.996) chains=78 remaining=3 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h02r_45_nutation_strict_mixed_localbreak_v1_rect_s11_o105_v02_strictmixedlocalbreak_local_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_45_nutation_strict_mixed_localbreak_v1_rect_s11_o105_v02_strictmixedlocalbreak_local_break_chain_hf1.asset","c5hole_lowchoice_v1_h02r_order105_shortroot1","105","11","2","v02","StrictMixedLocalBreak","local_break_chain_hf1","Hard","0.992","77","3","Style=PressureHard | Score=21402 | TargetInitial=5 | OpeningRatio=0.039 | Straightness=0.479 | EarlyChoices=29.6/47 | LocalRun=9 | Jump=7.0 | NearRate=0.61 | Peel style=PressureHard seed=1164875274 fill=707/713(0.992) chains=77 remaining=6 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h02r_46_nutation_strict_mixed_localbreak_v1_rect_s11_o105_v03_strictmixedlocalbreak_local_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_46_nutation_strict_mixed_localbreak_v1_rect_s11_o105_v03_strictmixedlocalbreak_local_break_chain_hf1.asset","c5hole_lowchoice_v1_h02r_order105_shortroot1","105","11","3","v03","StrictMixedLocalBreak","local_break_chain_hf1","Hard","0.986","77","2","Style=PressureHard | Score=18862 | TargetInitial=5 | OpeningRatio=0.026 | Straightness=0.506 | EarlyChoices=24.0/52 | LocalRun=10 | Jump=6.8 | NearRate=0.71 | Peel style=PressureHard seed=1135665091 fill=703/713(0.986) chains=77 remaining=10 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h02r_47_nutation_strict_mixed_localbreak_v1_rect_s11_o105_v04_strictmixedlocalbreak_local_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_47_nutation_strict_mixed_localbreak_v1_rect_s11_o105_v04_strictmixedlocalbreak_local_break_chain_hf1.asset","c5hole_lowchoice_v1_h02r_order105_shortroot1","105","11","4","v04","StrictMixedLocalBreak","local_break_chain_hf1","Hard","0.985","79","3","Style=PressureHard | Score=19122 | TargetInitial=6 | OpeningRatio=0.038 | Straightness=0.478 | EarlyChoices=26.5/51 | LocalRun=5 | Jump=6.7 | NearRate=0.61 | Peel style=PressureHard seed=1147299218 fill=702/713(0.985) chains=79 remaining=11 rejectedShort=0 failedPeels=1"
