"rankClass","psgRankScore","processKeep","visualPass","keepCandidate","stsMetricPresent","stsPass","stsKeepCandidate","rejectReasons","slot","sourceIndex","order","sourceBatch","sourceReport","section10","variantIndex","variantLabel","mainMissionId","levelName","category","roleInSection","productionLane","productionStyleFamily","productionChainLanguage","productionDifficultyBand","experienceRole","reviewOnly","plannedWidth","plannedHeight","plannedAspect","plannedCanvasBand","plannedTargetChains","targetChainsMin","targetChainsMax","referenceArrowTiles","referenceMaxChainLength","actualTargetChains","mode","styleHint","profileHint","type","styleFamily","generatorVariant","generatorGrammar","chainLanguage","chainLanguageDetail","chainTags","flowLanguage","flowTags","riskTags","styleRiskBand","specId","levelId","assetPath","path","selected","width","height","sourceCoverage","chains","sourceAvgChain","sourceMaxChain","sourceStraightness","sourceShortChainRate","sourceEdgeHeadRate","sourceOpeners","sourceEdgeHeads","solved","processTier","processTierReason","avgChoices","maxChoices","localPatchRun","nearOuterRun","dependencyFollowRun","directionalRisk","stripeRisk","edgeInwardSweepRun","edgeInwardSweepSide","startSideHint","solveVectorRun","solveTraceQualityScore","solveTraceCollapseRiskScore","solveAxisDriftRate","solveSameAxisRunMax","solveSameDirHeadRunMax","solveRegionEntropy","solveRegionCollapseRunMax","solveFrontWidthAvg","solveFrontWidthNarrowRate","dependencyRegionEntropy","dependencyLocalSameRegionRate","dependencySameAxisHeadRate","dependencySameDirHeadRate","dependencyBraidScore","hardStructureV3Class","sourceStatus"
"TraceOrderKeep","2.636","True","True","True","True","True","True","","105","38","105","Campaign500NormalFullV1:h02r","","11","1","v01","205","Main/Level_Main_105","normal","Hard","StrictMixedAxisBreak","strict_mixed_dependency","axis_break_chain_hf1","Hard","Recovery","0","23","31","0.742","M_PeelMid","117","105","129","895","13","88","","maze","PSG_Normal_maze_Hard_Recovery","nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v01_strictmixedaxisbreak_axis_break_chain_hf1","maze_long_chain","unknown_variant","rectangle_peel","curve_chain","long_chain","long_chain;short_patchwork;woven_medium","staged_unlock","peel_grammar;multi_region;wide_front;staged_unlock;sweep_pressure","choice_peak_watch;same_axis_watch;same_dir_watch","watch","nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v01_strictmixedaxisbreak_axis_break_chain_hf1","c5hole_lowchoice_v1_h02r_38_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v01_strictmixedaxisbreak_axis_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_38_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v01_strictmixedaxisbreak_axis_break_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_38_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v01_strictmixedaxisbreak_axis_break_chain_hf1.asset","1","23","31","0.983","74","9.47","21","0.488","0.324","0.068","3","5","True","B","flow or late-campaign only","5.62","10","6","4","4","0.206","0.079","1","R","right-edge inward / starts around right side","4","0.87","0.214","0.438","8","6","0.994","4","3.689","0.149","0.99","0.479","0.648","0.521","0.351","LocalEasy","Style=PressureHard | Score=6842 | TargetInitial=5 | OpeningRatio=0.041 | Straightness=0.488 | EarlyChoices=29.0/58 | LocalRun=8 | Jump=7.6 | NearRate=0.61 | Peel style=PressureHard seed=413194129 fill=701/713(0.983) chains=74 remaining=12 rejectedShort=0 failedPeels=1"
"TraceOrderKeep","2.625","True","True","True","True","True","True","","105","41","105","Campaign500NormalFullV1:h02r","","11","4","v04","205","Main/Level_Main_105","normal","Hard","StrictMixedAxisBreak","strict_mixed_dependency","axis_break_chain_hf1","Hard","Recovery","0","23","31","0.742","M_PeelMid","117","105","129","895","13","88","","maze","PSG_Normal_maze_Hard_Recovery","nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v04_strictmixedaxisbreak_axis_break_chain_hf1","maze_long_chain","unknown_variant","rectangle_peel","curve_chain","long_chain","long_chain;short_patchwork;woven_medium;edge_headed","staged_unlock","peel_grammar;multi_region;wide_front;staged_unlock;peel_visible;sweep_pressure","choice_peak_watch;near_outer_watch;collapse_watch;same_axis_watch;same_dir_watch","watch","nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v04_strictmixedaxisbreak_axis_break_chain_hf1","c5hole_lowchoice_v1_h02r_41_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v04_strictmixedaxisbreak_axis_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_41_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v04_strictmixedaxisbreak_axis_break_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_41_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v04_strictmixedaxisbreak_axis_break_chain_hf1.asset","1","23","31","0.993","77","9.19","21","0.518","0.325","0.078","2","6","True","B","flow or late-campaign only","5.66","10","5","5","5","0.21","0.085","2","R","right-edge inward / starts around right side","4","0.826","0.264","0.474","7","7","0.994","5","3.831","0.169","0.991","0.52","0.573","0.507","0.372","LocalEasy","Style=PressureHard | Score=21449 | TargetInitial=5 | OpeningRatio=0.026 | Straightness=0.518 | EarlyChoices=21.4/51 | LocalRun=6 | Jump=6.6 | NearRate=0.65 | Peel style=PressureHard seed=407775653 fill=708/713(0.993) chains=77 remaining=5 rejectedShort=0 failedPeels=1"
"TraceOrderKeep","2.624","True","True","True","True","True","True","","105","39","105","Campaign500NormalFullV1:h02r","","11","2","v02","205","Main/Level_Main_105","normal","Hard","StrictMixedAxisBreak","strict_mixed_dependency","axis_break_chain_hf1","Hard","Recovery","0","23","31","0.742","M_PeelMid","117","105","129","895","13","88","","maze","PSG_Normal_maze_Hard_Recovery","nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v02_strictmixedaxisbreak_axis_break_chain_hf1","maze_long_chain","unknown_variant","rectangle_peel","patch_chain","long_chain","long_chain;short_patchwork;edge_headed","staged_unlock","peel_grammar;multi_region;wide_front;staged_unlock;sweep_pressure","choice_peak_watch;broad_choice_curve;same_axis_watch;same_dir_watch","watch","nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v02_strictmixedaxisbreak_axis_break_chain_hf1","c5hole_lowchoice_v1_h02r_39_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v02_strictmixedaxisbreak_axis_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_39_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v02_strictmixedaxisbreak_axis_break_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_39_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v02_strictmixedaxisbreak_axis_break_chain_hf1.asset","1","23","31","0.983","78","8.99","21","0.495","0.385","0.077","2","6","True","B","flow or late-campaign only","6.38","10","6","3","5","0.199","0.093","1","B","bottom-edge inward / starts around bottom side","3","0.836","0.242","0.442","8","6","0.994","5","4.526","0.103","0.993","0.421","0.618","0.487","0.381","LocalEasy","Style=PressureHard | Score=14700 | TargetInitial=5 | OpeningRatio=0.026 | Straightness=0.495 | EarlyChoices=26.3/48 | LocalRun=7 | Jump=6.7 | NearRate=0.74 | Peel style=PressureHard seed=418230265 fill=701/713(0.983) chains=78 remaining=12 rejectedShort=0 failedPeels=1"
"TraceOrderKeep","2.601","True","True","True","True","True","True","","105","48","105","Campaign500NormalFullV1:h02r","","11","5","v05","205","Main/Level_Main_105","normal","Hard","StrictMixedLocalBreak","strict_mixed_local","local_break_chain_hf1","Hard","Recovery","0","23","31","0.742","M_PeelMid","117","105","129","895","13","82","","maze","PSG_Normal_maze_Hard_Recovery","nutation_strict_mixed_localbreak_v1_rect_s11_o105_v05_strictmixedlocalbreak_local_break_chain_hf1","maze_long_chain","unknown_variant","rectangle_peel","curve_chain","long_chain","long_chain;woven_medium","single_axis_sweep","peel_grammar;multi_region;staged_unlock;peel_visible;sweep_pressure","choice_peak_watch;directional_sweep_watch;stripe_watch;local_patch_watch;collapse_watch;same_axis_watch;same_dir_watch","watch","nutation_strict_mixed_localbreak_v1_rect_s11_o105_v05_strictmixedlocalbreak_local_break_chain_hf1","c5hole_lowchoice_v1_h02r_48_nutation_strict_mixed_localbreak_v1_rect_s11_o105_v05_strictmixedlocalbreak_local_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_48_nutation_strict_mixed_localbreak_v1_rect_s11_o105_v05_strictmixedlocalbreak_local_break_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_48_nutation_strict_mixed_localbreak_v1_rect_s11_o105_v05_strictmixedlocalbreak_local_break_chain_hf1.asset","1","23","31","0.976","68","10.24","21","0.516","0.221","0.074","1","5","True","B","flow or late-campaign only","4.59","11","7","3","3","0.224","0.124","1","R","right-edge inward / starts around right side","3","0.881","0.271","0.463","8","8","0.992","3","3.441","0.368","0.995","0.537","0.642","0.537","0.323","LocalEasy","Style=PressureHard | Score=25058 | TargetInitial=5 | OpeningRatio=0.015 | Straightness=0.516 | EarlyChoices=20.0/38 | LocalRun=7 | Jump=7.9 | NearRate=0.68 | Peel style=PressureHard seed=1144376014 fill=696/713(0.976) chains=68 remaining=17 rejectedShort=0 failedPeels=1"
"TraceOrderKeep","2.576","True","False","False","True","True","True","directionalRisk>0.34;localPatchRun>7;nearOuterRun>6","105","45","105","Campaign500NormalFullV1:h02r","","11","2","v02","205","Main/Level_Main_105","normal","Hard","StrictMixedLocalBreak","strict_mixed_local","local_break_chain_hf1","Hard","Recovery","0","23","31","0.742","M_PeelMid","117","105","129","895","13","82","","maze","PSG_Normal_maze_Hard_Recovery","nutation_strict_mixed_localbreak_v1_rect_s11_o105_v02_strictmixedlocalbreak_local_break_chain_hf1","maze_long_chain","unknown_variant","rectangle_peel","curve_chain","long_chain","long_chain;short_patchwork;woven_medium","single_axis_sweep","peel_grammar;multi_region;wide_front;staged_unlock;peel_visible;sweep_pressure","choice_peak_watch;directional_sweep;local_patch_run;near_outer_patch;same_dir_watch","high_risk","nutation_strict_mixed_localbreak_v1_rect_s11_o105_v02_strictmixedlocalbreak_local_break_chain_hf1","c5hole_lowchoice_v1_h02r_45_nutation_strict_mixed_localbreak_v1_rect_s11_o105_v02_strictmixedlocalbreak_local_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_45_nutation_strict_mixed_localbreak_v1_rect_s11_o105_v02_strictmixedlocalbreak_local_break_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_45_nutation_strict_mixed_localbreak_v1_rect_s11_o105_v02_strictmixedlocalbreak_local_break_chain_hf1.asset","1","23","31","0.992","77","9.18","21","0.479","0.312","0.052","3","4","True","B","flow or late-campaign only","5.42","10","8","8","6","0.446","0.083","2","R","right-edge inward / starts around right side","3","0.838","0.213","0.408","6","6","0.995","5","3.688","0.143","0.99","0.527","0.635","0.568","0.26","LocalEasy","Style=PressureHard | Score=21402 | TargetInitial=5 | OpeningRatio=0.039 | Straightness=0.479 | EarlyChoices=29.6/47 | LocalRun=9 | Jump=7.0 | NearRate=0.61 | Peel style=PressureHard seed=1164875274 fill=707/713(0.992) chains=77 remaining=6 rejectedShort=0 failedPeels=1"
"VisualKeep","2.101","True","True","True","True","False","False","solveTraceQuality<0.82;solveTraceCollapseRisk>0.28","105","42","105","Campaign500NormalFullV1:h02r","","11","5","v05","205","Main/Level_Main_105","normal","Hard","StrictMixedAxisBreak","strict_mixed_dependency","axis_break_chain_hf1","Hard","Recovery","0","23","31","0.742","M_PeelMid","117","105","129","895","13","88","","maze","PSG_Normal_maze_Hard_Recovery","nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v05_strictmixedaxisbreak_axis_break_chain_hf1","maze_long_chain","unknown_variant","rectangle_peel","curve_chain","long_chain","long_chain;woven_medium;edge_headed","staged_unlock","peel_grammar;multi_region;axis_drift;staged_unlock;sweep_pressure","solve_collapse;same_axis_watch;same_dir_watch","high_risk","nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v05_strictmixedaxisbreak_axis_break_chain_hf1","c5hole_lowchoice_v1_h02r_42_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v05_strictmixedaxisbreak_axis_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_42_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v05_strictmixedaxisbreak_axis_break_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_42_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v05_strictmixedaxisbreak_axis_break_chain_hf1.asset","1","23","31","0.987","73","9.64","21","0.48","0.274","0.096","2","7","True","B","flow or late-campaign only","4.52","8","6","3","6","0.199","0.098","1","R","right-edge inward / starts around right side","3","0.783","0.281","0.542","7","7","0.996","5","3.055","0.288","0.995","0.493","0.648","0.535","0.277","LocalEasy","Style=PressureHard | Score=11385 | TargetInitial=5 | OpeningRatio=0.027 | Straightness=0.480 | EarlyChoices=27.3/55 | LocalRun=4 | Jump=8.7 | NearRate=0.48 | Peel style=PressureHard seed=427892765 fill=704/713(0.987) chains=73 remaining=9 rejectedShort=0 failedPeels=1"
"VisualKeep","1.974","True","True","True","True","False","False","solveTraceCollapseRisk>0.28;sameAxisRun>9;sameDirRun>8","105","37","105","Campaign500NormalFullV1:h02r","","11","0","v00","205","Main/Level_Main_105","normal","Hard","StrictMixedAxisBreak","strict_mixed_dependency","axis_break_chain_hf1","Hard","Recovery","0","23","31","0.742","M_PeelMid","117","105","129","895","13","88","","maze","PSG_Normal_maze_Hard_Recovery","nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v00_strictmixedaxisbreak_axis_break_chain_hf1","maze_long_chain","unknown_variant","rectangle_peel","patch_chain","long_chain","long_chain;short_patchwork;edge_headed","single_axis_sweep","peel_grammar;multi_region;axis_drift;staged_unlock;peel_visible;sweep_pressure","choice_peak_watch;stripe_watch;near_outer_watch;solve_collapse;same_axis_run;same_dir_run","high_risk","nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v00_strictmixedaxisbreak_axis_break_chain_hf1","c5hole_lowchoice_v1_h02r_37_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v00_strictmixedaxisbreak_axis_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_37_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v00_strictmixedaxisbreak_axis_break_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_37_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v00_strictmixedaxisbreak_axis_break_chain_hf1.asset","1","23","31","0.994","79","8.97","21","0.485","0.354","0.089","1","7","True","B","flow or late-campaign only","5.94","10","5","5","4","0.187","0.136","2","B","bottom-edge inward / starts around bottom side","2","0.856","0.325","0.487","10","10","0.987","3","3.456","0.291","0.989","0.538","0.513","0.474","0.401","LocalEasy","Style=PressureHard | Score=18274 | TargetInitial=6 | OpeningRatio=0.013 | Straightness=0.485 | EarlyChoices=26.1/54 | LocalRun=4 | Jump=7.7 | NearRate=0.42 | Peel style=PressureHard seed=426485568 fill=709/713(0.994) chains=79 remaining=4 rejectedShort=0 failedPeels=1"
"VisualKeep","1.942","True","True","True","True","False","False","solveTraceQuality<0.82;solveTraceCollapseRisk>0.28;sameAxisRun>9;sameDirRun>8","105","40","105","Campaign500NormalFullV1:h02r","","11","3","v03","205","Main/Level_Main_105","normal","Hard","StrictMixedAxisBreak","strict_mixed_dependency","axis_break_chain_hf1","Hard","Recovery","0","23","31","0.742","M_PeelMid","117","105","129","895","13","88","","maze","PSG_Normal_maze_Hard_Recovery","nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v03_strictmixedaxisbreak_axis_break_chain_hf1","maze_long_chain","unknown_variant","rectangle_peel","patch_chain","long_chain","long_chain;short_patchwork;edge_headed","local_collapse","peel_grammar;multi_region;wide_front;staged_unlock;peel_visible;sweep_pressure;collapse_risk","choice_peak_watch;broad_choice_curve;solve_collapse;same_axis_run;same_dir_run","high_risk","nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v03_strictmixedaxisbreak_axis_break_chain_hf1","c5hole_lowchoice_v1_h02r_40_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v03_strictmixedaxisbreak_axis_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_40_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v03_strictmixedaxisbreak_axis_break_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_40_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v03_strictmixedaxisbreak_axis_break_chain_hf1.asset","1","23","31","0.983","79","8.87","21","0.464","0.354","0.089","2","7","True","B","flow or late-campaign only","6.53","11","6","3","6","0.199","0.112","2","B","bottom-edge inward / starts around bottom side","3","0.795","0.391","0.436","11","11","0.987","5","3.886","0.152","0.987","0.468","0.571","0.494","0.325","LocalEasy","Style=PressureHard | Score=12833 | TargetInitial=6 | OpeningRatio=0.025 | Straightness=0.464 | EarlyChoices=28.3/55 | LocalRun=6 | Jump=8.0 | NearRate=0.58 | Peel style=PressureHard seed=436985900 fill=701/713(0.983) chains=79 remaining=12 rejectedShort=0 failedPeels=1"
"Reject","0.625","False","False","False","True","True","False","maxChoices>11","105","47","105","Campaign500NormalFullV1:h02r","","11","4","v04","205","Main/Level_Main_105","normal","Hard","StrictMixedLocalBreak","strict_mixed_local","local_break_chain_hf1","Hard","Recovery","0","23","31","0.742","M_PeelMid","117","105","129","895","13","82","","maze","PSG_Normal_maze_Hard_Recovery","nutation_strict_mixed_localbreak_v1_rect_s11_o105_v04_strictmixedlocalbreak_local_break_chain_hf1","maze_long_chain","unknown_variant","rectangle_peel","patch_chain","long_chain","long_chain;short_patchwork;edge_headed","staged_unlock","peel_grammar;multi_region;axis_drift;wide_front;stable_front;staged_unlock;peel_visible","process_reject;high_choices;broad_choice_curve","high_risk","nutation_strict_mixed_localbreak_v1_rect_s11_o105_v04_strictmixedlocalbreak_local_break_chain_hf1","c5hole_lowchoice_v1_h02r_47_nutation_strict_mixed_localbreak_v1_rect_s11_o105_v04_strictmixedlocalbreak_local_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_47_nutation_strict_mixed_localbreak_v1_rect_s11_o105_v04_strictmixedlocalbreak_local_break_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_47_nutation_strict_mixed_localbreak_v1_rect_s11_o105_v04_strictmixedlocalbreak_local_break_chain_hf1.asset","1","23","31","0.985","79","8.89","21","0.478","0.329","0.114","3","9","True","B","flow or late-campaign only","6.85","12","5","4","4","0.157","0.07","2","L","left-edge inward / starts around left side","3","0.892","0.105","0.5","6","4","0.994","4","4.684","0.038","0.992","0.487","0.539","0.395","0.286","LocalEasy","Style=PressureHard | Score=19122 | TargetInitial=6 | OpeningRatio=0.038 | Straightness=0.478 | EarlyChoices=26.5/51 | LocalRun=5 | Jump=6.7 | NearRate=0.61 | Peel style=PressureHard seed=1147299218 fill=702/713(0.985) chains=79 remaining=11 rejectedShort=0 failedPeels=1"
"Reject","0.593","False","False","False","True","False","False","maxChoices>11","105","46","105","Campaign500NormalFullV1:h02r","","11","3","v03","205","Main/Level_Main_105","normal","Hard","StrictMixedLocalBreak","strict_mixed_local","local_break_chain_hf1","Hard","Recovery","0","23","31","0.742","M_PeelMid","117","105","129","895","13","82","","maze","PSG_Normal_maze_Hard_Recovery","nutation_strict_mixed_localbreak_v1_rect_s11_o105_v03_strictmixedlocalbreak_local_break_chain_hf1","maze_long_chain","unknown_variant","rectangle_peel","curve_chain","long_chain","long_chain;short_patchwork;woven_medium;edge_headed","single_axis_sweep","peel_grammar;multi_region;wide_front;staged_unlock;peel_visible;sweep_pressure","process_reject;high_choices;solve_collapse;same_axis_watch;same_dir_watch","high_risk","nutation_strict_mixed_localbreak_v1_rect_s11_o105_v03_strictmixedlocalbreak_local_break_chain_hf1","c5hole_lowchoice_v1_h02r_46_nutation_strict_mixed_localbreak_v1_rect_s11_o105_v03_strictmixedlocalbreak_local_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_46_nutation_strict_mixed_localbreak_v1_rect_s11_o105_v03_strictmixedlocalbreak_local_break_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_46_nutation_strict_mixed_localbreak_v1_rect_s11_o105_v03_strictmixedlocalbreak_local_break_chain_hf1.asset","1","23","31","0.986","77","9.13","21","0.506","0.325","0.104","2","8","True","B","flow or late-campaign only","5.7","12","5","3","6","0.15","0.103","2","L","left-edge inward / starts around left side","4","0.815","0.328","0.447","8","8","0.989","5","3.87","0.286","0.99","0.533","0.587","0.533","0.267","LocalEasy","Style=PressureHard | Score=18862 | TargetInitial=5 | OpeningRatio=0.026 | Straightness=0.506 | EarlyChoices=24.0/52 | LocalRun=10 | Jump=6.8 | NearRate=0.71 | Peel style=PressureHard seed=1135665091 fill=703/713(0.986) chains=77 remaining=10 rejectedShort=0 failedPeels=1"
"Reject","0.589","False","False","False","True","True","False","tier=Drop;maxChoices>11","105","43","105","Campaign500NormalFullV1:h02r","","11","0","v00","205","Main/Level_Main_105","normal","Hard","StrictMixedLocalBreak","strict_mixed_local","local_break_chain_hf1","Hard","Recovery","0","23","31","0.742","M_PeelMid","117","105","129","895","13","82","","maze","PSG_Normal_maze_Hard_Recovery","nutation_strict_mixed_localbreak_v1_rect_s11_o105_v00_strictmixedlocalbreak_local_break_chain_hf1","maze_long_chain","unknown_variant","rectangle_peel","curve_chain","long_chain","long_chain;short_patchwork;woven_medium;edge_headed","staged_unlock","peel_grammar;multi_region;wide_front;staged_unlock;peel_visible;sweep_pressure","process_reject;high_choices;broad_choice_curve;same_axis_watch;same_dir_watch","high_risk","nutation_strict_mixed_localbreak_v1_rect_s11_o105_v00_strictmixedlocalbreak_local_break_chain_hf1","c5hole_lowchoice_v1_h02r_43_nutation_strict_mixed_localbreak_v1_rect_s11_o105_v00_strictmixedlocalbreak_local_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_43_nutation_strict_mixed_localbreak_v1_rect_s11_o105_v00_strictmixedlocalbreak_local_break_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_43_nutation_strict_mixed_localbreak_v1_rect_s11_o105_v00_strictmixedlocalbreak_local_break_chain_hf1.asset","1","23","31","0.987","74","9.51","21","0.532","0.311","0.095","1","7","True","Drop","avg choices high; p80 choices high; choice peak high; too many over-10 steps; local patch solve run; near-outer patch solve run; local window burst","6.72","13","5","4","4","0.157","0.09","2","L","left-edge inward / starts around left side","3","0.885","0.2","0.397","7","7","0.987","3","4.027","0.189","0.986","0.479","0.562","0.479","0.279","LocalEasy","Style=PressureHard | Score=17135 | TargetInitial=5 | OpeningRatio=0.014 | Straightness=0.532 | EarlyChoices=25.5/54 | LocalRun=6 | Jump=7.2 | NearRate=0.65 | Peel style=PressureHard seed=1151346817 fill=704/713(0.987) chains=74 remaining=9 rejectedShort=0 failedPeels=1"
