"selected","levelId","path","source","order","section10","variantIndex","variantLabel","productionLane","productionChainLanguage","productionDifficultyBand","coverage","chains","portableOpeners","status"
"1","c5hole_lowchoice_v1_h02r_13_nutation_strict_mixed_choiceclamp_v1_rect_s08_o072_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_13_nutation_strict_mixed_choiceclamp_v1_rect_s08_o072_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h02r_order72","72","8","0","v00","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Peak","0.983","70","2","Style=PressureHard | Score=18683 | TargetInitial=5 | OpeningRatio=0.029 | Straightness=0.499 | EarlyChoices=23.7/51 | LocalRun=6 | Jump=6.9 | NearRate=0.55 | Peel style=PressureHard seed=2116743076 fill=649/660(0.983) chains=70 remaining=11 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h02r_14_nutation_strict_mixed_choiceclamp_v1_rect_s08_o072_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_14_nutation_strict_mixed_choiceclamp_v1_rect_s08_o072_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h02r_order72","72","8","1","v01","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Peak","0.989","69","2","Style=PressureHard | Score=14249 | TargetInitial=5 | OpeningRatio=0.029 | Straightness=0.507 | EarlyChoices=28.1/52 | LocalRun=11 | Jump=7.3 | NearRate=0.74 | Peel style=PressureHard seed=2134765608 fill=653/660(0.989) chains=69 remaining=7 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h02r_15_nutation_strict_mixed_choiceclamp_v1_rect_s08_o072_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_15_nutation_strict_mixed_choiceclamp_v1_rect_s08_o072_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h02r_order72","72","8","2","v02","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Peak","0.971","72","2","Style=PressureHard | Score=18683 | TargetInitial=5 | OpeningRatio=0.028 | Straightness=0.487 | EarlyChoices=23.7/45 | LocalRun=7 | Jump=6.5 | NearRate=0.61 | Peel style=PressureHard seed=2139278099 fill=641/660(0.971) chains=72 remaining=19 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h02r_16_nutation_strict_mixed_choiceclamp_v1_rect_s08_o072_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_16_nutation_strict_mixed_choiceclamp_v1_rect_s08_o072_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h02r_order72","72","8","3","v03","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Peak","0.991","68","2","Style=PressureHard | Score=19544 | TargetInitial=5 | OpeningRatio=0.029 | Straightness=0.508 | EarlyChoices=24.6/55 | LocalRun=4 | Jump=7.0 | NearRate=0.48 | Peel style=PressureHard seed=2118969817 fill=654/660(0.991) chains=68 remaining=6 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h02r_17_nutation_strict_mixed_choiceclamp_v1_rect_s08_o072_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_17_nutation_strict_mixed_choiceclamp_v1_rect_s08_o072_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h02r_order72","72","8","4","v04","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Peak","0.988","70","1","Style=PressureHard | Score=20808 | TargetInitial=5 | OpeningRatio=0.014 | Straightness=0.486 | EarlyChoices=23.6/52 | LocalRun=7 | Jump=5.3 | NearRate=0.65 | Peel style=PressureHard seed=2125262701 fill=652/660(0.988) chains=70 remaining=8 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h02r_18_nutation_strict_mixed_choiceclamp_v1_rect_s08_o072_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_18_nutation_strict_mixed_choiceclamp_v1_rect_s08_o072_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h02r_order72","72","8","5","v05","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Peak","0.985","72","1","Style=PressureHard | Score=20632 | TargetInitial=5 | OpeningRatio=0.014 | Straightness=0.494 | EarlyChoices=25.6/47 | LocalRun=5 | Jump=6.4 | NearRate=0.52 | Peel style=PressureHard seed=-2142675369 fill=650/660(0.985) chains=72 remaining=10 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h02r_19_nutation_strict_mixed_peak_v1_rect_s08_o072_v00_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_19_nutation_strict_mixed_peak_v1_rect_s08_o072_v00_strictmixedpeak_strict_peak_chain_hf1.asset","c5hole_lowchoice_v1_h02r_order72","72","8","0","v00","StrictMixedPeak","strict_peak_chain_hf1","Peak","0.983","71","2","Style=PressureHard | Score=4599 | TargetInitial=5 | OpeningRatio=0.028 | Straightness=0.491 | EarlyChoices=24.5/46 | LocalRun=6 | Jump=6.4 | NearRate=0.65 | Peel style=PressureHard seed=782082450 fill=649/660(0.983) chains=71 remaining=11 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h02r_20_nutation_strict_mixed_peak_v1_rect_s08_o072_v01_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_20_nutation_strict_mixed_peak_v1_rect_s08_o072_v01_strictmixedpeak_strict_peak_chain_hf1.asset","c5hole_lowchoice_v1_h02r_order72","72","8","1","v01","StrictMixedPeak","strict_peak_chain_hf1","Peak","0.985","71","2","Style=PressureHard | Score=5292 | TargetInitial=5 | OpeningRatio=0.028 | Straightness=0.465 | EarlyChoices=20.4/47 | LocalRun=6 | Jump=6.6 | NearRate=0.61 | Peel style=PressureHard seed=785966567 fill=650/660(0.985) chains=71 remaining=10 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h02r_21_nutation_strict_mixed_peak_v1_rect_s08_o072_v02_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_21_nutation_strict_mixed_peak_v1_rect_s08_o072_v02_strictmixedpeak_strict_peak_chain_hf1.asset","c5hole_lowchoice_v1_h02r_order72","72","8","2","v02","StrictMixedPeak","strict_peak_chain_hf1","Peak","0.977","69","4","Style=PressureHard | Score=2471 | TargetInitial=5 | OpeningRatio=0.058 | Straightness=0.471 | EarlyChoices=23.4/53 | LocalRun=4 | Jump=8.5 | NearRate=0.52 | Peel style=PressureHard seed=759688732 fill=645/660(0.977) chains=69 remaining=15 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h02r_22_nutation_strict_mixed_peak_v1_rect_s08_o072_v03_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_22_nutation_strict_mixed_peak_v1_rect_s08_o072_v03_strictmixedpeak_strict_peak_chain_hf1.asset","c5hole_lowchoice_v1_h02r_order72","72","8","3","v03","StrictMixedPeak","strict_peak_chain_hf1","Peak","0.980","72","3","Style=PressureHard | Score=99 | TargetInitial=5 | OpeningRatio=0.042 | Straightness=0.431 | EarlyChoices=25.9/56 | LocalRun=6 | Jump=8.5 | NearRate=0.48 | Peel style=PressureHard seed=788288893 fill=647/660(0.980) chains=72 remaining=13 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h02r_23_nutation_strict_mixed_peak_v1_rect_s08_o072_v04_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_23_nutation_strict_mixed_peak_v1_rect_s08_o072_v04_strictmixedpeak_strict_peak_chain_hf1.asset","c5hole_lowchoice_v1_h02r_order72","72","8","4","v04","StrictMixedPeak","strict_peak_chain_hf1","Peak","0.986","70","2","Style=PressureHard | Score=13872 | TargetInitial=5 | OpeningRatio=0.029 | Straightness=0.477 | EarlyChoices=14.3/30 | LocalRun=10 | Jump=4.7 | NearRate=0.74 | Peel style=PressureHard seed=770703565 fill=651/660(0.986) chains=70 remaining=9 rejectedShort=0 failedPeels=1"
