"Index","SourceBatch","SpecId","Type","Section10","Order","VariantIndex","VariantLabel","MainMissionId","LevelName","Category","RoleInSection","ProductionLane","ProductionStyleFamily","ProductionChainLanguage","ProductionDifficultyBand","ExperienceRole","ReviewOnly","StyleHint","ProfileHint","PlannedWidth","PlannedHeight","PlannedAspect","PlannedCanvasBand","PlannedTargetChains","TargetChainsMin","TargetChainsMax","ReferenceArrowTiles","ReferenceMaxChainLength","LevelId","AssetPath","Width","Height","Chains","TargetChains","Arrows","Coverage","TargetCoverage","OuterBandCoverage","InitialMovableChains","EdgeHeadChains","ShortChains","GreedyMoves","AvgChain","MaxChain","Straightness","BlockLinks","PortableSolved","PortableOpeners","PortableScore","PortableQuality","Attempts","Status"
"1","Campaign500NormalFullV1:h03r","nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","12","112","0","v00","212","Main/Level_Main_112","normal","Peak","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Peak","Pressure","0","lock","PSG_Normal_lock_VeryHard_Pressure","22","30","0.733","S_Peak","108","97","119","823","13","c5hole_lowchoice_v1_h03r_01_nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_01_nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","22","30","68","72","651","0.986","0.940","0.990","2","5","22","68","9.57","21","0.466","348","True","2","185.4","ok","215","Style=PressureHard | Score=22531 | TargetInitial=5 | OpeningRatio=0.029 | Straightness=0.466 | EarlyChoices=22.7/48 | LocalRun=6 | Jump=6.7 | NearRate=0.52 | Peel style=PressureHard seed=1738203128 fill=651/660(0.986) chains=68 remaining=9 rejectedShort=0 failedPeels=1"
"2","Campaign500NormalFullV1:h03r","nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1","nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1","12","112","1","v01","212","Main/Level_Main_112","normal","Peak","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Peak","Pressure","0","lock","PSG_Normal_lock_VeryHard_Pressure","22","30","0.733","S_Peak","108","97","119","823","13","c5hole_lowchoice_v1_h03r_02_nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_02_nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","22","30","63","72","650","0.985","0.940","0.979","2","7","17","63","10.32","21","0.494","333","True","2","167.9","ok","46","Style=PressureHard | Score=16589 | TargetInitial=4 | OpeningRatio=0.032 | Straightness=0.494 | EarlyChoices=21.2/54 | LocalRun=6 | Jump=6.0 | NearRate=0.61 | Peel style=PressureHard seed=1720513071 fill=650/660(0.985) chains=63 remaining=10 rejectedShort=0 failedPeels=1"
"3","Campaign500NormalFullV1:h03r","nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1","nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1","12","112","2","v02","212","Main/Level_Main_112","normal","Peak","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Peak","Pressure","0","lock","PSG_Normal_lock_VeryHard_Pressure","22","30","0.733","S_Peak","108","97","119","823","13","c5hole_lowchoice_v1_h03r_03_nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_03_nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","22","30","73","72","653","0.989","0.940","0.984","1","8","23","73","8.95","21","0.467","389","True","1","181.7","ok","280","Style=PressureHard | Score=18265 | TargetInitial=5 | OpeningRatio=0.014 | Straightness=0.467 | EarlyChoices=25.9/53 | LocalRun=5 | Jump=8.5 | NearRate=0.48 | Peel style=PressureHard seed=1745028801 fill=653/660(0.989) chains=73 remaining=7 rejectedShort=0 failedPeels=1"
"4","Campaign500NormalFullV1:h03r","nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1","nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1","12","112","3","v03","212","Main/Level_Main_112","normal","Peak","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Peak","Pressure","0","lock","PSG_Normal_lock_VeryHard_Pressure","22","30","0.733","S_Peak","108","97","119","823","13","c5hole_lowchoice_v1_h03r_04_nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_04_nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","22","30","74","72","649","0.983","0.940","0.990","1","7","23","74","8.77","20","0.511","350","True","1","186.5","ok","314","Style=PressureHard | Score=16946 | TargetInitial=5 | OpeningRatio=0.014 | Straightness=0.511 | EarlyChoices=29.1/48 | LocalRun=4 | Jump=7.2 | NearRate=0.48 | Peel style=PressureHard seed=1748598731 fill=649/660(0.983) chains=74 remaining=11 rejectedShort=0 failedPeels=1"
"5","Campaign500NormalFullV1:h03r","nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1","nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1","12","112","4","v04","212","Main/Level_Main_112","normal","Peak","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Peak","Pressure","0","lock","PSG_Normal_lock_VeryHard_Pressure","22","30","0.733","S_Peak","108","97","119","823","13","c5hole_lowchoice_v1_h03r_05_nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_05_nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","22","30","70","72","652","0.988","0.940","0.979","1","5","22","70","9.31","21","0.498","336","True","1","185.5","ok","255","Style=PressureHard | Score=17997 | TargetInitial=5 | OpeningRatio=0.014 | Straightness=0.498 | EarlyChoices=26.5/58 | LocalRun=5 | Jump=5.9 | NearRate=0.52 | Peel style=PressureHard seed=1742428864 fill=652/660(0.988) chains=70 remaining=8 rejectedShort=0 failedPeels=1"
"6","Campaign500NormalFullV1:h03r","nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1","nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1","12","112","5","v05","212","Main/Level_Main_112","normal","Peak","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Peak","Pressure","0","lock","PSG_Normal_lock_VeryHard_Pressure","22","30","0.733","S_Peak","108","97","119","823","13","c5hole_lowchoice_v1_h03r_06_nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_06_nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","22","30","67","72","650","0.985","0.940","0.979","1","8","18","67","9.70","19","0.479","355","True","1","170.5","ok","366","Style=PressureHard | Score=15066 | TargetInitial=5 | OpeningRatio=0.015 | Straightness=0.479 | EarlyChoices=23.3/59 | LocalRun=6 | Jump=8.0 | NearRate=0.39 | Peel style=PressureHard seed=1754062927 fill=650/660(0.985) chains=67 remaining=10 rejectedShort=0 failedPeels=1"
"7","Campaign500NormalFullV1:h03r","nutation_strict_mixed_peak_v1_rect_s12_o112_v00_strictmixedpeak_strict_peak_chain_hf1","nutation_strict_mixed_peak_v1_rect_s12_o112_v00_strictmixedpeak_strict_peak_chain_hf1","12","112","0","v00","212","Main/Level_Main_112","normal","Peak","StrictMixedPeak","strict_mixed_dependency","strict_peak_chain_hf1","Peak","Pressure","0","lock","PSG_Normal_lock_VeryHard_Pressure","22","30","0.733","S_Peak","108","97","119","823","13","c5hole_lowchoice_v1_h03r_07_nutation_strict_mixed_peak_v1_rect_s12_o112_v00_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_07_nutation_strict_mixed_peak_v1_rect_s12_o112_v00_strictmixedpeak_strict_peak_chain_hf1.asset","22","30","70","92","643","0.974","0.950","0.969","3","8","20","70","9.19","21","0.469","261","True","3","184.3","ok","98","Style=PressureHard | Score=5759 | TargetInitial=5 | OpeningRatio=0.043 | Straightness=0.469 | EarlyChoices=19.5/40 | LocalRun=5 | Jump=7.9 | NearRate=0.55 | Peel style=PressureHard seed=357042826 fill=643/660(0.974) chains=70 remaining=17 rejectedShort=0 failedPeels=1"
"8","Campaign500NormalFullV1:h03r","nutation_strict_mixed_peak_v1_rect_s12_o112_v01_strictmixedpeak_strict_peak_chain_hf1","nutation_strict_mixed_peak_v1_rect_s12_o112_v01_strictmixedpeak_strict_peak_chain_hf1","12","112","1","v01","212","Main/Level_Main_112","normal","Peak","StrictMixedPeak","strict_mixed_dependency","strict_peak_chain_hf1","Peak","Pressure","0","lock","PSG_Normal_lock_VeryHard_Pressure","22","30","0.733","S_Peak","108","97","119","823","13","c5hole_lowchoice_v1_h03r_08_nutation_strict_mixed_peak_v1_rect_s12_o112_v01_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_08_nutation_strict_mixed_peak_v1_rect_s12_o112_v01_strictmixedpeak_strict_peak_chain_hf1.asset","22","30","77","92","653","0.989","0.950","0.979","2","8","27","77","8.48","21","0.479","419","True","2","184.5","ok","288","Style=PressureHard | Score=3636 | TargetInitial=5 | OpeningRatio=0.026 | Straightness=0.479 | EarlyChoices=26.3/56 | LocalRun=7 | Jump=6.9 | NearRate=0.58 | Peel style=PressureHard seed=376950480 fill=653/660(0.989) chains=77 remaining=7 rejectedShort=0 failedPeels=1"
"9","Campaign500NormalFullV1:h03r","nutation_strict_mixed_peak_v1_rect_s12_o112_v02_strictmixedpeak_strict_peak_chain_hf1","nutation_strict_mixed_peak_v1_rect_s12_o112_v02_strictmixedpeak_strict_peak_chain_hf1","12","112","2","v02","212","Main/Level_Main_112","normal","Peak","StrictMixedPeak","strict_mixed_dependency","strict_peak_chain_hf1","Peak","Pressure","0","lock","PSG_Normal_lock_VeryHard_Pressure","22","30","0.733","S_Peak","108","97","119","823","13","c5hole_lowchoice_v1_h03r_09_nutation_strict_mixed_peak_v1_rect_s12_o112_v02_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_09_nutation_strict_mixed_peak_v1_rect_s12_o112_v02_strictmixedpeak_strict_peak_chain_hf1.asset","22","30","75","92","651","0.986","0.950","0.979","5","8","25","75","8.68","20","0.467","307","True","5","176.3","ok","141","Style=PressureHard | Score=3612 | TargetInitial=5 | OpeningRatio=0.067 | Straightness=0.467 | EarlyChoices=24.8/51 | LocalRun=3 | Jump=8.3 | NearRate=0.48 | Peel style=PressureHard seed=361564461 fill=651/660(0.986) chains=75 remaining=9 rejectedShort=0 failedPeels=1"
"10","Campaign500NormalFullV1:h03r","nutation_strict_mixed_peak_v1_rect_s12_o112_v03_strictmixedpeak_strict_peak_chain_hf1","nutation_strict_mixed_peak_v1_rect_s12_o112_v03_strictmixedpeak_strict_peak_chain_hf1","12","112","3","v03","212","Main/Level_Main_112","normal","Peak","StrictMixedPeak","strict_mixed_dependency","strict_peak_chain_hf1","Peak","Pressure","0","lock","PSG_Normal_lock_VeryHard_Pressure","22","30","0.733","S_Peak","108","97","119","823","13","c5hole_lowchoice_v1_h03r_10_nutation_strict_mixed_peak_v1_rect_s12_o112_v03_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_10_nutation_strict_mixed_peak_v1_rect_s12_o112_v03_strictmixedpeak_strict_peak_chain_hf1.asset","22","30","72","92","653","0.989","0.950","0.995","2","5","21","72","9.07","21","0.505","317","True","2","187.0","ok","311","Style=PressureHard | Score=-977 | TargetInitial=5 | OpeningRatio=0.028 | Straightness=0.505 | EarlyChoices=30.3/60 | LocalRun=3 | Jump=7.4 | NearRate=0.42 | Peel style=PressureHard seed=379377535 fill=653/660(0.989) chains=72 remaining=7 rejectedShort=0 failedPeels=1"
"11","Campaign500NormalFullV1:h03r","nutation_strict_mixed_peak_v1_rect_s12_o112_v04_strictmixedpeak_strict_peak_chain_hf1","nutation_strict_mixed_peak_v1_rect_s12_o112_v04_strictmixedpeak_strict_peak_chain_hf1","12","112","4","v04","212","Main/Level_Main_112","normal","Peak","StrictMixedPeak","strict_mixed_dependency","strict_peak_chain_hf1","Peak","Pressure","0","lock","PSG_Normal_lock_VeryHard_Pressure","22","30","0.733","S_Peak","108","97","119","823","13","c5hole_lowchoice_v1_h03r_11_nutation_strict_mixed_peak_v1_rect_s12_o112_v04_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_11_nutation_strict_mixed_peak_v1_rect_s12_o112_v04_strictmixedpeak_strict_peak_chain_hf1.asset","22","30","66","92","648","0.982","0.950","0.969","2","5","21","66","9.82","21","0.498","282","True","2","173.7","ok","364","Style=PressureHard | Score=2854 | TargetInitial=5 | OpeningRatio=0.030 | Straightness=0.498 | EarlyChoices=21.9/46 | LocalRun=5 | Jump=8.5 | NearRate=0.48 | Peel style=PressureHard seed=384937316 fill=648/660(0.982) chains=66 remaining=12 rejectedShort=0 failedPeels=1"
