"strict","score","order","section10","levelId","path","source","solved","sourceCoverage","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","solveSameAxisRunMax","solveSameDirHeadRunMax"
"True","7561.3","136","14","c5hole_lowchoice_v1_h03r_31_nutation_strict_mixed_peak_v1_rect_s14_o136_v00_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_31_nutation_strict_mixed_peak_v1_rect_s14_o136_v00_strictmixedpeak_strict_peak_chain_hf1.asset","c5hole_lowchoice_v1_h03r_order136_shortroot1_trace_joined.csv","True","0.984","8","4","4","0.905","0.153","7","5"
"True","6794.1","136","14","c5hole_lowchoice_v1_h03r_25_nutation_strict_mixed_choiceclamp_v1_rect_s14_o136_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_25_nutation_strict_mixed_choiceclamp_v1_rect_s14_o136_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h03r_order136_shortroot1_trace_joined.csv","True","0.992","11","5","4","0.89","0.181","7","7"
"True","6580.6","136","14","c5hole_lowchoice_v1_h03r_34_nutation_strict_mixed_peak_v1_rect_s14_o136_v03_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_34_nutation_strict_mixed_peak_v1_rect_s14_o136_v03_strictmixedpeak_strict_peak_chain_hf1.asset","c5hole_lowchoice_v1_h03r_order136_shortroot1_trace_joined.csv","True","0.987","9","5","5","0.84","0.196","6","6"
"True","6448","136","14","c5hole_lowchoice_v1_h03r_35_nutation_strict_mixed_peak_v1_rect_s14_o136_v04_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_35_nutation_strict_mixed_peak_v1_rect_s14_o136_v04_strictmixedpeak_strict_peak_chain_hf1.asset","c5hole_lowchoice_v1_h03r_order136_shortroot1_trace_joined.csv","True","0.991","10","6","4","0.854","0.22","7","7"
"False","5984.9","136","14","c5hole_lowchoice_v1_h03r_32_nutation_strict_mixed_peak_v1_rect_s14_o136_v01_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_32_nutation_strict_mixed_peak_v1_rect_s14_o136_v01_strictmixedpeak_strict_peak_chain_hf1.asset","c5hole_lowchoice_v1_h03r_order136_shortroot1_trace_joined.csv","True","0.982","11","8","3","0.829","0.219","7","6"
"False","5386.9","136","14","c5hole_lowchoice_v1_h03r_29_nutation_strict_mixed_choiceclamp_v1_rect_s14_o136_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_29_nutation_strict_mixed_choiceclamp_v1_rect_s14_o136_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h03r_order136_shortroot1_trace_joined.csv","True","0.974","10","6","6","0.796","0.369","9","9"
"False","5280","136","14","c5hole_lowchoice_v1_h03r_30_nutation_strict_mixed_choiceclamp_v1_rect_s14_o136_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_30_nutation_strict_mixed_choiceclamp_v1_rect_s14_o136_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h03r_order136_shortroot1_trace_joined.csv","True","0.988","10","5","5","0.773","0.37","10","9"
"False","5276.2","136","14","c5hole_lowchoice_v1_h03r_28_nutation_strict_mixed_choiceclamp_v1_rect_s14_o136_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_28_nutation_strict_mixed_choiceclamp_v1_rect_s14_o136_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h03r_order136_shortroot1_trace_joined.csv","True","0.99","14","9","5","0.842","0.282","8","8"
"False","5228","136","14","c5hole_lowchoice_v1_h03r_36_nutation_strict_mixed_peak_v1_rect_s14_o136_v05_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_36_nutation_strict_mixed_peak_v1_rect_s14_o136_v05_strictmixedpeak_strict_peak_chain_hf1.asset","c5hole_lowchoice_v1_h03r_order136_shortroot1_trace_joined.csv","True","0.986","10","11","9","0.822","0.27","8","7"
"False","4942","136","14","c5hole_lowchoice_v1_h03r_26_nutation_strict_mixed_choiceclamp_v1_rect_s14_o136_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_26_nutation_strict_mixed_choiceclamp_v1_rect_s14_o136_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h03r_order136_shortroot1_trace_joined.csv","True","0.987","10","8","4","0.769","0.35","15","6"
