"selected","levelId","path","source","order","section10","variantIndex","variantLabel","productionLane","productionChainLanguage","productionDifficultyBand","coverage","chains","portableOpeners","status"
"1","c5hole_lowchoice_v1_h04r_01_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_01_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order152_shortroot1","152","16","0","v00","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Hard","0.986","73","4","Style=PressureHard | Score=24796 | TargetInitial=5 | OpeningRatio=0.055 | Straightness=0.487 | EarlyChoices=23.5/54 | LocalRun=8 | Jump=8.8 | NearRate=0.61 | Peel style=PressureHard seed=1352756449 fill=703/713(0.986) chains=73 remaining=10 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h04r_02_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_02_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order152_shortroot1","152","16","1","v01","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Hard","0.989","76","3","Style=PressureHard | Score=22801 | TargetInitial=5 | OpeningRatio=0.039 | Straightness=0.499 | EarlyChoices=25.3/53 | LocalRun=8 | Jump=5.2 | NearRate=0.71 | Peel style=PressureHard seed=1319042855 fill=705/713(0.989) chains=76 remaining=8 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h04r_03_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_03_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order152_shortroot1","152","16","2","v02","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Hard","0.990","76","3","Style=PressureHard | Score=23977 | TargetInitial=5 | OpeningRatio=0.053 | Straightness=0.525 | EarlyChoices=25.2/50 | LocalRun=6 | Jump=7.7 | NearRate=0.52 | Peel style=PressureHard seed=1323660075 fill=706/713(0.990) chains=76 remaining=7 rejectedShort=0 failedPeels=1 | FlipGate=ops=1 initial=4->3 edgeHeads=8->8 earlyChoices=25.0/50 localRun=6 jump=7.7 near=0.52 targetInitial=3"
"1","c5hole_lowchoice_v1_h04r_04_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_04_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order152_shortroot1","152","16","3","v03","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Hard","0.993","69","3","Style=PressureHard | Score=30863 | TargetInitial=5 | OpeningRatio=0.043 | Straightness=0.481 | EarlyChoices=24.1/54 | LocalRun=5 | Jump=7.3 | NearRate=0.65 | Peel style=PressureHard seed=1316128731 fill=708/713(0.993) chains=69 remaining=5 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h04r_05_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_05_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order152_shortroot1","152","16","4","v04","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Hard","0.990","69","1","Style=PressureHard | Score=30555 | TargetInitial=5 | OpeningRatio=0.014 | Straightness=0.479 | EarlyChoices=19.5/50 | LocalRun=6 | Jump=6.5 | NearRate=0.65 | Peel style=PressureHard seed=1340958648 fill=706/713(0.990) chains=69 remaining=7 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h04r_06_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_06_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order152_shortroot1","152","16","5","v05","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Hard","0.983","72","1","Style=PressureHard | Score=23160 | TargetInitial=5 | OpeningRatio=0.014 | Straightness=0.513 | EarlyChoices=25.6/52 | LocalRun=6 | Jump=5.9 | NearRate=0.68 | Peel style=PressureHard seed=1317927412 fill=701/713(0.983) chains=72 remaining=12 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h04r_07_nutation_strict_mixed_hard_v1_rect_s16_o152_v00_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_07_nutation_strict_mixed_hard_v1_rect_s16_o152_v00_strictmixedhard_strict_hard_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order152_shortroot1","152","16","0","v00","StrictMixedHard","strict_hard_chain_hf1","Hard","0.990","78","1","Style=PressureHard | Score=15838 | TargetInitial=5 | OpeningRatio=0.013 | Straightness=0.453 | EarlyChoices=32.0/51 | LocalRun=7 | Jump=6.4 | NearRate=0.71 | Peel style=PressureHard seed=878599382 fill=706/713(0.990) chains=78 remaining=7 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h04r_08_nutation_strict_mixed_hard_v1_rect_s16_o152_v01_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_08_nutation_strict_mixed_hard_v1_rect_s16_o152_v01_strictmixedhard_strict_hard_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order152_shortroot1","152","16","1","v01","StrictMixedHard","strict_hard_chain_hf1","Hard","0.986","79","3","Style=PressureHard | Score=21406 | TargetInitial=6 | OpeningRatio=0.038 | Straightness=0.466 | EarlyChoices=23.6/44 | LocalRun=8 | Jump=5.8 | NearRate=0.61 | Peel style=PressureHard seed=912331264 fill=703/713(0.986) chains=79 remaining=10 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h04r_09_nutation_strict_mixed_hard_v1_rect_s16_o152_v02_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_09_nutation_strict_mixed_hard_v1_rect_s16_o152_v02_strictmixedhard_strict_hard_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order152_shortroot1","152","16","2","v02","StrictMixedHard","strict_hard_chain_hf1","Hard","0.980","70","1","Style=PressureHard | Score=19892 | TargetInitial=5 | OpeningRatio=0.014 | Straightness=0.465 | EarlyChoices=22.9/46 | LocalRun=4 | Jump=8.3 | NearRate=0.52 | Peel style=PressureHard seed=877675109 fill=699/713(0.980) chains=70 remaining=14 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h04r_10_nutation_strict_mixed_hard_v1_rect_s16_o152_v03_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_10_nutation_strict_mixed_hard_v1_rect_s16_o152_v03_strictmixedhard_strict_hard_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order152_shortroot1","152","16","3","v03","StrictMixedHard","strict_hard_chain_hf1","Hard","0.980","81","1","Style=PressureHard | Score=22257 | TargetInitial=6 | OpeningRatio=0.012 | Straightness=0.495 | EarlyChoices=23.2/50 | LocalRun=8 | Jump=8.2 | NearRate=0.58 | Peel style=PressureHard seed=874856570 fill=699/713(0.980) chains=81 remaining=14 rejectedShort=0 failedPeels=1"
