"rankClass","psgRankScore","processKeep","visualPass","keepCandidate","stsMetricPresent","stsPass","stsKeepCandidate","rejectReasons","slot","sourceIndex","order","sourceBatch","sourceReport","section10","variantIndex","variantLabel","mainMissionId","levelName","category","roleInSection","productionLane","productionStyleFamily","productionChainLanguage","productionDifficultyBand","experienceRole","reviewOnly","plannedWidth","plannedHeight","plannedAspect","plannedCanvasBand","plannedTargetChains","targetChainsMin","targetChainsMax","referenceArrowTiles","referenceMaxChainLength","actualTargetChains","mode","styleHint","profileHint","type","styleFamily","generatorVariant","generatorGrammar","chainLanguage","chainLanguageDetail","chainTags","flowLanguage","flowTags","riskTags","styleRiskBand","specId","levelId","assetPath","path","selected","width","height","sourceCoverage","chains","sourceAvgChain","sourceMaxChain","sourceStraightness","sourceShortChainRate","sourceEdgeHeadRate","sourceOpeners","sourceEdgeHeads","solved","processTier","processTierReason","avgChoices","maxChoices","localPatchRun","nearOuterRun","dependencyFollowRun","directionalRisk","stripeRisk","edgeInwardSweepRun","edgeInwardSweepSide","startSideHint","solveVectorRun","solveTraceQualityScore","solveTraceCollapseRiskScore","solveAxisDriftRate","solveSameAxisRunMax","solveSameDirHeadRunMax","solveRegionEntropy","solveRegionCollapseRunMax","solveFrontWidthAvg","solveFrontWidthNarrowRate","dependencyRegionEntropy","dependencyLocalSameRegionRate","dependencySameAxisHeadRate","dependencySameDirHeadRate","dependencyBraidScore","hardStructureV3Class","sourceStatus"
"TraceOrderKeep","2.824","True","True","True","True","True","True","","152","9","152","Campaign500NormalFullV1:h04r","","16","2","v02","252","Main/Level_Main_152","normal","Hard","StrictMixedHard","strict_mixed_dependency","strict_hard_chain_hf1","Hard","Normal","0","23","31","0.742","M_PeelMid","106","95","117","804","13","84","","lock","PSG_Normal_lock_Hard_Normal","nutation_strict_mixed_hard_v1_rect_s16_o152_v02_strictmixedhard_strict_hard_chain_hf1","mixed_unknown","unknown_variant","rectangle_peel","curve_chain","short_patchwork","short_patchwork;woven_medium","staged_unlock","peel_grammar;multi_region;axis_drift;staged_unlock;peel_visible","","clean","nutation_strict_mixed_hard_v1_rect_s16_o152_v02_strictmixedhard_strict_hard_chain_hf1","c5hole_lowchoice_v1_h04r_09_nutation_strict_mixed_hard_v1_rect_s16_o152_v02_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_09_nutation_strict_mixed_hard_v1_rect_s16_o152_v02_strictmixedhard_strict_hard_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_09_nutation_strict_mixed_hard_v1_rect_s16_o152_v02_strictmixedhard_strict_hard_chain_hf1.asset","1","23","31","0.98","70","9.99","21","0.465","0.286","0.071","1","5","True","A","usable process curve","4.84","8","3","3","3","0.03","0.1","2","L","left-edge inward / starts around left side","2","0.907","0.118","0.493","6","5","0.984","3","3.214","0.157","0.985","0.478","0.536","0.464","0.364","LocalEasy","Style=PressureHard | Score=19892 | TargetInitial=5 | OpeningRatio=0.014 | Straightness=0.465 | EarlyChoices=22.9/46 | LocalRun=4 | Jump=8.3 | NearRate=0.52 | Peel style=PressureHard seed=877675109 fill=699/713(0.980) chains=70 remaining=14 rejectedShort=0 failedPeels=1"
"TraceOrderKeep","2.739","True","True","True","True","True","True","","152","3","152","Campaign500NormalFullV1:h04r","","16","2","v02","252","Main/Level_Main_152","normal","Hard","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Hard","Normal","0","23","31","0.742","M_PeelMid","106","95","117","804","13","72","","lock","PSG_Normal_lock_Hard_Normal","nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1","mixed_unknown","unknown_variant","rectangle_peel","curve_chain","short_patchwork","short_patchwork;woven_medium;edge_headed","staged_unlock","peel_grammar;multi_region;wide_front;staged_unlock;peel_visible;sweep_pressure","choice_peak_watch;stripe_watch;same_axis_watch;same_dir_watch","watch","nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1","c5hole_lowchoice_v1_h04r_03_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_03_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_03_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","1","23","31","0.99","76","9.29","21","0.525","0.303","0.105","3","8","True","A","usable process curve","5.11","10","3","3","4","0.03","0.129","2","R","right-edge inward / starts around right side","3","0.903","0.188","0.453","7","7","0.982","3","3.737","0.105","0.978","0.534","0.521","0.425","0.373","LocalEasy","Style=PressureHard | Score=23977 | TargetInitial=5 | OpeningRatio=0.053 | Straightness=0.525 | EarlyChoices=25.2/50 | LocalRun=6 | Jump=7.7 | NearRate=0.52 | Peel style=PressureHard seed=1323660075 fill=706/713(0.990) chains=76 remaining=7 rejectedShort=0 failedPeels=1 | FlipGate=ops=1 initial=4->3 edgeHeads=8->8 earlyChoices=25.0/50 localRun=6 jump=7.7 near=0.52 targetInitial=3"
"TraceOrderKeep","2.642","True","False","False","True","True","True","localPatchRun>7","152","12","152","Campaign500NormalFullV1:h04r","","16","5","v05","252","Main/Level_Main_152","normal","Hard","StrictMixedHard","strict_mixed_dependency","strict_hard_chain_hf1","Hard","Normal","0","23","31","0.742","M_PeelMid","106","95","117","804","13","84","","lock","PSG_Normal_lock_Hard_Normal","nutation_strict_mixed_hard_v1_rect_s16_o152_v05_strictmixedhard_strict_hard_chain_hf1","mixed_unknown","unknown_variant","rectangle_peel","curve_chain","short_patchwork","short_patchwork;woven_medium;edge_headed","single_axis_sweep","peel_grammar;multi_region;staged_unlock;peel_visible;sweep_pressure","directional_sweep_watch;local_patch_run;same_axis_watch;same_dir_watch","high_risk","nutation_strict_mixed_hard_v1_rect_s16_o152_v05_strictmixedhard_strict_hard_chain_hf1","c5hole_lowchoice_v1_h04r_12_nutation_strict_mixed_hard_v1_rect_s16_o152_v05_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_12_nutation_strict_mixed_hard_v1_rect_s16_o152_v05_strictmixedhard_strict_hard_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_12_nutation_strict_mixed_hard_v1_rect_s16_o152_v05_strictmixedhard_strict_hard_chain_hf1.asset","1","23","31","0.985","77","9.12","21","0.507","0.364","0.091","3","7","True","B","flow or late-campaign only","4.83","9","8","4","5","0.326","0.051","2","T","top-edge inward / starts around top side","3","0.841","0.24","0.461","7","6","0.992","5","3.468","0.208","0.992","0.5","0.514","0.446","0.367","LocalEasy","Style=PressureHard | Score=18836 | TargetInitial=5 | OpeningRatio=0.039 | Straightness=0.507 | EarlyChoices=24.0/57 | LocalRun=5 | Jump=6.8 | NearRate=0.61 | Peel style=PressureHard seed=878749831 fill=702/713(0.985) chains=77 remaining=11 rejectedShort=0 failedPeels=1"
"VisualKeep","2.083","True","True","True","True","False","False","solveTraceQuality<0.82;solveTraceCollapseRisk>0.28;sameAxisRun>9;sameDirRun>8","152","4","152","Campaign500NormalFullV1:h04r","","16","3","v03","252","Main/Level_Main_152","normal","Hard","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Hard","Normal","0","23","31","0.742","M_PeelMid","106","95","117","804","13","72","","lock","PSG_Normal_lock_Hard_Normal","nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1","mixed_unknown","unknown_variant","rectangle_peel","curve_chain","woven_medium","woven_medium","local_collapse","peel_grammar;multi_region;staged_unlock;peel_visible;sweep_pressure;collapse_risk","stripe_watch;solve_collapse;same_axis_run;same_dir_run","high_risk","nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1","c5hole_lowchoice_v1_h04r_04_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_04_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_04_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","1","23","31","0.993","69","10.26","21","0.481","0.203","0.043","3","3","True","B","flow or late-campaign only","4.3","8","5","3","4","0.15","0.131","2","L","left-edge inward / starts around left side","4","0.772","0.406","0.397","14","14","0.995","5","3.261","0.261","0.989","0.485","0.652","0.576","0.28","LocalEasy","Style=PressureHard | Score=30863 | TargetInitial=5 | OpeningRatio=0.043 | Straightness=0.481 | EarlyChoices=24.1/54 | LocalRun=5 | Jump=7.3 | NearRate=0.65 | Peel style=PressureHard seed=1316128731 fill=708/713(0.993) chains=69 remaining=5 rejectedShort=0 failedPeels=1"
"VisualKeep","2.072","True","True","True","True","False","False","solveTraceCollapseRisk>0.28;sameAxisRun>9;sameDirRun>8","152","5","152","Campaign500NormalFullV1:h04r","","16","4","v04","252","Main/Level_Main_152","normal","Hard","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Hard","Normal","0","23","31","0.742","M_PeelMid","106","95","117","804","13","72","","lock","PSG_Normal_lock_Hard_Normal","nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1","mixed_unknown","unknown_variant","rectangle_peel","curve_chain","short_patchwork","short_patchwork;woven_medium","single_axis_sweep","peel_grammar;multi_region;staged_unlock;sweep_pressure","near_outer_watch;solve_collapse;same_axis_run;same_dir_run","high_risk","nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1","c5hole_lowchoice_v1_h04r_05_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_05_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_05_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","1","23","31","0.99","69","10.23","21","0.479","0.304","0.072","1","5","True","B","flow or late-campaign only","4.88","8","5","5","3","0.187","0.045","1","R","right-edge inward / starts around right side","4","0.862","0.331","0.426","11","11","0.996","3","3.406","0.217","0.995","0.485","0.559","0.471","0.324","LocalEasy","Style=PressureHard | Score=30555 | TargetInitial=5 | OpeningRatio=0.014 | Straightness=0.479 | EarlyChoices=19.5/50 | LocalRun=6 | Jump=6.5 | NearRate=0.65 | Peel style=PressureHard seed=1340958648 fill=706/713(0.990) chains=69 remaining=7 rejectedShort=0 failedPeels=1"
"VisualKeep","2.004","True","True","True","True","False","False","solveTraceQuality<0.82;solveTraceCollapseRisk>0.28","152","10","152","Campaign500NormalFullV1:h04r","","16","3","v03","252","Main/Level_Main_152","normal","Hard","StrictMixedHard","strict_mixed_dependency","strict_hard_chain_hf1","Hard","Normal","0","23","31","0.742","M_PeelMid","106","95","117","804","13","84","","lock","PSG_Normal_lock_Hard_Normal","nutation_strict_mixed_hard_v1_rect_s16_o152_v03_strictmixedhard_strict_hard_chain_hf1","mixed_unknown","unknown_variant","rectangle_peel","patch_chain","short_patchwork","short_patchwork;edge_headed","single_axis_sweep","peel_grammar;multi_region;axis_drift;wide_front;staged_unlock;peel_visible;sweep_pressure","choice_peak_watch;directional_sweep_watch;solve_collapse;same_axis_watch;same_dir_watch","high_risk","nutation_strict_mixed_hard_v1_rect_s16_o152_v03_strictmixedhard_strict_hard_chain_hf1","c5hole_lowchoice_v1_h04r_10_nutation_strict_mixed_hard_v1_rect_s16_o152_v03_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_10_nutation_strict_mixed_hard_v1_rect_s16_o152_v03_strictmixedhard_strict_hard_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_10_nutation_strict_mixed_hard_v1_rect_s16_o152_v03_strictmixedhard_strict_hard_chain_hf1.asset","1","23","31","0.98","81","8.63","21","0.495","0.321","0.099","1","8","True","B","flow or late-campaign only","5.27","10","6","4","4","0.229","0.105","2","R","right-edge inward / starts around right side","4","0.79","0.299","0.525","9","7","0.992","5","3.963","0.173","0.992","0.538","0.55","0.45","0.324","LocalEasy","Style=PressureHard | Score=22257 | TargetInitial=6 | OpeningRatio=0.012 | Straightness=0.495 | EarlyChoices=23.2/50 | LocalRun=8 | Jump=8.2 | NearRate=0.58 | Peel style=PressureHard seed=874856570 fill=699/713(0.980) chains=81 remaining=14 rejectedShort=0 failedPeels=1"
"VisualKeep","1.985","True","True","True","True","False","False","solveTraceQuality<0.82","152","2","152","Campaign500NormalFullV1:h04r","","16","1","v01","252","Main/Level_Main_152","normal","Hard","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Hard","Normal","0","23","31","0.742","M_PeelMid","106","95","117","804","13","72","","lock","PSG_Normal_lock_Hard_Normal","nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1","mixed_unknown","unknown_variant","rectangle_peel","curve_chain","short_patchwork","short_patchwork;woven_medium;edge_headed","local_collapse","peel_grammar;multi_region;wide_front;staged_unlock;sweep_pressure;collapse_risk","choice_peak_watch;directional_sweep_watch;local_patch_watch;collapse_watch;same_dir_watch;region_collapse_run","high_risk","nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1","c5hole_lowchoice_v1_h04r_02_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_02_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_02_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","1","23","31","0.989","76","9.28","21","0.499","0.329","0.079","3","6","True","B","flow or late-campaign only","5.99","10","7","4","4","0.301","0.104","1","B","bottom-edge inward / starts around bottom side","2","0.81","0.252","0.467","6","6","0.989","6","3.632","0.171","0.985","0.521","0.603","0.534","0.185","LocalEasy","Style=PressureHard | Score=22801 | TargetInitial=5 | OpeningRatio=0.039 | Straightness=0.499 | EarlyChoices=25.3/53 | LocalRun=8 | Jump=5.2 | NearRate=0.71 | Peel style=PressureHard seed=1319042855 fill=705/713(0.989) chains=76 remaining=8 rejectedShort=0 failedPeels=1"
"VisualKeep","1.926","True","True","True","True","False","False","solveTraceQuality<0.82;solveTraceCollapseRisk>0.28;sameAxisRun>9;sameDirRun>8","152","11","152","Campaign500NormalFullV1:h04r","","16","4","v04","252","Main/Level_Main_152","normal","Hard","StrictMixedHard","strict_mixed_dependency","strict_hard_chain_hf1","Hard","Normal","0","23","31","0.742","M_PeelMid","106","95","117","804","13","84","","lock","PSG_Normal_lock_Hard_Normal","nutation_strict_mixed_hard_v1_rect_s16_o152_v04_strictmixedhard_strict_hard_chain_hf1","mixed_unknown","unknown_variant","rectangle_peel","curve_chain","short_patchwork","short_patchwork;woven_medium;edge_headed","local_collapse","peel_grammar;multi_region;wide_front;stable_front;peel_visible;sweep_pressure;collapse_risk","choice_peak_watch;directional_sweep_watch;near_outer_watch;solve_collapse;same_axis_run;same_dir_run;region_collapse_run;dependency_local_watch","high_risk","nutation_strict_mixed_hard_v1_rect_s16_o152_v04_strictmixedhard_strict_hard_chain_hf1","c5hole_lowchoice_v1_h04r_11_nutation_strict_mixed_hard_v1_rect_s16_o152_v04_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_11_nutation_strict_mixed_hard_v1_rect_s16_o152_v04_strictmixedhard_strict_hard_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_11_nutation_strict_mixed_hard_v1_rect_s16_o152_v04_strictmixedhard_strict_hard_chain_hf1.asset","1","23","31","0.99","77","9.17","20","0.462","0.299","0.078","2","6","True","B","flow or late-campaign only","5.68","10","6","5","3","0.306","0.091","2","B","bottom-edge inward / starts around bottom side","3","0.726","0.45","0.461","12","9","0.996","7","4.091","0.091","0.997","0.613","0.56","0.493","0.158","LocalEasy","Style=PressureHard | Score=21188 | TargetInitial=5 | OpeningRatio=0.026 | Straightness=0.462 | EarlyChoices=23.5/56 | LocalRun=7 | Jump=6.3 | NearRate=0.58 | Peel style=PressureHard seed=903456731 fill=706/713(0.990) chains=77 remaining=7 rejectedShort=0 failedPeels=1"
"ProcessKeep","1.256","True","False","False","True","True","False","localPatchRunHard>9","152","6","152","Campaign500NormalFullV1:h04r","","16","5","v05","252","Main/Level_Main_152","normal","Hard","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Hard","Normal","0","23","31","0.742","M_PeelMid","106","95","117","804","13","72","","lock","PSG_Normal_lock_Hard_Normal","nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1","mixed_unknown","unknown_variant","rectangle_peel","curve_chain","short_patchwork","short_patchwork;woven_medium;edge_headed","local_collapse","peel_grammar;multi_region;wide_front;staged_unlock;peel_visible;sweep_pressure;collapse_risk","choice_peak_watch;directional_sweep;local_patch_run;near_outer_watch;same_axis_watch","high_risk","nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1","c5hole_lowchoice_v1_h04r_06_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_06_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_06_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","1","23","31","0.983","72","9.74","21","0.513","0.319","0.097","1","7","True","B","flow or late-campaign only","5.33","11","10","5","4","0.453","0.117","2","L","left-edge inward / starts around left side","3","0.845","0.217","0.437","8","5","0.995","5","3.708","0.139","0.996","0.451","0.549","0.479","0.344","LocalEasy","Style=PressureHard | Score=23160 | TargetInitial=5 | OpeningRatio=0.014 | Straightness=0.513 | EarlyChoices=25.6/52 | LocalRun=6 | Jump=5.9 | NearRate=0.68 | Peel style=PressureHard seed=1317927412 fill=701/713(0.983) chains=72 remaining=12 rejectedShort=0 failedPeels=1"
"ProcessKeep","1.207","True","False","False","True","False","False","solveTraceQuality<0.82;solveTraceCollapseRisk>0.28;sameAxisRun>9;sameDirRun>8","152","1","152","Campaign500NormalFullV1:h04r","","16","0","v00","252","Main/Level_Main_152","normal","Hard","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Hard","Normal","0","23","31","0.742","M_PeelMid","106","95","117","804","13","72","","lock","PSG_Normal_lock_Hard_Normal","nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","mixed_unknown","unknown_variant","rectangle_peel","curve_chain","short_patchwork","short_patchwork;woven_medium;edge_headed","local_collapse","peel_grammar;multi_region;wide_front;staged_unlock;sweep_pressure;collapse_risk","choice_peak_watch;broad_choice_curve;directional_sweep;local_patch_run;near_outer_watch;solve_collapse;same_axis_run;same_dir_run","high_risk","nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","c5hole_lowchoice_v1_h04r_01_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_01_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_01_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","1","23","31","0.986","73","9.63","21","0.487","0.315","0.082","4","6","True","B","flow or late-campaign only","6.45","10","9","5","4","0.405","0.063","1","T","top-edge inward / starts around top side","3","0.768","0.388","0.361","14","11","0.999","5","4.329","0.137","0.996","0.391","0.58","0.478","0.248","LocalEasy","Style=PressureHard | Score=24796 | TargetInitial=5 | OpeningRatio=0.055 | Straightness=0.487 | EarlyChoices=23.5/54 | LocalRun=8 | Jump=8.8 | NearRate=0.61 | Peel style=PressureHard seed=1352756449 fill=703/713(0.986) chains=73 remaining=10 rejectedShort=0 failedPeels=1"
