"Index","SourceBatch","SpecId","Type","Section10","Order","VariantIndex","VariantLabel","MainMissionId","LevelName","Category","RoleInSection","ProductionLane","ProductionStyleFamily","ProductionChainLanguage","ProductionDifficultyBand","ExperienceRole","ReviewOnly","StyleHint","ProfileHint","PlannedWidth","PlannedHeight","PlannedAspect","PlannedCanvasBand","PlannedTargetChains","TargetChainsMin","TargetChainsMax","ReferenceArrowTiles","ReferenceMaxChainLength","LevelId","AssetPath","Width","Height","Chains","TargetChains","Arrows","Coverage","TargetCoverage","OuterBandCoverage","InitialMovableChains","EdgeHeadChains","ShortChains","GreedyMoves","AvgChain","MaxChain","Straightness","BlockLinks","PortableSolved","PortableOpeners","PortableScore","PortableQuality","Attempts","Status"
"25","Campaign500NormalFullV1:h04r","nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","18","172","0","v00","272","Main/Level_Main_172","normal","Hard","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Hard","Pressure","0","section","PSG_Normal_section_Hard_Pressure","23","31","0.742","M_PeelMid","106","95","117","772","13","c5hole_lowchoice_v1_h04r_25_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_25_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","23","31","68","72","700","0.982","0.940","0.980","3","4","23","68","10.29","21","0.470","344","True","3","175.6","ok","190","Style=PressureHard | Score=23694 | TargetInitial=5 | OpeningRatio=0.059 | Straightness=0.470 | EarlyChoices=20.9/62 | LocalRun=6 | Jump=8.8 | NearRate=0.61 | Peel style=PressureHard seed=2026837457 fill=700/713(0.982) chains=68 remaining=13 rejectedShort=0 failedPeels=1 | FlipGate=ops=2 initial=4->3 edgeHeads=5->4 earlyChoices=19.3/42 localRun=6 jump=8.4 near=0.52 targetInitial=3"
"26","Campaign500NormalFullV1:h04r","nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1","nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1","18","172","1","v01","272","Main/Level_Main_172","normal","Hard","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Hard","Pressure","0","section","PSG_Normal_section_Hard_Pressure","23","31","0.742","M_PeelMid","106","95","117","772","13","c5hole_lowchoice_v1_h04r_26_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_26_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","23","31","65","72","698","0.979","0.940","0.965","2","7","15","65","10.74","20","0.521","298","True","2","168.1","ok","124","Style=PressureHard | Score=22990 | TargetInitial=5 | OpeningRatio=0.031 | Straightness=0.521 | EarlyChoices=24.0/45 | LocalRun=6 | Jump=6.7 | NearRate=0.61 | Peel style=PressureHard seed=2019934487 fill=698/713(0.979) chains=65 remaining=15 rejectedShort=0 failedPeels=1"
"27","Campaign500NormalFullV1:h04r","nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1","nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1","18","172","2","v02","272","Main/Level_Main_172","normal","Hard","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Hard","Pressure","0","section","PSG_Normal_section_Hard_Pressure","23","31","0.742","M_PeelMid","106","95","117","772","13","c5hole_lowchoice_v1_h04r_27_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_27_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","23","31","72","72","706","0.990","0.940","0.980","2","3","23","72","9.81","21","0.500","346","True","2","186.9","ok","56","Style=PressureHard | Score=29799 | TargetInitial=5 | OpeningRatio=0.028 | Straightness=0.500 | EarlyChoices=26.0/44 | LocalRun=7 | Jump=7.4 | NearRate=0.65 | Peel style=PressureHard seed=2012822059 fill=706/713(0.990) chains=72 remaining=7 rejectedShort=0 failedPeels=1"
"28","Campaign500NormalFullV1:h04r","nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1","nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1","18","172","3","v03","272","Main/Level_Main_172","normal","Hard","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Hard","Pressure","0","section","PSG_Normal_section_Hard_Pressure","23","31","0.742","M_PeelMid","106","95","117","772","13","c5hole_lowchoice_v1_h04r_28_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_28_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","23","31","80","72","700","0.982","0.940","0.990","3","7","24","80","8.75","21","0.478","407","True","3","171.2","ok","391","Style=PressureHard | Score=27945 | TargetInitial=6 | OpeningRatio=0.038 | Straightness=0.478 | EarlyChoices=19.9/41 | LocalRun=6 | Jump=5.8 | NearRate=0.71 | Peel style=PressureHard seed=2047915418 fill=700/713(0.982) chains=80 remaining=13 rejectedShort=0 failedPeels=1"
"29","Campaign500NormalFullV1:h04r","nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1","nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1","18","172","4","v04","272","Main/Level_Main_172","normal","Hard","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Hard","Pressure","0","section","PSG_Normal_section_Hard_Pressure","23","31","0.742","M_PeelMid","106","95","117","772","13","c5hole_lowchoice_v1_h04r_29_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_29_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","23","31","73","72","700","0.982","0.940","0.990","3","9","27","73","9.59","21","0.487","334","True","3","180.9","ok","96","Style=PressureHard | Score=22027 | TargetInitial=5 | OpeningRatio=0.041 | Straightness=0.487 | EarlyChoices=20.1/49 | LocalRun=9 | Jump=5.9 | NearRate=0.68 | Peel style=PressureHard seed=2017029507 fill=700/713(0.982) chains=73 remaining=13 rejectedShort=0 failedPeels=1"
"30","Campaign500NormalFullV1:h04r","nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1","nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1","18","172","5","v05","272","Main/Level_Main_172","normal","Hard","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Hard","Pressure","0","section","PSG_Normal_section_Hard_Pressure","23","31","0.742","M_PeelMid","106","95","117","772","13","c5hole_lowchoice_v1_h04r_30_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_30_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","23","31","74","72","698","0.979","0.940","0.975","3","9","20","74","9.43","21","0.445","356","True","3","181.6","ok","241","Style=PressureHard | Score=24086 | TargetInitial=5 | OpeningRatio=0.041 | Straightness=0.445 | EarlyChoices=23.0/47 | LocalRun=6 | Jump=7.0 | NearRate=0.61 | Peel style=PressureHard seed=2032224356 fill=698/713(0.979) chains=74 remaining=15 rejectedShort=0 failedPeels=1"
"31","Campaign500NormalFullV1:h04r","nutation_strict_mixed_hard_v1_rect_s18_o172_v00_strictmixedhard_strict_hard_chain_hf1","nutation_strict_mixed_hard_v1_rect_s18_o172_v00_strictmixedhard_strict_hard_chain_hf1","18","172","0","v00","272","Main/Level_Main_172","normal","Hard","StrictMixedHard","strict_mixed_dependency","strict_hard_chain_hf1","Hard","Pressure","0","section","PSG_Normal_section_Hard_Pressure","23","31","0.742","M_PeelMid","106","95","117","772","13","c5hole_lowchoice_v1_h04r_31_nutation_strict_mixed_hard_v1_rect_s18_o172_v00_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_31_nutation_strict_mixed_hard_v1_rect_s18_o172_v00_strictmixedhard_strict_hard_chain_hf1.asset","23","31","78","84","707","0.992","0.950","0.985","3","7","23","78","9.06","21","0.486","441","True","3","187.7","ok","290","Style=PressureHard | Score=18337 | TargetInitial=5 | OpeningRatio=0.038 | Straightness=0.486 | EarlyChoices=29.0/59 | LocalRun=6 | Jump=7.9 | NearRate=0.55 | Peel style=PressureHard seed=1592686868 fill=707/713(0.992) chains=78 remaining=6 rejectedShort=0 failedPeels=1"
"32","Campaign500NormalFullV1:h04r","nutation_strict_mixed_hard_v1_rect_s18_o172_v01_strictmixedhard_strict_hard_chain_hf1","nutation_strict_mixed_hard_v1_rect_s18_o172_v01_strictmixedhard_strict_hard_chain_hf1","18","172","1","v01","272","Main/Level_Main_172","normal","Hard","StrictMixedHard","strict_mixed_dependency","strict_hard_chain_hf1","Hard","Pressure","0","section","PSG_Normal_section_Hard_Pressure","23","31","0.742","M_PeelMid","106","95","117","772","13","c5hole_lowchoice_v1_h04r_32_nutation_strict_mixed_hard_v1_rect_s18_o172_v01_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_32_nutation_strict_mixed_hard_v1_rect_s18_o172_v01_strictmixedhard_strict_hard_chain_hf1.asset","23","31","79","84","706","0.990","0.950","0.980","2","5","23","79","8.94","21","0.480","367","True","2","187.4","ok","318","Style=PressureHard | Score=18059 | TargetInitial=6 | OpeningRatio=0.025 | Straightness=0.480 | EarlyChoices=29.5/54 | LocalRun=7 | Jump=6.1 | NearRate=0.77 | Peel style=PressureHard seed=1595628424 fill=706/713(0.990) chains=79 remaining=7 rejectedShort=0 failedPeels=1"
"33","Campaign500NormalFullV1:h04r","nutation_strict_mixed_hard_v1_rect_s18_o172_v02_strictmixedhard_strict_hard_chain_hf1","nutation_strict_mixed_hard_v1_rect_s18_o172_v02_strictmixedhard_strict_hard_chain_hf1","18","172","2","v02","272","Main/Level_Main_172","normal","Hard","StrictMixedHard","strict_mixed_dependency","strict_hard_chain_hf1","Hard","Pressure","0","section","PSG_Normal_section_Hard_Pressure","23","31","0.742","M_PeelMid","106","95","117","772","13","c5hole_lowchoice_v1_h04r_33_nutation_strict_mixed_hard_v1_rect_s18_o172_v02_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_33_nutation_strict_mixed_hard_v1_rect_s18_o172_v02_strictmixedhard_strict_hard_chain_hf1.asset","23","31","78","84","704","0.987","0.950","0.975","2","5","25","78","9.03","21","0.487","377","True","2","185.5","ok","115","Style=PressureHard | Score=13906 | TargetInitial=5 | OpeningRatio=0.026 | Straightness=0.487 | EarlyChoices=30.6/56 | LocalRun=9 | Jump=6.5 | NearRate=0.81 | Peel style=PressureHard seed=1574377581 fill=704/713(0.987) chains=78 remaining=9 rejectedShort=0 failedPeels=1"
"34","Campaign500NormalFullV1:h04r","nutation_strict_mixed_hard_v1_rect_s18_o172_v03_strictmixedhard_strict_hard_chain_hf1","nutation_strict_mixed_hard_v1_rect_s18_o172_v03_strictmixedhard_strict_hard_chain_hf1","18","172","3","v03","272","Main/Level_Main_172","normal","Hard","StrictMixedHard","strict_mixed_dependency","strict_hard_chain_hf1","Hard","Pressure","0","section","PSG_Normal_section_Hard_Pressure","23","31","0.742","M_PeelMid","106","95","117","772","13","c5hole_lowchoice_v1_h04r_34_nutation_strict_mixed_hard_v1_rect_s18_o172_v03_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_34_nutation_strict_mixed_hard_v1_rect_s18_o172_v03_strictmixedhard_strict_hard_chain_hf1.asset","23","31","77","84","698","0.979","0.950","0.985","3","5","27","77","9.06","21","0.482","346","True","3","186.5","ok","17","Style=PressureHard | Score=19787 | TargetInitial=5 | OpeningRatio=0.039 | Straightness=0.482 | EarlyChoices=24.7/49 | LocalRun=7 | Jump=8.4 | NearRate=0.68 | Peel style=PressureHard seed=1564123283 fill=698/713(0.979) chains=77 remaining=15 rejectedShort=0 failedPeels=1"
"35","Campaign500NormalFullV1:h04r","nutation_strict_mixed_hard_v1_rect_s18_o172_v04_strictmixedhard_strict_hard_chain_hf1","nutation_strict_mixed_hard_v1_rect_s18_o172_v04_strictmixedhard_strict_hard_chain_hf1","18","172","4","v04","272","Main/Level_Main_172","normal","Hard","StrictMixedHard","strict_mixed_dependency","strict_hard_chain_hf1","Hard","Pressure","0","section","PSG_Normal_section_Hard_Pressure","23","31","0.742","M_PeelMid","106","95","117","772","13","c5hole_lowchoice_v1_h04r_35_nutation_strict_mixed_hard_v1_rect_s18_o172_v04_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_35_nutation_strict_mixed_hard_v1_rect_s18_o172_v04_strictmixedhard_strict_hard_chain_hf1.asset","23","31","76","84","700","0.982","0.950","0.980","2","3","23","76","9.21","21","0.527","290","True","2","183.4","ok","75","Style=PressureHard | Score=19457 | TargetInitial=5 | OpeningRatio=0.026 | Straightness=0.527 | EarlyChoices=22.2/60 | LocalRun=6 | Jump=7.2 | NearRate=0.52 | Peel style=PressureHard seed=1570206709 fill=700/713(0.982) chains=76 remaining=13 rejectedShort=0 failedPeels=1"
"36","Campaign500NormalFullV1:h04r","nutation_strict_mixed_hard_v1_rect_s18_o172_v05_strictmixedhard_strict_hard_chain_hf1","nutation_strict_mixed_hard_v1_rect_s18_o172_v05_strictmixedhard_strict_hard_chain_hf1","18","172","5","v05","272","Main/Level_Main_172","normal","Hard","StrictMixedHard","strict_mixed_dependency","strict_hard_chain_hf1","Hard","Pressure","0","section","PSG_Normal_section_Hard_Pressure","23","31","0.742","M_PeelMid","106","95","117","772","13","c5hole_lowchoice_v1_h04r_36_nutation_strict_mixed_hard_v1_rect_s18_o172_v05_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_36_nutation_strict_mixed_hard_v1_rect_s18_o172_v05_strictmixedhard_strict_hard_chain_hf1.asset","23","31","76","84","703","0.986","0.950","0.970","1","7","24","76","9.25","21","0.461","376","True","1","187.4","ok","360","Style=PressureHard | Score=17969 | TargetInitial=5 | OpeningRatio=0.013 | Straightness=0.461 | EarlyChoices=26.8/56 | LocalRun=4 | Jump=6.3 | NearRate=0.58 | Peel style=PressureHard seed=1600063618 fill=703/713(0.986) chains=76 remaining=10 rejectedShort=0 failedPeels=1"
