"selected","levelId","path","source","order","section10","variantIndex","variantLabel","productionLane","productionChainLanguage","productionDifficultyBand","coverage","chains","portableOpeners","status"
"1","c5hole_lowchoice_v1_h04r_25_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_25_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order172_shortroot1","172","18","0","v00","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Hard","0.982","68","3","Style=PressureHard | Score=23694 | TargetInitial=5 | OpeningRatio=0.059 | Straightness=0.470 | EarlyChoices=20.9/62 | LocalRun=6 | Jump=8.8 | NearRate=0.61 | Peel style=PressureHard seed=2026837457 fill=700/713(0.982) chains=68 remaining=13 rejectedShort=0 failedPeels=1 | FlipGate=ops=2 initial=4->3 edgeHeads=5->4 earlyChoices=19.3/42 localRun=6 jump=8.4 near=0.52 targetInitial=3"
"1","c5hole_lowchoice_v1_h04r_26_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_26_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order172_shortroot1","172","18","1","v01","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Hard","0.979","65","2","Style=PressureHard | Score=22990 | TargetInitial=5 | OpeningRatio=0.031 | Straightness=0.521 | EarlyChoices=24.0/45 | LocalRun=6 | Jump=6.7 | NearRate=0.61 | Peel style=PressureHard seed=2019934487 fill=698/713(0.979) chains=65 remaining=15 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h04r_27_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_27_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order172_shortroot1","172","18","2","v02","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Hard","0.990","72","2","Style=PressureHard | Score=29799 | TargetInitial=5 | OpeningRatio=0.028 | Straightness=0.500 | EarlyChoices=26.0/44 | LocalRun=7 | Jump=7.4 | NearRate=0.65 | Peel style=PressureHard seed=2012822059 fill=706/713(0.990) chains=72 remaining=7 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h04r_28_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_28_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order172_shortroot1","172","18","3","v03","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Hard","0.982","80","3","Style=PressureHard | Score=27945 | TargetInitial=6 | OpeningRatio=0.038 | Straightness=0.478 | EarlyChoices=19.9/41 | LocalRun=6 | Jump=5.8 | NearRate=0.71 | Peel style=PressureHard seed=2047915418 fill=700/713(0.982) chains=80 remaining=13 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h04r_29_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_29_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order172_shortroot1","172","18","4","v04","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Hard","0.982","73","3","Style=PressureHard | Score=22027 | TargetInitial=5 | OpeningRatio=0.041 | Straightness=0.487 | EarlyChoices=20.1/49 | LocalRun=9 | Jump=5.9 | NearRate=0.68 | Peel style=PressureHard seed=2017029507 fill=700/713(0.982) chains=73 remaining=13 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h04r_30_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_30_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order172_shortroot1","172","18","5","v05","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Hard","0.979","74","3","Style=PressureHard | Score=24086 | TargetInitial=5 | OpeningRatio=0.041 | Straightness=0.445 | EarlyChoices=23.0/47 | LocalRun=6 | Jump=7.0 | NearRate=0.61 | Peel style=PressureHard seed=2032224356 fill=698/713(0.979) chains=74 remaining=15 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h04r_31_nutation_strict_mixed_hard_v1_rect_s18_o172_v00_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_31_nutation_strict_mixed_hard_v1_rect_s18_o172_v00_strictmixedhard_strict_hard_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order172_shortroot1","172","18","0","v00","StrictMixedHard","strict_hard_chain_hf1","Hard","0.992","78","3","Style=PressureHard | Score=18337 | TargetInitial=5 | OpeningRatio=0.038 | Straightness=0.486 | EarlyChoices=29.0/59 | LocalRun=6 | Jump=7.9 | NearRate=0.55 | Peel style=PressureHard seed=1592686868 fill=707/713(0.992) chains=78 remaining=6 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h04r_32_nutation_strict_mixed_hard_v1_rect_s18_o172_v01_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_32_nutation_strict_mixed_hard_v1_rect_s18_o172_v01_strictmixedhard_strict_hard_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order172_shortroot1","172","18","1","v01","StrictMixedHard","strict_hard_chain_hf1","Hard","0.990","79","2","Style=PressureHard | Score=18059 | TargetInitial=6 | OpeningRatio=0.025 | Straightness=0.480 | EarlyChoices=29.5/54 | LocalRun=7 | Jump=6.1 | NearRate=0.77 | Peel style=PressureHard seed=1595628424 fill=706/713(0.990) chains=79 remaining=7 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h04r_33_nutation_strict_mixed_hard_v1_rect_s18_o172_v02_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_33_nutation_strict_mixed_hard_v1_rect_s18_o172_v02_strictmixedhard_strict_hard_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order172_shortroot1","172","18","2","v02","StrictMixedHard","strict_hard_chain_hf1","Hard","0.987","78","2","Style=PressureHard | Score=13906 | TargetInitial=5 | OpeningRatio=0.026 | Straightness=0.487 | EarlyChoices=30.6/56 | LocalRun=9 | Jump=6.5 | NearRate=0.81 | Peel style=PressureHard seed=1574377581 fill=704/713(0.987) chains=78 remaining=9 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h04r_34_nutation_strict_mixed_hard_v1_rect_s18_o172_v03_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_34_nutation_strict_mixed_hard_v1_rect_s18_o172_v03_strictmixedhard_strict_hard_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order172_shortroot1","172","18","3","v03","StrictMixedHard","strict_hard_chain_hf1","Hard","0.979","77","3","Style=PressureHard | Score=19787 | TargetInitial=5 | OpeningRatio=0.039 | Straightness=0.482 | EarlyChoices=24.7/49 | LocalRun=7 | Jump=8.4 | NearRate=0.68 | Peel style=PressureHard seed=1564123283 fill=698/713(0.979) chains=77 remaining=15 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h04r_35_nutation_strict_mixed_hard_v1_rect_s18_o172_v04_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_35_nutation_strict_mixed_hard_v1_rect_s18_o172_v04_strictmixedhard_strict_hard_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order172_shortroot1","172","18","4","v04","StrictMixedHard","strict_hard_chain_hf1","Hard","0.982","76","2","Style=PressureHard | Score=19457 | TargetInitial=5 | OpeningRatio=0.026 | Straightness=0.527 | EarlyChoices=22.2/60 | LocalRun=6 | Jump=7.2 | NearRate=0.52 | Peel style=PressureHard seed=1570206709 fill=700/713(0.982) chains=76 remaining=13 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h04r_36_nutation_strict_mixed_hard_v1_rect_s18_o172_v05_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_36_nutation_strict_mixed_hard_v1_rect_s18_o172_v05_strictmixedhard_strict_hard_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order172_shortroot1","172","18","5","v05","StrictMixedHard","strict_hard_chain_hf1","Hard","0.986","76","1","Style=PressureHard | Score=17969 | TargetInitial=5 | OpeningRatio=0.013 | Straightness=0.461 | EarlyChoices=26.8/56 | LocalRun=4 | Jump=6.3 | NearRate=0.58 | Peel style=PressureHard seed=1600063618 fill=703/713(0.986) chains=76 remaining=10 rejectedShort=0 failedPeels=1"
