"rankClass","psgRankScore","processKeep","visualPass","keepCandidate","stsMetricPresent","stsPass","stsKeepCandidate","rejectReasons","slot","sourceIndex","order","sourceBatch","sourceReport","section10","variantIndex","variantLabel","mainMissionId","levelName","category","roleInSection","productionLane","productionStyleFamily","productionChainLanguage","productionDifficultyBand","experienceRole","reviewOnly","plannedWidth","plannedHeight","plannedAspect","plannedCanvasBand","plannedTargetChains","targetChainsMin","targetChainsMax","referenceArrowTiles","referenceMaxChainLength","actualTargetChains","mode","styleHint","profileHint","type","styleFamily","generatorVariant","generatorGrammar","chainLanguage","chainLanguageDetail","chainTags","flowLanguage","flowTags","riskTags","styleRiskBand","specId","levelId","assetPath","path","selected","width","height","sourceCoverage","chains","sourceAvgChain","sourceMaxChain","sourceStraightness","sourceShortChainRate","sourceEdgeHeadRate","sourceOpeners","sourceEdgeHeads","solved","processTier","processTierReason","avgChoices","maxChoices","localPatchRun","nearOuterRun","dependencyFollowRun","directionalRisk","stripeRisk","edgeInwardSweepRun","edgeInwardSweepSide","startSideHint","solveVectorRun","solveTraceQualityScore","solveTraceCollapseRiskScore","solveAxisDriftRate","solveSameAxisRunMax","solveSameDirHeadRunMax","solveRegionEntropy","solveRegionCollapseRunMax","solveFrontWidthAvg","solveFrontWidthNarrowRate","dependencyRegionEntropy","dependencyLocalSameRegionRate","dependencySameAxisHeadRate","dependencySameDirHeadRate","dependencyBraidScore","hardStructureV3Class","sourceStatus"
"TraceOrderKeep","2.676","True","True","True","True","True","True","","172","25","172","Campaign500NormalFullV1:h04r","","18","0","v00","272","Main/Level_Main_172","normal","Hard","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Hard","Pressure","0","23","31","0.742","M_PeelMid","106","95","117","772","13","72","","section","PSG_Normal_section_Hard_Pressure","nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","section_unlock","unknown_variant","rectangle_peel","curve_chain","short_patchwork","short_patchwork;woven_medium","staged_unlock","peel_grammar;multi_region;staged_unlock;peel_visible;sweep_pressure","directional_sweep_watch;stripe_watch;near_outer_watch;collapse_watch;same_axis_watch;same_dir_watch","watch","nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","c5hole_lowchoice_v1_h04r_25_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_25_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_25_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","1","23","31","0.982","68","10.29","21","0.47","0.338","0.059","3","4","True","B","flow or late-campaign only","4.31","7","6","6","6","0.266","0.148","2","L","left-edge inward / starts around left side","2","0.845","0.254","0.403","7","7","0.989","4","3.309","0.338","0.99","0.431","0.523","0.477","0.331","LocalEasy","Style=PressureHard | Score=23694 | TargetInitial=5 | OpeningRatio=0.059 | Straightness=0.470 | EarlyChoices=20.9/62 | LocalRun=6 | Jump=8.8 | NearRate=0.61 | Peel style=PressureHard seed=2026837457 fill=700/713(0.982) chains=68 remaining=13 rejectedShort=0 failedPeels=1 | FlipGate=ops=2 initial=4->3 edgeHeads=5->4 earlyChoices=19.3/42 localRun=6 jump=8.4 near=0.52 targetInitial=3"
"TraceOrderKeep","2.661","True","True","True","True","True","True","","172","28","172","Campaign500NormalFullV1:h04r","","18","3","v03","272","Main/Level_Main_172","normal","Hard","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Hard","Pressure","0","23","31","0.742","M_PeelMid","106","95","117","772","13","72","","section","PSG_Normal_section_Hard_Pressure","nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1","section_unlock","unknown_variant","rectangle_peel","patch_chain","short_patchwork","short_patchwork;edge_headed","single_axis_sweep","peel_grammar;multi_region;wide_front;stable_front;staged_unlock;peel_visible;sweep_pressure","near_outer_watch;collapse_watch;same_axis_watch;same_dir_watch","watch","nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1","c5hole_lowchoice_v1_h04r_28_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_28_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_28_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","1","23","31","0.982","80","8.75","21","0.478","0.3","0.088","3","7","True","B","flow or late-campaign only","4.95","9","5","5","4","0.187","0.088","2","R","right-edge inward / starts around right side","3","0.84","0.262","0.418","8","8","0.995","4","3.662","0.062","0.991","0.455","0.61","0.584","0.197","LocalEasy","Style=PressureHard | Score=27945 | TargetInitial=6 | OpeningRatio=0.038 | Straightness=0.478 | EarlyChoices=19.9/41 | LocalRun=6 | Jump=5.8 | NearRate=0.71 | Peel style=PressureHard seed=2047915418 fill=700/713(0.982) chains=80 remaining=13 rejectedShort=0 failedPeels=1"
"TraceOrderKeep","2.652","True","True","True","True","True","True","","172","34","172","Campaign500NormalFullV1:h04r","","18","3","v03","272","Main/Level_Main_172","normal","Hard","StrictMixedHard","strict_mixed_dependency","strict_hard_chain_hf1","Hard","Pressure","0","23","31","0.742","M_PeelMid","106","95","117","772","13","84","","section","PSG_Normal_section_Hard_Pressure","nutation_strict_mixed_hard_v1_rect_s18_o172_v03_strictmixedhard_strict_hard_chain_hf1","section_unlock","unknown_variant","rectangle_peel","curve_chain","short_patchwork","short_patchwork;woven_medium","staged_unlock","peel_grammar;multi_region;axis_drift;wide_front;staged_unlock;peel_visible;sweep_pressure","directional_sweep_watch;near_outer_watch;dependency_local_watch","watch","nutation_strict_mixed_hard_v1_rect_s18_o172_v03_strictmixedhard_strict_hard_chain_hf1","c5hole_lowchoice_v1_h04r_34_nutation_strict_mixed_hard_v1_rect_s18_o172_v03_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_34_nutation_strict_mixed_hard_v1_rect_s18_o172_v03_strictmixedhard_strict_hard_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_34_nutation_strict_mixed_hard_v1_rect_s18_o172_v03_strictmixedhard_strict_hard_chain_hf1.asset","1","23","31","0.979","77","9.06","21","0.482","0.351","0.065","3","5","True","B","flow or late-campaign only","5.18","9","6","6","6","0.289","0.024","2","R","right-edge inward / starts around right side","3","0.823","0.204","0.553","6","5","0.988","5","3.701","0.286","0.985","0.554","0.581","0.473","0.242","LocalEasy","Style=PressureHard | Score=19787 | TargetInitial=5 | OpeningRatio=0.039 | Straightness=0.482 | EarlyChoices=24.7/49 | LocalRun=7 | Jump=8.4 | NearRate=0.68 | Peel style=PressureHard seed=1564123283 fill=698/713(0.979) chains=77 remaining=15 rejectedShort=0 failedPeels=1"
"TraceOrderKeep","2.618","True","True","True","True","True","True","","172","31","172","Campaign500NormalFullV1:h04r","","18","0","v00","272","Main/Level_Main_172","normal","Hard","StrictMixedHard","strict_mixed_dependency","strict_hard_chain_hf1","Hard","Pressure","0","23","31","0.742","M_PeelMid","106","95","117","772","13","84","","section","PSG_Normal_section_Hard_Pressure","nutation_strict_mixed_hard_v1_rect_s18_o172_v00_strictmixedhard_strict_hard_chain_hf1","section_unlock","unknown_variant","rectangle_peel","curve_chain","short_patchwork","short_patchwork;woven_medium;edge_headed","single_axis_sweep","peel_grammar;multi_region;wide_front;staged_unlock;peel_visible;sweep_pressure","choice_peak_watch;same_axis_watch;same_dir_watch","watch","nutation_strict_mixed_hard_v1_rect_s18_o172_v00_strictmixedhard_strict_hard_chain_hf1","c5hole_lowchoice_v1_h04r_31_nutation_strict_mixed_hard_v1_rect_s18_o172_v00_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_31_nutation_strict_mixed_hard_v1_rect_s18_o172_v00_strictmixedhard_strict_hard_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_31_nutation_strict_mixed_hard_v1_rect_s18_o172_v00_strictmixedhard_strict_hard_chain_hf1.asset","1","23","31","0.992","78","9.06","21","0.486","0.295","0.09","3","7","True","B","flow or late-campaign only","5.58","10","6","4","4","0.206","0.114","2","L","left-edge inward / starts around left side","3","0.864","0.226","0.455","9","6","0.989","4","3.615","0.103","0.986","0.52","0.613","0.56","0.261","LocalEasy","Style=PressureHard | Score=18337 | TargetInitial=5 | OpeningRatio=0.038 | Straightness=0.486 | EarlyChoices=29.0/59 | LocalRun=6 | Jump=7.9 | NearRate=0.55 | Peel style=PressureHard seed=1592686868 fill=707/713(0.992) chains=78 remaining=6 rejectedShort=0 failedPeels=1"
"VisualKeep","2.144","True","True","True","True","False","False","solveTraceCollapseRisk>0.28;sameAxisRun>9","172","26","172","Campaign500NormalFullV1:h04r","","18","1","v01","272","Main/Level_Main_172","normal","Hard","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Hard","Pressure","0","23","31","0.742","M_PeelMid","106","95","117","772","13","72","","section","PSG_Normal_section_Hard_Pressure","nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1","section_unlock","unknown_variant","rectangle_peel","curve_chain","outer_edge_chain","woven_medium;edge_headed","single_axis_sweep","peel_grammar;multi_region;staged_unlock;peel_visible;sweep_pressure","solve_collapse;same_axis_run;same_dir_watch","high_risk","nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1","c5hole_lowchoice_v1_h04r_26_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_26_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_26_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","1","23","31","0.979","65","10.74","20","0.521","0.231","0.108","2","7","True","B","flow or late-campaign only","4.17","6","5","4","5","0.157","0.113","2","R","right-edge inward / starts around right side","2","0.827","0.307","0.438","10","8","0.994","4","3.323","0.138","0.994","0.46","0.524","0.492","0.319","LocalEasy","Style=PressureHard | Score=22990 | TargetInitial=5 | OpeningRatio=0.031 | Straightness=0.521 | EarlyChoices=24.0/45 | LocalRun=6 | Jump=6.7 | NearRate=0.61 | Peel style=PressureHard seed=2019934487 fill=698/713(0.979) chains=65 remaining=15 rejectedShort=0 failedPeels=1"
"VisualKeep","2.054","True","True","True","True","False","False","solveTraceQuality<0.82","172","33","172","Campaign500NormalFullV1:h04r","","18","2","v02","272","Main/Level_Main_172","normal","Hard","StrictMixedHard","strict_mixed_dependency","strict_hard_chain_hf1","Hard","Pressure","0","23","31","0.742","M_PeelMid","106","95","117","772","13","84","","section","PSG_Normal_section_Hard_Pressure","nutation_strict_mixed_hard_v1_rect_s18_o172_v02_strictmixedhard_strict_hard_chain_hf1","section_unlock","unknown_variant","rectangle_peel","curve_chain","short_patchwork","short_patchwork;woven_medium","single_axis_sweep","peel_grammar;multi_region;wide_front;sweep_pressure","choice_peak_watch;same_axis_watch;same_dir_watch","watch","nutation_strict_mixed_hard_v1_rect_s18_o172_v02_strictmixedhard_strict_hard_chain_hf1","c5hole_lowchoice_v1_h04r_33_nutation_strict_mixed_hard_v1_rect_s18_o172_v02_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_33_nutation_strict_mixed_hard_v1_rect_s18_o172_v02_strictmixedhard_strict_hard_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_33_nutation_strict_mixed_hard_v1_rect_s18_o172_v02_strictmixedhard_strict_hard_chain_hf1.asset","1","23","31","0.987","78","9.03","21","0.487","0.321","0.064","2","5","True","B","flow or late-campaign only","5.45","10","6","3","6","0.176","0.043","1","R","right-edge inward / starts around right side","4","0.817","0.232","0.325","9","6","0.994","4","3.808","0.154","0.993","0.526","0.553","0.487","0.166","LocalEasy","Style=PressureHard | Score=13906 | TargetInitial=5 | OpeningRatio=0.026 | Straightness=0.487 | EarlyChoices=30.6/56 | LocalRun=9 | Jump=6.5 | NearRate=0.81 | Peel style=PressureHard seed=1574377581 fill=704/713(0.987) chains=78 remaining=9 rejectedShort=0 failedPeels=1"
"VisualKeep","2.043","True","True","True","True","False","False","solveTraceQuality<0.82","172","32","172","Campaign500NormalFullV1:h04r","","18","1","v01","272","Main/Level_Main_172","normal","Hard","StrictMixedHard","strict_mixed_dependency","strict_hard_chain_hf1","Hard","Pressure","0","23","31","0.742","M_PeelMid","106","95","117","772","13","84","","section","PSG_Normal_section_Hard_Pressure","nutation_strict_mixed_hard_v1_rect_s18_o172_v01_strictmixedhard_strict_hard_chain_hf1","section_unlock","unknown_variant","rectangle_peel","patch_chain","short_patchwork","short_patchwork","local_collapse","peel_grammar;multi_region;axis_drift;staged_unlock;sweep_pressure;collapse_risk","choice_peak_watch;directional_sweep_watch;region_collapse_run;dependency_local_watch","high_risk","nutation_strict_mixed_hard_v1_rect_s18_o172_v01_strictmixedhard_strict_hard_chain_hf1","c5hole_lowchoice_v1_h04r_32_nutation_strict_mixed_hard_v1_rect_s18_o172_v01_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_32_nutation_strict_mixed_hard_v1_rect_s18_o172_v01_strictmixedhard_strict_hard_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_32_nutation_strict_mixed_hard_v1_rect_s18_o172_v01_strictmixedhard_strict_hard_chain_hf1.asset","1","23","31","0.99","79","8.94","21","0.48","0.291","0.063","2","5","True","B","flow or late-campaign only","5.87","10","6","3","4","0.269","0.082","1","L","left-edge inward / starts around left side","4","0.714","0.226","0.615","4","4","0.985","8","3.481","0.165","0.986","0.597","0.455","0.429","0.226","LocalEasy","Style=PressureHard | Score=18059 | TargetInitial=6 | OpeningRatio=0.025 | Straightness=0.480 | EarlyChoices=29.5/54 | LocalRun=7 | Jump=6.1 | NearRate=0.77 | Peel style=PressureHard seed=1595628424 fill=706/713(0.990) chains=79 remaining=7 rejectedShort=0 failedPeels=1"
"VisualKeep","2.005","True","True","True","True","False","False","sameDirRun>8","172","29","172","Campaign500NormalFullV1:h04r","","18","4","v04","272","Main/Level_Main_172","normal","Hard","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Hard","Pressure","0","23","31","0.742","M_PeelMid","106","95","117","772","13","72","","section","PSG_Normal_section_Hard_Pressure","nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1","section_unlock","unknown_variant","rectangle_peel","curve_chain","short_patchwork","short_patchwork;woven_medium;edge_headed","single_axis_sweep","peel_grammar;multi_region;wide_front;stable_front;staged_unlock;sweep_pressure","choice_peak_watch;broad_choice_curve;collapse_watch;same_axis_watch;same_dir_run","high_risk","nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1","c5hole_lowchoice_v1_h04r_29_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_29_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_29_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","1","23","31","0.982","73","9.59","21","0.487","0.37","0.123","3","9","True","B","flow or late-campaign only","6.51","10","5","4","5","0.157","0.093","1","L","left-edge inward / starts around left side","2","0.852","0.28","0.375","9","9","0.995","3","3.932","0.096","0.996","0.457","0.629","0.529","0.416","LocalEasy","Style=PressureHard | Score=22027 | TargetInitial=5 | OpeningRatio=0.041 | Straightness=0.487 | EarlyChoices=20.1/49 | LocalRun=9 | Jump=5.9 | NearRate=0.68 | Peel style=PressureHard seed=2017029507 fill=700/713(0.982) chains=73 remaining=13 rejectedShort=0 failedPeels=1"
"ProcessKeep","1.196","True","False","False","True","False","False","sameAxisRun>9","172","30","172","Campaign500NormalFullV1:h04r","","18","5","v05","272","Main/Level_Main_172","normal","Hard","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Hard","Pressure","0","23","31","0.742","M_PeelMid","106","95","117","772","13","72","","section","PSG_Normal_section_Hard_Pressure","nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1","section_unlock","unknown_variant","rectangle_peel","curve_chain","outer_edge_chain","woven_medium;edge_headed","single_axis_sweep","peel_grammar;multi_region;wide_front;stable_front;staged_unlock;peel_visible;sweep_pressure","choice_peak_watch;broad_choice_curve;directional_sweep;local_patch_run;near_outer_patch;collapse_watch;same_axis_run;same_dir_watch","high_risk","nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1","c5hole_lowchoice_v1_h04r_30_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_30_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_30_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","1","23","31","0.979","74","9.43","21","0.445","0.27","0.122","3","9","True","B","flow or late-campaign only","6.38","11","8","7","4","0.393","0.098","2","T","top-edge inward / starts around top side","2","0.826","0.259","0.37","11","6","0.985","4","4.622","0.095","0.987","0.521","0.606","0.535","0.167","LocalEasy","Style=PressureHard | Score=24086 | TargetInitial=5 | OpeningRatio=0.041 | Straightness=0.445 | EarlyChoices=23.0/47 | LocalRun=6 | Jump=7.0 | NearRate=0.61 | Peel style=PressureHard seed=2032224356 fill=698/713(0.979) chains=74 remaining=15 rejectedShort=0 failedPeels=1"
"Reject","0.607","False","False","False","True","True","False","maxChoices>11","172","27","172","Campaign500NormalFullV1:h04r","","18","2","v02","272","Main/Level_Main_172","normal","Hard","StrictMixedChoiceClamp","strict_mixed_choice","choice_clamp_chain_hf1","Hard","Pressure","0","23","31","0.742","M_PeelMid","106","95","117","772","13","72","","section","PSG_Normal_section_Hard_Pressure","nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1","section_unlock","unknown_variant","rectangle_peel","curve_chain","short_patchwork","short_patchwork;woven_medium","flow_spread","peel_grammar;multi_region;wide_front;stable_front;peel_visible;sweep_pressure","process_reject;high_choices;broad_choice_curve;same_axis_watch","high_risk","nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1","c5hole_lowchoice_v1_h04r_27_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_27_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_27_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","1","23","31","0.99","72","9.81","21","0.5","0.319","0.042","2","3","True","B","flow or late-campaign only","6.24","12","6","3","7","0.176","0.106","2","R","right-edge inward / starts around right side","3","0.883","0.156","0.479","7","5","0.997","4","4","0.069","0.996","0.457","0.486","0.457","0.298","LocalEasy","Style=PressureHard | Score=29799 | TargetInitial=5 | OpeningRatio=0.028 | Straightness=0.500 | EarlyChoices=26.0/44 | LocalRun=7 | Jump=7.4 | NearRate=0.65 | Peel style=PressureHard seed=2012822059 fill=706/713(0.990) chains=72 remaining=7 rejectedShort=0 failedPeels=1"
"Reject","0.589","False","False","False","True","False","False","tier=Drop;maxChoices>11","172","36","172","Campaign500NormalFullV1:h04r","","18","5","v05","272","Main/Level_Main_172","normal","Hard","StrictMixedHard","strict_mixed_dependency","strict_hard_chain_hf1","Hard","Pressure","0","23","31","0.742","M_PeelMid","106","95","117","772","13","84","","section","PSG_Normal_section_Hard_Pressure","nutation_strict_mixed_hard_v1_rect_s18_o172_v05_strictmixedhard_strict_hard_chain_hf1","section_unlock","unknown_variant","rectangle_peel","curve_chain","short_patchwork","short_patchwork;woven_medium;edge_headed","local_collapse","peel_grammar;multi_region;wide_front;staged_unlock;peel_visible;sweep_pressure;collapse_risk","process_reject;high_choices;broad_choice_curve;solve_collapse;same_axis_run;same_dir_run","high_risk","nutation_strict_mixed_hard_v1_rect_s18_o172_v05_strictmixedhard_strict_hard_chain_hf1","c5hole_lowchoice_v1_h04r_36_nutation_strict_mixed_hard_v1_rect_s18_o172_v05_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_36_nutation_strict_mixed_hard_v1_rect_s18_o172_v05_strictmixedhard_strict_hard_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_36_nutation_strict_mixed_hard_v1_rect_s18_o172_v05_strictmixedhard_strict_hard_chain_hf1.asset","1","23","31","0.986","76","9.25","21","0.461","0.316","0.092","1","7","True","Drop","avg choices high; p80 choices high; choice peak high; local patch solve run; near-outer patch solve run; local window burst","6.96","13","4","3","6","0.079","0.044","2","T","top-edge inward / starts around top side","4","0.807","0.359","0.373","23","17","0.992","4","4.5","0.171","0.991","0.427","0.64","0.547","0.356","LocalEasy","Style=PressureHard | Score=17969 | TargetInitial=5 | OpeningRatio=0.013 | Straightness=0.461 | EarlyChoices=26.8/56 | LocalRun=4 | Jump=6.3 | NearRate=0.58 | Peel style=PressureHard seed=1600063618 fill=703/713(0.986) chains=76 remaining=10 rejectedShort=0 failedPeels=1"
"Reject","0.531","False","False","False","True","True","False","tier=Drop;maxChoices>11","172","35","172","Campaign500NormalFullV1:h04r","","18","4","v04","272","Main/Level_Main_172","normal","Hard","StrictMixedHard","strict_mixed_dependency","strict_hard_chain_hf1","Hard","Pressure","0","23","31","0.742","M_PeelMid","106","95","117","772","13","84","","section","PSG_Normal_section_Hard_Pressure","nutation_strict_mixed_hard_v1_rect_s18_o172_v04_strictmixedhard_strict_hard_chain_hf1","section_unlock","unknown_variant","rectangle_peel","curve_chain","short_patchwork","short_patchwork;woven_medium","single_axis_sweep","peel_grammar;multi_region;axis_drift;wide_front;staged_unlock;sweep_pressure","process_reject;high_choices;broad_choice_curve;directional_sweep_watch;local_patch_run;near_outer_watch;same_axis_watch;same_dir_watch","high_risk","nutation_strict_mixed_hard_v1_rect_s18_o172_v04_strictmixedhard_strict_hard_chain_hf1","c5hole_lowchoice_v1_h04r_35_nutation_strict_mixed_hard_v1_rect_s18_o172_v04_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_35_nutation_strict_mixed_hard_v1_rect_s18_o172_v04_strictmixedhard_strict_hard_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_35_nutation_strict_mixed_hard_v1_rect_s18_o172_v04_strictmixedhard_strict_hard_chain_hf1.asset","1","23","31","0.982","76","9.21","21","0.527","0.303","0.039","2","3","True","Drop","p80 choices high; choice peak high; too many over-10 steps; local patch solve run; near-outer patch solve run; local window burst","6.43","12","8","5","5","0.333","0.012","1","R","right-edge inward / starts around right side","2","0.844","0.219","0.547","7","6","0.996","4","4.039","0.303","0.997","0.541","0.541","0.473","0.295","LocalEasy","Style=PressureHard | Score=19457 | TargetInitial=5 | OpeningRatio=0.026 | Straightness=0.527 | EarlyChoices=22.2/60 | LocalRun=6 | Jump=7.2 | NearRate=0.52 | Peel style=PressureHard seed=1570206709 fill=700/713(0.982) chains=76 remaining=13 rejectedShort=0 failedPeels=1"
