"order","sectionWaveRole","finalStatus","productionLane","productionStyle","productionChainLanguage","loadedAssetPath","width","height","chainCount","maxChainLen","avgChainLen","validEscapeChains","blockedChains","blockCellBlockedChains","openerRatio","decoyToOpenerRatio","dependencyEdges","dependencyDensity","dependencyDepth","dependencyCycleHits","crossRegionEdges","crossRegionEdgeRate","sameRegionEdgeRate","criticalBlockerChains","avgEscapeRayLength","longRayRate","immediateRayRate","shortRayRate","regionEntropy","observationPressureScore","observationClass","readDemandScore","readDemandClass","notes"
"8","Hard","ReplacedRhythmV4","FlowPatch","flow","patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain.asset","20","27","46","22","11.63","3","43","0","0.0652","14.333","43","0.9348","6","0","16","0.3721","0.6279","9","0.935","0","1","1","0.9874","81.48","HighObservation","22.27","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"10","PeakExtreme","ReplacedRhythmV4","NeutralMixed","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain.asset","20","27","52","21","10.173","3","49","0","0.0577","16.333","49","0.9423","11","0","10","0.2041","0.7959","14","0.942","0","1","1","0.978","76.17","HighObservation","23.61","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"16","Hard","ReplacedRhythmV4","NeutralMixed","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain.asset","20","27","56","21","9.393","2","54","0","0.0357","27","54","0.9643","10","0","10","0.1852","0.8148","17","0.964","0","1","1","0.9796","75.6","HighObservation","24.65","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"19","PeakExtreme","ReplacedRhythmV4Final","Campaign500_HardGateUntil0910","hardgate","strict_peak_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_31_nutation_strict_mixed_peak_v1_rect_s14_o136_v00_strictmixedpeak_strict_peak_chain_hf1.asset","24","32","79","21","9.57","2","77","0","0.0253","38.5","77","0.9747","9","0","18","0.2338","0.7662","21","0.975","0","1","1","0.994","77.22","HighObservation","25","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"25","Hard","ReplacedRhythmV4","PressurePeak","hardgate","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_142_nutation_pressure_peak_v1_rect_s38_o376_v00_pressurepeak_mixed_chain.asset","26","34","89","20","9.787","2","87","0","0.0225","43.5","87","0.9775","15","0","20","0.2299","0.7701","23","0.978","0","1","1","0.9922","77.09","HighObservation","25.24","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"29","PeakExtreme","ReplacedRhythmV4","PressurePeak","peel","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_108_nutation_pressure_peak_v1_rect_s35_o347_v02_pressurepeak_mixed_chain.asset","26","34","90","21","9.678","3","87","0","0.0333","29","87","0.9667","11","0","27","0.3103","0.6897","21","0.967","0","1","1","0.9916","79.59","HighObservation","31.88","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"39","PeakExtreme","ReplacedRhythmV4","PeelMid","hardgate","curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_57_nutation_strict_mixed_hard_v1_rect_s50_o491_v01_strictmixedhard_mixed_chain.asset","26","35","86","21","10.326","4","82","0","0.0465","20.5","82","0.9535","11","0","14","0.1707","0.8293","26","0.953","0","1","1","0.9943","75.27","HighObservation","24.72","ReadLight","mostly_same_region_dependencies;short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"40","Hard","ReplacedRhythmV4","maze_long_chain","longchain","spine_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_36_nutation_longchain_spine_v1_rect_c80hf_09_d2_core_spine.asset","28","38","72","26","14.028","5","67","0","0.0694","13.4","67","0.9306","11","0","13","0.194","0.806","20","0.931","0","1","1","0.9625","75.74","HighObservation","25.6","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"44","Hard","ReplacedRhythmV4","PeelMid","hardgate","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_34_nutation_strict_mixed_hard_v1_rect_s39_o384_v03_strictmixedhard_mixed_chain.asset","25","33","84","21","9.69","4","80","0","0.0476","20","80","0.9524","12","0","17","0.2125","0.7875","16","0.952","0","1","1","0.9845","76.49","HighObservation","25.44","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"47","PeakExtreme","ReplacedRhythmV4","PeelMid","hardgate","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12d/c5nep_w12d_12_nutation_strict_mixed_hard_v1_rect_s30_o296_v03_strictmixedhard_mixed_chain.asset","25","33","84","21","9.631","4","80","0","0.0476","20","80","0.9524","15","0","16","0.2","0.8","20","0.952","0","1","1","0.9875","76.12","HighObservation","26.16","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
