"order","sectionWaveRole","readDemandGate","readDemandScore","observationPressureScore","chainCount","openerRatio","avgEscapeRayLength","shortRayRate","crossRegionEdgeRate","dependencyDepth","dependencyEdges","productionLane","productionStyle","productionChainLanguage","loadedAssetPath","gateReasons"
"29","PeakExtreme","ReadKeep","31.88","79.59","90","0.0333","0.967","1","0.3103","11","87","PressurePeak","peel","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_108_nutation_pressure_peak_v1_rect_s35_o347_v02_pressurepeak_mixed_chain.asset","adjacent_blockers_saturated"
"109","PeakExtreme","ReadKeep","30.22","78.58","90","0.0444","0.956","1","0.2791","12","86","PressurePeak","hardgate","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12c/c5nep_w12c_11_nutation_strict_mixed_hard_v1_rect_s29_o287_v02_strictmixedhard_mixed_chain.asset","adjacent_blockers_saturated"
"56","PeakExtreme","ReadKeep","29.72","81.13","79","0.0506","0.949","1","0.36","7","75","maze_long_chain","longchain","spine_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_44_nutation_longchain_spine_v1_rect_c80hf_11_d2_lock_spine.asset","adjacent_blockers_saturated"
"305","Hard","ReadKeep","29.54","78.17","82","0.0366","0.963","1","0.2658","11","79","","","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_34_nutation_strict_mixed_hard_v1_rect_s31_o305_v01_strictmixedhard_mixed_chain.asset","adjacent_blockers_saturated"
"249","Hard","ReadKeep","29.14","81.2","50","0.06","0.94","1","0.3617","8","47","maze_long_chain","longchain","spine_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_04_nutation_longchain_spine_v1_rect_c80hf_01_d1_lock_spine.asset","adjacent_blockers_saturated"
"432","Hard","ReadKeep","28.62","77.08","99","0.0303","0.99","0.9899","0.2292","15","96","PeelMid","hub_spoke","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_06_s02_r02.asset","adjacent_blockers_saturated"
"229","Hard","ReadKeep","28.58","78.07","73","0.0274","0.973","1","0.2676","10","71","Campaign500_HardGateUntil0910","hardgate","strict_hard_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_10_nutation_strict_mixed_hard_v1_rect_s07_o070_v03_strictmixedhard_strict_hard_chain_hf1.asset","adjacent_blockers_saturated"
"107","PeakExtreme","ReadKeep","28.46","76.96","94","0.0532","0.968","0.9894","0.2247","16","89","HubMixed","hub","unknown_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30TransformWidePool/nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180.asset","adjacent_blockers_saturated"
"105","Hard","ReadKeep","28.27","76.72","97","0.0515","0.979","0.9897","0.2174","16","92","hub_spoke","hub","mixed_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_23_s06_r03.asset","adjacent_blockers_saturated;cross_region_low"
"412","Hard","ReadKeep","28.27","76.94","101","0.0297","0.99","0.9901","0.2245","15","98","PeelMid","hub_spoke","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_08_s02_r04.asset","adjacent_blockers_saturated"
"149","PeakExtreme","ReadKeep","28.18","76.68","98","0.051","0.98","0.9898","0.2151","16","93","hub_spoke","hub","mixed_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_19_s05_r03.asset","adjacent_blockers_saturated;cross_region_low"
"476","Hard","ReadKeep","28.13","77.33","77","0.0649","0.935","1","0.2361","10","72","","","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_51_nutation_strict_mixed_hard_v1_rect_s48_o476_v00_strictmixedhard_mixed_chain.asset","adjacent_blockers_saturated"
"312","Hard","ReadKeep","28.1","76.77","99","0.0303","0.99","0.9899","0.2188","15","96","PeelMid","hub_spoke","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_02_s01_r02.asset","adjacent_blockers_saturated;cross_region_low"
"154","PeakExtreme","ReadKeep","28.05","76.61","99","0.0505","0.98","0.9899","0.2128","16","94","hub_spoke","hub","mixed_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_20_s05_r04.asset","adjacent_blockers_saturated;cross_region_low"
"76","PeakExtreme","ReadNear","27.88","77.17","72","0.0417","0.958","1","0.2319","11","69","maze_long_chain","longchain","spine_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_32_nutation_longchain_spine_v1_rect_c80hf_08_d2_weave_spine.asset","adjacent_blockers_saturated"
"352","Hard","ReadNear","27.83","76.94","101","0.0297","0.99","1","0.2245","15","98","PeelMid","hub_spoke","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_04_s01_r04.asset","adjacent_blockers_saturated"
"464","Hard","ReadNear","27.72","78.27","65","0.0308","0.969","1","0.2698","11","63","","","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_18_nutation_mixed_neutral_v1_rect_s47_o464_v02_neutralmixed_mixed_chain.asset","adjacent_blockers_saturated"
"216","PeakExtreme","ReadNear","27.67","77.85","59","0.0678","0.932","1","0.2545","10","55","maze_long_chain","longchain","spine_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_16_nutation_longchain_spine_v1_rect_c80hf3_04_d1_core_spine.asset","adjacent_blockers_saturated"
"396","PeakExtreme","ReadNear","27.35","76.85","84","0.0357","0.964","1","0.2222","11","81","PressurePeak","maze_long_chain","mixed_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_19_nutation_longchain_patch_v1_rect_c80hf3_05_d1_section_patch.asset","adjacent_blockers_saturated"
"49","Hard","ReadNear","27.09","77.64","79","0.0253","0.975","1","0.2468","12","77","PeelLight","peel","curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_55_nutation_strict_mixed_hard_v1_rect_s49_o482_v04_strictmixedhard_mixed_chain.asset","adjacent_blockers_saturated"
"112","PeakExtreme","ReadNear","27.07","76.69","92","0.0435","0.957","1","0.2159","15","88","maze_long_chain","longchain","spine_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_72_nutation_longchain_spine_v1_rect_c80_18_d4_weave_spine.asset","adjacent_blockers_saturated;cross_region_low"
"69","Hard","ReadNear","27","77.5","94","0.0319","0.968","1","0.2418","9","91","PressurePeak","hardgate","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_13_nutation_strict_mixed_axisbreak_v1_rect_s33_o329_v00_strictmixedaxisbreak_axis_break_chain_b.asset","adjacent_blockers_saturated"
"329","PeakExtreme","ReadNear","27","77.5","94","0.0319","0.968","1","0.2418","9","91","","","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_13_nutation_strict_mixed_axisbreak_v1_rect_s33_o329_v00_strictmixedaxisbreak_axis_break_chain_b.asset","adjacent_blockers_saturated"
"429","Hard","ReadNear","26.78","76.52","84","0.0357","0.964","1","0.2099","12","81","PeelMid","maze_long_chain","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_34_nutation_longchain_rail_v1_rect_c80hf_09_d2_core_rail.asset","adjacent_blockers_saturated;cross_region_low"
"227","PeakExtreme","ReadNear","26.44","77.89","60","0.1","0.9","1","0.2593","13","54","maze_long_chain","longchain","spine_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_16_nutation_longchain_spine_v1_rect_c80hf_04_d1_core_spine.asset","adjacent_blockers_saturated"
