"order","sectionWaveRole","readDemandGate","readDemandScore","observationPressureScore","chainCount","openerRatio","avgEscapeRayLength","shortRayRate","crossRegionEdgeRate","dependencyDepth","dependencyEdges","productionLane","productionStyle","productionChainLanguage","loadedAssetPath","gateReasons"
"197","Normal","ReadKeep","32.35","80.27","70","0.0571","0.943","1","0.3333","11","66","NeutralMixed","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_112_nutation_mixed_neutral_v1_rect_s23_o222_v00_neutralmixed_mixed_chain.asset","adjacent_blockers_saturated"
"29","PeakExtreme","ReadKeep","31.88","79.59","90","0.0333","0.967","1","0.3103","11","87","PressurePeak","peel","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_108_nutation_pressure_peak_v1_rect_s35_o347_v02_pressurepeak_mixed_chain.asset","adjacent_blockers_saturated"
"160","Normal","ReadKeep","30.77","78.93","69","0.0435","0.957","1","0.2879","13","66","NeutralMixed","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_150_nutation_mixed_neutral_v1_rect_s13_o128_v02_neutralmixed_mixed_chain.asset","adjacent_blockers_saturated"
"194","Normal","ReadKeep","30.64","79.96","70","0.0286","0.971","1","0.3235","9","68","NeutralMixed","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_133_nutation_mixed_neutral_v1_rect_s38_o371_v00_neutralmixed_mixed_chain.asset","adjacent_blockers_saturated"
"371","Normal","ReadKeep","30.64","79.96","70","0.0286","0.971","1","0.3235","9","68","","","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_133_nutation_mixed_neutral_v1_rect_s38_o371_v00_neutralmixed_mixed_chain.asset","adjacent_blockers_saturated"
"109","PeakExtreme","ReadKeep","30.22","78.58","90","0.0444","0.956","1","0.2791","12","86","PressurePeak","hardgate","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12c/c5nep_w12c_11_nutation_strict_mixed_hard_v1_rect_s29_o287_v02_strictmixedhard_mixed_chain.asset","adjacent_blockers_saturated"
"241","Recovery","ReadKeep","29.94","78.8","69","0.0435","0.957","1","0.2879","12","66","PeelHard","hardgate","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smp/c5nep_w9smp_06_nutation_strict_mixed_peak_v1_rect_s07_o065_v01_strictmixedpeak_mixed_chain.asset","adjacent_blockers_saturated"
"56","PeakExtreme","ReadKeep","29.72","81.13","79","0.0506","0.949","1","0.36","7","75","maze_long_chain","longchain","spine_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_44_nutation_longchain_spine_v1_rect_c80hf_11_d2_lock_spine.asset","adjacent_blockers_saturated"
"145","Recovery","ReadKeep","29.6","78.17","77","0.039","0.961","1","0.2703","10","74","PeelMid","hardgate","curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_07_nutation_strict_mixed_hard_v1_rect_s14_o140_v02_strictmixedhard_mixed_chain.asset","adjacent_blockers_saturated"
"124","Normal","ReadKeep","29.54","78.17","82","0.0366","0.963","1","0.2658","11","79","PeelMid","hardgate","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_34_nutation_strict_mixed_hard_v1_rect_s31_o305_v01_strictmixedhard_mixed_chain.asset","adjacent_blockers_saturated"
