"order","category","replacementMark","finalStatus","width","height","area","aspect","chains","arrowTiles","coverage","isPatch","patchKind","productionLane","productionStyle","chainLanguage"
"1","normal","KEPT_CURRENT","OriginalKeptRhythmV4","10","7","70","1.429","6","21","0.3","False","","","",""
"2","hole","KEPT_CURRENT","OriginalNonTarget","16","18","288","0.889","22","130","0.451","False","","","",""
"3","normal","REPLACED","ReplacedRhythmV4","18","24","432","0.75","36","427","0.988","False","","FlowRail","flow","rail_chain"
"4","shape","REPLACED","ShapeCandidatePlanned","24","28","672","0.857","55","459","0.683","False","","","CoreBurst",""
"5","normal","REPLACED","ReplacedRhythmV4","18","24","432","0.75","36","429","0.993","False","","FlowPatch","flow","patch_chain"
"6","shape","REPLACED","ShapeCandidatePlanned","28","32","896","0.875","53","479","0.535","False","","","DenseWeave",""
"7","normal","REPLACED","ReplacedRhythmV4","20","27","540","0.741","50","527","0.976","False","","NeutralMixed","neutral","mixed_chain"
"8","normal","REPLACED","ReplacedRhythmV4","20","27","540","0.741","46","535","0.991","False","","FlowPatch","flow","patch_chain"
"9","shape","REPLACED","ShapeCandidatePlanned","26","26","676","1","34","221","0.327","False","","","SectionUnlock",""
"10","normal","REPLACED","ReplacedRhythmV4","20","27","540","0.741","52","529","0.98","False","","NeutralMixed","neutral","mixed_chain"
"11","normal","REPLACED","ReplacedRhythmV4","18","24","432","0.75","34","425","0.984","False","","FlowCurve","flow","rail_chain"
"12","normal","REPLACED","ReplacedRhythmV4","20","27","540","0.741","48","535","0.991","False","","FlowPatch","flow","patch_chain"
"13","shape","REPLACED","ShapeCandidatePlanned","44","44","1936","1","60","503","0.26","False","","","Sweep",""
"14","normal","REPLACED","ReplacedRhythmV4","20","27","540","0.741","54","529","0.98","False","","NeutralMixed","neutral","mixed_chain"
"15","normal","REPLACED","ReplacedRhythmV4","20","27","540","0.741","55","530","0.981","False","","FlowCurve","flow","curve_chain"
"16","normal","REPLACED","ReplacedRhythmV4","20","27","540","0.741","56","526","0.974","False","","NeutralMixed","neutral","mixed_chain"
"17","hole","KEPT_CURRENT","OriginalNonTarget","18","20","360","0.9","37","195","0.542","False","","","",""
"18","normal","REPLACED","ReplacedRhythmV4","20","27","540","0.741","47","535","0.991","False","","FlowPatch","flow","patch_chain"
"19","normal","REPLACED","ReplacedRhythmV4Final","24","32","768","0.75","79","756","0.984","False","","Campaign500_HardGateUntil0910","hardgate","strict_peak_chain"
"20","normal","REPLACED","ReplacedRhythmV4","18","24","432","0.75","38","428","0.991","False","","FlowRail","flow","rail_chain"
"21","normal","REPLACED","ReplacedRhythmV4","20","27","540","0.741","60","537","0.994","False","","FlowPatch","flow","patch_chain"
"22","normal","REPLACED","ReplacedRhythmV4","20","27","540","0.741","58","536","0.993","False","","NeutralMixed","neutral","mixed_chain"
"23","shape","REPLACED","ShapeCandidatePlanned","37","29","1073","1.276","87","735","0.685","False","","","CoreBurst",""
"24","normal","REPLACED","ReplacedRhythmV4","25","33","825","0.758","79","817","0.99","False","","PeelMid","peel","rail_chain"
"25","normal","REPLACED","ReplacedRhythmV4","26","34","884","0.765","89","871","0.985","False","","PressurePeak","hardgate","mixed_chain"
"26","hole","KEPT_CURRENT","OriginalNonTarget","18","26","468","0.692","42","385","0.823","False","","","",""
"27","shape","REPLACED","ShapeCandidatePlanned","36","29","1044","1.241","72","588","0.563","False","","","LockBuckle",""
"28","normal","REPLACED","ReplacedRhythmV4","22","29","638","0.759","59","633","0.992","False","","FlowPatch","flow","rail_chain"
"29","normal","REPLACED","ReplacedRhythmV4","26","34","884","0.765","90","871","0.985","False","","PressurePeak","peel","mixed_chain"
"30","normal","REPLACED","ReplacedRhythmV4","24","32","768","0.75","78","763","0.993","False","","NeutralMixed","neutral","mixed_chain"
"31","normal","REPLACED","ReplacedRhythmV4","20","27","540","0.741","55","531","0.983","False","","FlowCurve","flow","curve_chain"
"32","shape","REPLACED","ShapeCandidatePlanned","36","36","1296","1","83","667","0.515","False","","","Sweep",""
"33","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","75","651","0.986","False","","NeutralMixed","neutral","mixed_chain"
"34","normal","REPLACED","ReplacedRhythmV4","24","32","768","0.75","79","759","0.988","False","","PeelLight","peel","rail_chain"
"35","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","65","652","0.988","False","","NeutralMixed","neutral","mixed_chain"
"36","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","77","650","0.985","False","","PeelLight","peel","rail_chain"
"37","hole","KEPT_CURRENT","OriginalNonTarget","20","22","440","0.909","41","357","0.811","False","","","",""
"38","shape","REPLACED","ShapeCandidatePlanned","40","32","1280","1.25","88","718","0.561","False","","","SectionUnlock",""
"39","normal","REPLACED","ReplacedRhythmV4","26","35","910","0.743","86","888","0.976","False","","PeelMid","hardgate","curve_chain"
"40","normal","REPLACED","ReplacedRhythmV4","28","38","1064","0.737","72","1010","0.949","False","","maze_long_chain","longchain","spine_chain"
"41","normal","REPLACED","ReplacedRhythmV4","20","27","540","0.741","53","535","0.991","False","","FlowPatch","flow","patch_chain"
"42","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","76","656","0.994","False","","NeutralMixed","neutral","mixed_chain"
"43","shape","REPLACED","ShapeCandidatePlanned","35","27","945","1.296","81","645","0.683","False","","","LockBuckle",""
"44","normal","REPLACED","ReplacedRhythmV4","25","33","825","0.758","84","814","0.987","False","","PeelMid","hardgate","rail_chain"
"45","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","72","654","0.991","False","","Campaign500_HardGateUntil0910","neutral","mixed_chain"
"46","hole","KEPT_CURRENT","OriginalNonTarget","20","26","520","0.769","43","437","0.84","False","","","",""
"47","normal","REPLACED","ReplacedRhythmV4","25","33","825","0.758","84","809","0.981","False","","PeelMid","hardgate","rail_chain"
"48","shape","REPLACED","ShapeCandidatePlanned","34","49","1666","0.694","76","629","0.378","False","","","Sweep",""
"49","normal","REPLACED","ReplacedRhythmV4","24","32","768","0.75","79","759","0.988","False","","PeelLight","peel","curve_chain"
"50","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","67","651","0.986","False","","NeutralMixed","neutral","mixed_chain"
"51","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","74","650","0.985","False","","PeelLight","peel","curve_chain"
"52","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","75","653","0.989","False","","PeelHard","hardgate","rail_chain"
"53","shape","REPLACED","ShapeCandidatePlanned","36","29","1044","1.241","92","816","0.782","False","","","LockBuckle",""
"54","hole","KEPT_CURRENT","OriginalNonTarget","18","26","468","0.692","43","388","0.829","False","","","",""
"55","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","74","648","0.982","False","","NeutralMixed","neutral","mixed_chain"
"56","normal","REPLACED","ReplacedRhythmV4","30","39","1170","0.769","79","1116","0.954","False","","maze_long_chain","longchain","spine_chain"
"57","normal","REPLACED","ReplacedRhythmV4","24","32","768","0.75","82","757","0.986","False","","PeelLight","peel","rail_chain"
"58","shape","REPLACED","ShapeCandidatePlanned","42","34","1428","1.235","92","759","0.532","False","","","DenseWeave",""
"59","normal","REPLACED","ReplacedRhythmV4","26","34","884","0.765","85","868","0.982","False","","PressurePeak","hardgate","mixed_chain"
"60","normal","REPLACED","ReplacedRhythmV4","22","29","638","0.759","54","634","0.994","False","","FlowRail","flow","rail_chain"
"61","hole","KEPT_CURRENT","OriginalNonTarget","18","26","468","0.692","43","386","0.825","False","","","",""
"62","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","67","653","0.989","False","","FlowPatch","flow","patch_chain"
"63","shape","REPLACED","ShapeCandidatePlanned","38","38","1444","1","70","515","0.357","False","","","Sweep",""
"64","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","66","651","0.986","False","","NeutralMixed","neutral","mixed_chain"
"65","normal","REPLACED","ReplacedRhythmV4","23","31","713","0.742","82","699","0.98","False","","PeelMid","peel","rail_chain"
"66","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","70","651","0.986","False","","NeutralMixed","neutral","mixed_chain"
"67","shape","REPLACED","ShapeCandidatePlanned","38","30","1140","1.267","91","764","0.67","False","","","SectionUnlock",""
"68","normal","REPLACED","ReplacedRhythmV4","20","27","540","0.741","52","532","0.985","False","","FlowCurve","flow","rail_chain"
"69","normal","REPLACED","ReplacedRhythmV4","26","34","884","0.765","94","869","0.983","False","","PressurePeak","hardgate","mixed_chain"
"70","normal","REPLACED","ReplacedRhythmV4","23","31","713","0.742","81","704","0.987","False","","PeelMid","peel","rail_chain"
"71","hole","KEPT_CURRENT","OriginalNonTarget","22","24","528","0.917","45","447","0.847","False","","","",""
"72","normal","REPLACED","ReplacedRhythmV4","26","34","884","0.765","86","873","0.988","False","","PressurePeak","hardgate","mixed_chain"
"73","shape","KEPT_SHAPE_FALLBACK","OriginalNonTarget","36","36","1296","1","82","737","0.569","False","","","",""
"74","normal","REPLACED","ReplacedRhythmV4","25","33","825","0.758","82","815","0.988","False","","PeelMid","peel","rail_chain"
"75","normal","REPLACED","ReplacedRhythmV4","24","32","768","0.75","83","762","0.992","False","","PressurePeak","hardgate","mixed_chain"
"76","normal","REPLACED","ReplacedRhythmV4","28","36","1008","0.778","72","955","0.947","False","","maze_long_chain","longchain","spine_chain"
"77","normal","REPLACED","ReplacedRhythmV4","20","27","540","0.741","46","536","0.993","False","","FlowCurve","flow","curve_chain"
"78","shape","REPLACED","ShapeCandidatePlanned","38","49","1862","0.776","84","700","0.376","False","","","SectionUnlock",""
"79","normal","REPLACED","ReplacedRhythmV4","20","27","540","0.741","51","530","0.981","False","","NeutralMixed","neutral","mixed_chain"
"80","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","73","651","0.986","False","","FlowRail","flow","rail_chain"
"81","normal","REPLACED","ReplacedRhythmV4","18","24","432","0.75","43","428","0.991","False","","FlowRail","flow","rail_chain"
"82","hole","KEPT_CURRENT","OriginalNonTarget","22","24","528","0.917","45","441","0.835","False","","","",""
"83","shape","REPLACED","ShapeCandidatePlanned","40","34","1360","1.176","91","709","0.521","False","","","DenseWeave",""
"84","normal","REPLACED","ReplacedRhythmV4","25","33","825","0.758","80","815","0.988","False","","PeelMid","hardgate","curve_chain"
"85","normal","REPLACED","ReplacedRhythmV4","24","32","768","0.75","79","759","0.988","False","","NeutralMixed","neutral","mixed_chain"
"86","normal","REPLACED","ReplacedRhythmV4","20","27","540","0.741","51","532","0.985","False","","FlowRail","flow","rail_chain"
"87","shape","REPLACED","ShapeCandidatePlanned","40","32","1280","1.25","95","751","0.587","False","","","CoreBurst",""
"88","normal","REPLACED","ReplacedRhythmV4","26","34","884","0.765","93","871","0.985","False","","PressurePeak","hardgate","mixed_chain"
"89","normal","REPLACED","ReplacedRhythmV4","32","40","1280","0.8","73","1201","0.938","False","","maze_long_chain","longchain","spine_chain"
"90","normal","REPLACED","ReplacedRhythmV4","26","34","884","0.765","87","872","0.986","False","","PressurePeak","hardgate","mixed_chain"
"91","hole","KEPT_CURRENT","OriginalNonTarget","26","22","572","1.182","47","491","0.858","False","","","",""
"92","normal","REPLACED","ReplacedRhythmV4","18","24","432","0.75","42","430","0.995","False","","FlowPatch","flow","patch_chain"
"93","shape","REPLACED","ShapeCandidatePlanned","37","29","1073","1.276","92","742","0.692","False","","","Sweep",""
"94","normal","REPLACED","ReplacedRhythmV4","27","36","972","0.75","100","954","0.981","False","","PressurePeak","hardgate","mixed_chain"
"95","normal","REPLACED","ReplacedRhythmV4","20","27","540","0.741","52","533","0.987","False","","FlowRail","flow","rail_chain"
"96","normal","REPLACED","ReplacedRhythmV4","27","36","972","0.75","100","962","0.99","False","","PressurePeak","hardgate","mixed_chain"
"97","normal","REPLACED","ReplacedRhythmV4","25","33","825","0.758","82","811","0.983","False","","PeelMid","peel","rail_chain"
"98","shape","REPLACED","ShapeCandidatePlanned","34","42","1428","0.81","70","577","0.404","False","","","Sweep",""
"99","normal","REPLACED","ReplacedRhythmV4","26","34","884","0.765","94","868","0.982","False","","PressurePeak","hardgate","mixed_chain"
"100","normal","REPLACED","ReplacedRhythmV4","18","24","432","0.75","43","427","0.988","False","","FlowCurve","flow","curve_chain"
"101","hole","KEPT_CURRENT","OriginalNonTarget","22","24","528","0.917","47","448","0.848","False","","","",""
"102","normal","REPLACED","ReplacedRhythmV4","20","27","540","0.741","56","529","0.98","False","","Campaign500_HardGateUntil0910","hardgate","unknown_chain"
"103","shape","REPLACED","ShapeCandidatePlanned","44","38","1672","1.158","101","847","0.507","False","","","CoreBurst",""
"104","normal","REPLACED","ReplacedRhythmV4","19","27","513","0.704","36","486","0.947","False","","slot_seedmaze_section_weave","longchain","family_profile_chain"
"105","normal","REPLACED","ReplacedRhythmV4","23","31","713","0.742","97","681","0.955","False","","hub_spoke","hub","mixed_chain"
"106","normal","REPLACED","ReplacedRhythmV4","23","31","713","0.742","78","704","0.987","False","","PeelMid","hardgate","curve_chain"
"107","normal","REPLACED","ReplacedRhythmV4","23","31","713","0.742","94","667","0.935","False","","HubMixed","hub","unknown_chain"
"108","shape","REPLACED","ShapeCandidatePlanned","42","36","1512","1.167","80","627","0.415","False","","","LockBuckle",""
"109","normal","REPLACED","ReplacedRhythmV4","27","36","972","0.75","90","960","0.988","False","","PressurePeak","hardgate","mixed_chain"
"110","normal","REPLACED","ReplacedRhythmV4","26","35","910","0.743","87","893","0.981","False","","PeelMid","hardgate","rail_chain"
"111","normal","REPLACED","ReplacedRhythmV4","24","32","768","0.75","83","763","0.993","False","","PressurePeak","hardgate","mixed_chain"
"112","normal","REPLACED","ReplacedRhythmV4","36","40","1440","0.9","92","1343","0.933","False","","maze_long_chain","longchain","spine_chain"
"113","shape","REPLACED","ShapeCandidatePlanned","34","49","1666","0.694","95","774","0.465","False","","","Sweep",""
"114","normal","REPLACED","ReplacedRhythmV4","25","33","825","0.758","81","814","0.987","False","","PeelMid","hardgate","curve_chain"
"115","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","70","651","0.986","False","","NeutralMixed","neutral","mixed_chain"
"116","normal","REPLACED","ReplacedRhythmV4","24","32","768","0.75","82","754","0.982","False","","PeelHard","hardgate","rail_chain"
"117","hole","KEPT_CURRENT","OriginalNonTarget","22","26","572","0.846","49","489","0.855","False","","","",""
"118","shape","REPLACED","ShapeCandidatePlanned","34","47","1598","0.723","98","790","0.494","False","","","SectionUnlock",""
"119","normal","REPLACED","ReplacedRhythmV4","22","28","616","0.786","43","585","0.95","False","","CampaignLongChainLab","longchain","long_chain"
"120","normal","REPLACED","ReplacedRhythmV4","24","32","768","0.75","87","759","0.988","False","","PressurePeak","hardgate","mixed_chain"
"121","normal","REPLACED","ReplacedRhythmV4","20","27","540","0.741","45","538","0.996","False","","FlowRail","flow","rail_chain"
"122","normal","REPLACED","ReplacedRhythmV4","26","34","884","0.765","79","867","0.981","False","","PressurePeak","peel","mixed_chain"
"123","shape","REPLACED","ShapeCandidatePlanned","38","30","1140","1.267","86","672","0.589","False","","","CoreBurst",""
"124","normal","REPLACED","ReplacedRhythmV4","25","33","825","0.758","82","818","0.992","False","","PeelMid","hardgate","rail_chain"
"125","normal","REPLACED","ReplacedRhythmV4","24","32","768","0.75","76","728","0.948","False","","maze_long_chain","longchain","patch_chain"
"126","hole","KEPT_CURRENT","OriginalNonTarget","20","26","520","0.769","50","439","0.844","False","","","",""
"127","shape","REPLACED","ShapeCandidatePlanned","34","34","1156","1","88","716","0.619","False","","","LockBuckle",""
"128","normal","REPLACED","ReplacedRhythmV4Final","20","27","540","0.741","63","536","0.993","False","","NeutralMixed","neutral","mixed_chain"
"129","normal","REPLACED","ReplacedRhythmV4","23","29","667","0.793","42","631","0.946","False","","slot_seedmaze_chamber_corridor","longchain","family_profile_chain"
"130","normal","REPLACED","ReplacedRhythmV4","24","32","768","0.75","77","757","0.986","False","","PeelHard","hardgate","rail_chain"
