"order","category","replacementMark","isPatch","finalStatus","sourceRoot","sourceKind","templateW","templateH","templateArea","actualW","actualH","actualArea","areaDelta","areaRatio","templateChains","actualChains","chainDelta","productionLane","chainLanguage","placementReason"
"1","normal","KEPT_CURRENT","False","OriginalKeptRhythmV4","basePreviewFallback","","10","7","70","10","7","70","0","1","6","6","0","","","first_level_keep_current"
"2","hole","KEPT_CURRENT","False","OriginalNonTarget","main","","16","18","288","16","18","288","0","1","22","22","0","","","unchanged_from_v3_or_non_normal"
"3","normal","REPLACED","False","ReplacedRhythmV4","","normal","9","14","126","18","24","432","306","3.429","19","36","17","FlowRail","rail_chain","target=19;stageTarget=19;effective=36.5;chains=36;role=Normal;style=flow;chain=rail_chain;cost=50.6"
"4","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","20","24","480","24","28","672","192","1.4","30","55","25","","","unchanged_from_v3_or_non_normal"
"5","normal","REPLACED","False","ReplacedRhythmV4","","normal","16","23","368","18","24","432","64","1.174","26","36","10","FlowPatch","patch_chain","target=26;stageTarget=26;effective=37.1;chains=36;role=Normal;style=flow;chain=patch_chain;cost=52.4"
"6","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","26","18","468","28","32","896","428","1.915","32","53","21","","","unchanged_from_v3_or_non_normal"
"7","normal","REPLACED","False","ReplacedRhythmV4","","normal","18","24","432","20","27","540","108","1.25","39","50","11","NeutralMixed","mixed_chain","target=39;stageTarget=39;effective=51.1;chains=50;role=Normal;style=neutral;chain=mixed_chain;cost=49.6"
"8","normal","REPLACED","False","ReplacedRhythmV4","","normal","16","22","352","20","27","540","188","1.534","46","46","0","FlowPatch","patch_chain","target=46;stageTarget=46;effective=45.7;chains=46;role=Hard;style=flow;chain=patch_chain;cost=-9.1"
"9","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","22","22","484","26","26","676","192","1.397","32","34","2","","","unchanged_from_v3_or_non_normal"
"10","normal","REPLACED","False","ReplacedRhythmV4","","normal","14","27","378","20","27","540","162","1.429","60","52","-8","NeutralMixed","mixed_chain","target=60;stageTarget=48;effective=53.8;chains=52;role=PeakExtreme;style=neutral;chain=mixed_chain;cost=19.9"
"11","normal","REPLACED","False","ReplacedRhythmV4","","normal","12","18","216","18","24","432","216","2","31","34","3","FlowCurve","rail_chain","target=31;stageTarget=31;effective=36.9;chains=34;role=Normal;style=flow;chain=rail_chain;cost=19.6"
"12","normal","REPLACED","False","ReplacedRhythmV4","","normal","17","24","408","20","27","540","132","1.324","50","48","-2","FlowPatch","patch_chain","target=50;stageTarget=50;effective=49.8;chains=48;role=Normal;style=flow;chain=patch_chain;cost=26.0"
"13","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","24","24","576","44","44","1936","1360","3.361","37","60","23","","","unchanged_from_v3_or_non_normal"
"14","normal","REPLACED","False","ReplacedRhythmV4","","normal","15","21","315","20","27","540","225","1.714","42","54","12","NeutralMixed","mixed_chain","target=42;stageTarget=42;effective=56.3;chains=54;role=Normal;style=neutral;chain=mixed_chain;cost=58.2"
"15","normal","REPLACED","False","ReplacedRhythmV4","","normal","14","26","364","20","27","540","176","1.484","53","55","2","FlowCurve","curve_chain","target=53;stageTarget=53;effective=56.1;chains=55;role=Normal;style=flow;chain=curve_chain;cost=12.2"
"16","normal","REPLACED","False","ReplacedRhythmV4","","normal","15","29","435","20","27","540","105","1.241","54","56","2","NeutralMixed","mixed_chain","target=54;stageTarget=54;effective=59.8;chains=56;role=Hard;style=neutral;chain=mixed_chain;cost=16.6"
