"shardId","runner","plan","orders","planRows","expandedRows"
"h01",".worktrees\campaign500-normal-full-s01","F:\Unityproject\ArrowLevel-Hand\.codex-run\campaign500_holefill_lowchoice_v1_plans\c5hole_lowchoice_v1_h01_plan.csv","25,39,47,56","8","48"
"h02",".worktrees\campaign500-normal-full-s03","F:\Unityproject\ArrowLevel-Hand\.codex-run\campaign500_holefill_lowchoice_v1_plans\c5hole_lowchoice_v1_h02_plan.csv","70,72,89,105","8","48"
"h03",".worktrees\campaign500-normal-full-s04","F:\Unityproject\ArrowLevel-Hand\.codex-run\campaign500_holefill_lowchoice_v1_plans\c5hole_lowchoice_v1_h03_plan.csv","112,129,136,148","8","48"
"h04",".worktrees\campaign500-normal-full-s05","F:\Unityproject\ArrowLevel-Hand\.codex-run\campaign500_holefill_lowchoice_v1_plans\c5hole_lowchoice_v1_h04_plan.csv","152,166,172,182","8","48"
"h05",".worktrees\nutation-flow-peel-production","F:\Unityproject\ArrowLevel-Hand\.codex-run\campaign500_holefill_lowchoice_v1_plans\c5hole_lowchoice_v1_h05_plan.csv","196,206,219,221","8","48"
"h06",".worktrees\campaign500-normal-full-s02","F:\Unityproject\ArrowLevel-Hand\.codex-run\campaign500_holefill_lowchoice_v1_plans\c5hole_lowchoice_v1_h06_plan.csv","231,248,252,274","8","48"
"h07",".worktrees\campaign500-normal-full-s06","F:\Unityproject\ArrowLevel-Hand\.codex-run\campaign500_holefill_lowchoice_v1_plans\c5hole_lowchoice_v1_h07_plan.csv","299,302,312,326","8","48"
"h08",".worktrees\campaign500-normal-full-s05","F:\Unityproject\ArrowLevel-Hand\.codex-run\campaign500_holefill_lowchoice_v1_plans\c5hole_lowchoice_v1_h08_plan.csv","331,341,359,372","8","48"
"h09",".worktrees\campaign500-normal-full-s02","F:\Unityproject\ArrowLevel-Hand\.codex-run\campaign500_holefill_lowchoice_v1_plans\c5hole_lowchoice_v1_h09_plan.csv","389,397,419,425","8","48"
"h10",".worktrees\campaign500-normal-full-s06","F:\Unityproject\ArrowLevel-Hand\.codex-run\campaign500_holefill_lowchoice_v1_plans\c5hole_lowchoice_v1_h10_plan.csv","436,449,456,465","8","48"
"h11",".worktrees\nutation-flow-peel-production","F:\Unityproject\ArrowLevel-Hand\.codex-run\campaign500_holefill_lowchoice_v1_plans\c5hole_lowchoice_v1_h11_plan.csv","479,485,500","6","36"
