"selected","levelId","path","source","coverage","chains","maxChain","order","section10","replacementRole","productionDifficultyBand","plannedWidth","plannedHeight","plannedTargetChains","styleHint","profile","sourceReport","sourceIndex","openers","avgChoices","maxChoices","rhythmScore","rhythmClass","choicePressure","pseudoDepthRisk"
"1","campaign500_normal_full_v1_s01_s13_31_nutation_peel_rail_v1_rect_s03_o025_v00_peelmid_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_31_nutation_peel_rail_v1_rect_s03_o025_v00_peelmid_rail_chain.asset","Campaign500Missing48RawCandidatesV1","0.992","66","20","25","3","Hard","Hard","23","31","98","lock","PSG_Normal_lock_Hard_FixedFront40","campaign500_normal_full_v1_report.csv","31","13","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s01_s13_32_nutation_peel_rail_v1_rect_s03_o025_v01_peelmid_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_32_nutation_peel_rail_v1_rect_s03_o025_v01_peelmid_rail_chain.asset","Campaign500Missing48RawCandidatesV1","0.993","71","20","25","3","Hard","Hard","23","31","98","lock","PSG_Normal_lock_Hard_FixedFront40","campaign500_normal_full_v1_report.csv","32","7","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s01_s13_33_nutation_peel_rail_v1_rect_s03_o025_v02_peelmid_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_33_nutation_peel_rail_v1_rect_s03_o025_v02_peelmid_rail_chain.asset","Campaign500Missing48RawCandidatesV1","0.994","70","20","25","3","Hard","Hard","23","31","98","lock","PSG_Normal_lock_Hard_FixedFront40","campaign500_normal_full_v1_report.csv","33","8","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s01_s13_46_nutation_peel_rail_v1_rect_s04_o039_v00_peelhard_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_46_nutation_peel_rail_v1_rect_s04_o039_v00_peelhard_rail_chain.asset","Campaign500Missing48RawCandidatesV1","0.997","67","20","39","4","Peak","Peak","22","30","101","lock","PSG_Normal_lock_VeryHard_FixedFront40","campaign500_normal_full_v1_report.csv","46","3","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s01_s13_47_nutation_peel_rail_v1_rect_s04_o039_v01_peelhard_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_47_nutation_peel_rail_v1_rect_s04_o039_v01_peelhard_rail_chain.asset","Campaign500Missing48RawCandidatesV1","0.991","69","19","39","4","Peak","Peak","22","30","101","lock","PSG_Normal_lock_VeryHard_FixedFront40","campaign500_normal_full_v1_report.csv","47","9","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s01_s13_48_nutation_peel_rail_v1_rect_s04_o039_v02_peelhard_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_48_nutation_peel_rail_v1_rect_s04_o039_v02_peelhard_rail_chain.asset","Campaign500Missing48RawCandidatesV1","0.994","58","20","39","4","Peak","Peak","22","30","101","lock","PSG_Normal_lock_VeryHard_FixedFront40","campaign500_normal_full_v1_report.csv","48","8","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s01_s13_58_nutation_peel_rail_v1_rect_s05_o047_v00_peelhard_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_58_nutation_peel_rail_v1_rect_s05_o047_v00_peelhard_rail_chain.asset","Campaign500Missing48RawCandidatesV1","0.990","77","20","47","5","Peak","Peak","24","32","117","lock","PSG_Normal_lock_Extreme_Peak","campaign500_normal_full_v1_report.csv","58","8","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s01_s13_59_nutation_peel_rail_v1_rect_s05_o047_v01_peelhard_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_59_nutation_peel_rail_v1_rect_s05_o047_v01_peelhard_rail_chain.asset","Campaign500Missing48RawCandidatesV1","0.990","82","20","47","5","Peak","Peak","24","32","117","lock","PSG_Normal_lock_Extreme_Peak","campaign500_normal_full_v1_report.csv","59","7","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s01_s13_60_nutation_peel_rail_v1_rect_s05_o047_v02_peelhard_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_60_nutation_peel_rail_v1_rect_s05_o047_v02_peelhard_rail_chain.asset","Campaign500Missing48RawCandidatesV1","0.990","79","20","47","5","Peak","Peak","24","32","117","lock","PSG_Normal_lock_Extreme_Peak","campaign500_normal_full_v1_report.csv","60","8","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s01_s13_70_nutation_peel_rail_v1_rect_s06_o056_v00_peelhard_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_70_nutation_peel_rail_v1_rect_s06_o056_v00_peelhard_rail_chain.asset","Campaign500Missing48RawCandidatesV1","0.997","71","20","56","6","Peak","Peak","22","30","96","dense","PSG_Normal_dense_VeryHard_Pressure","campaign500_normal_full_v1_report.csv","70","5","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s01_s13_71_nutation_peel_rail_v1_rect_s06_o056_v01_peelhard_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_71_nutation_peel_rail_v1_rect_s06_o056_v01_peelhard_rail_chain.asset","Campaign500Missing48RawCandidatesV1","0.986","60","20","56","6","Peak","Peak","22","30","96","dense","PSG_Normal_dense_VeryHard_Pressure","campaign500_normal_full_v1_report.csv","71","9","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s01_s13_72_nutation_peel_rail_v1_rect_s06_o056_v02_peelhard_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_72_nutation_peel_rail_v1_rect_s06_o056_v02_peelhard_rail_chain.asset","Campaign500Missing48RawCandidatesV1","0.992","66","20","56","6","Peak","Peak","22","30","96","dense","PSG_Normal_dense_VeryHard_Pressure","campaign500_normal_full_v1_report.csv","72","8","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s01_s13_79_nutation_peel_v2_rect_s07_o070_v00_peelmid_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_79_nutation_peel_v2_rect_s07_o070_v00_peelmid_curve_chain.asset","Campaign500Missing48RawCandidatesV1","0.979","78","21","70","7","Hard","Hard","23","31","103","section","PSG_Normal_section_Hard_Normal","campaign500_normal_full_v1_report.csv","79","5","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s01_s13_80_nutation_peel_v2_rect_s07_o070_v01_peelmid_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_80_nutation_peel_v2_rect_s07_o070_v01_peelmid_curve_chain.asset","Campaign500Missing48RawCandidatesV1","0.982","83","21","70","7","Hard","Hard","23","31","103","section","PSG_Normal_section_Hard_Normal","campaign500_normal_full_v1_report.csv","80","6","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s01_s13_81_nutation_peel_v2_rect_s07_o070_v02_peelmid_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_81_nutation_peel_v2_rect_s07_o070_v02_peelmid_curve_chain.asset","Campaign500Missing48RawCandidatesV1","0.975","77","19","70","7","Hard","Hard","23","31","103","section","PSG_Normal_section_Hard_Normal","campaign500_normal_full_v1_report.csv","81","8","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s01_s13_94_nutation_peel_rail_v1_rect_s08_o072_v00_peelhard_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_94_nutation_peel_rail_v1_rect_s08_o072_v00_peelhard_rail_chain.asset","Campaign500Missing48RawCandidatesV1","0.992","65","20","72","8","Peak","Peak","22","30","104","lock","PSG_Normal_lock_VeryHard_Pressure","campaign500_normal_full_v1_report.csv","94","9","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s01_s13_95_nutation_peel_rail_v1_rect_s08_o072_v01_peelhard_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_95_nutation_peel_rail_v1_rect_s08_o072_v01_peelhard_rail_chain.asset","Campaign500Missing48RawCandidatesV1","0.994","67","20","72","8","Peak","Peak","22","30","104","lock","PSG_Normal_lock_VeryHard_Pressure","campaign500_normal_full_v1_report.csv","95","7","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s01_s13_96_nutation_peel_rail_v1_rect_s08_o072_v02_peelhard_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_96_nutation_peel_rail_v1_rect_s08_o072_v02_peelhard_rail_chain.asset","Campaign500Missing48RawCandidatesV1","0.991","64","20","72","8","Peak","Peak","22","30","104","lock","PSG_Normal_lock_VeryHard_Pressure","campaign500_normal_full_v1_report.csv","96","8","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s01_s13_106_nutation_peel_rail_v1_rect_s09_o089_v00_peelhard_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_106_nutation_peel_rail_v1_rect_s09_o089_v00_peelhard_rail_chain.asset","Campaign500Missing48RawCandidatesV1","0.989","60","20","89","9","Peak","Peak","22","30","100","lock","PSG_Normal_lock_Extreme_Peak","campaign500_normal_full_v1_report.csv","106","7","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s01_s13_107_nutation_peel_rail_v1_rect_s09_o089_v01_peelhard_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_107_nutation_peel_rail_v1_rect_s09_o089_v01_peelhard_rail_chain.asset","Campaign500Missing48RawCandidatesV1","0.988","67","20","89","9","Peak","Peak","22","30","100","lock","PSG_Normal_lock_Extreme_Peak","campaign500_normal_full_v1_report.csv","107","9","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s01_s13_108_nutation_peel_rail_v1_rect_s09_o089_v02_peelhard_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_108_nutation_peel_rail_v1_rect_s09_o089_v02_peelhard_rail_chain.asset","Campaign500Missing48RawCandidatesV1","0.997","68","19","89","9","Peak","Peak","22","30","100","lock","PSG_Normal_lock_Extreme_Peak","campaign500_normal_full_v1_report.csv","108","9","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s01_s13_118_nutation_peel_v2_rect_s10_o096_v00_peelhard_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_118_nutation_peel_v2_rect_s10_o096_v00_peelhard_curve_chain.asset","Campaign500Missing48RawCandidatesV1","0.968","70","20","96","10","Peak","Peak","22","30","110","section","PSG_Normal_section_Extreme_Peak","campaign500_normal_full_v1_report.csv","118","9","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s01_s13_119_nutation_peel_v2_rect_s10_o096_v01_peelhard_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_119_nutation_peel_v2_rect_s10_o096_v01_peelhard_curve_chain.asset","Campaign500Missing48RawCandidatesV1","0.976","70","21","96","10","Peak","Peak","22","30","110","section","PSG_Normal_section_Extreme_Peak","campaign500_normal_full_v1_report.csv","119","6","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s01_s13_120_nutation_peel_v2_rect_s10_o096_v02_peelhard_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_120_nutation_peel_v2_rect_s10_o096_v02_peelhard_curve_chain.asset","Campaign500Missing48RawCandidatesV1","0.982","69","19","96","10","Peak","Peak","22","30","110","section","PSG_Normal_section_Extreme_Peak","campaign500_normal_full_v1_report.csv","120","8","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s01_s13_127_nutation_peel_v2_rect_s11_o105_v00_peelmid_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_127_nutation_peel_v2_rect_s11_o105_v00_peelmid_curve_chain.asset","Campaign500Missing48RawCandidatesV1","0.976","83","21","105","11","Hard","Hard","23","31","117","maze","PSG_Normal_maze_Hard_Recovery","campaign500_normal_full_v1_report.csv","127","7","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s01_s13_128_nutation_peel_v2_rect_s11_o105_v01_peelmid_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_128_nutation_peel_v2_rect_s11_o105_v01_peelmid_curve_chain.asset","Campaign500Missing48RawCandidatesV1","0.972","74","20","105","11","Hard","Hard","23","31","117","maze","PSG_Normal_maze_Hard_Recovery","campaign500_normal_full_v1_report.csv","128","7","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s01_s13_129_nutation_peel_v2_rect_s11_o105_v02_peelmid_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_129_nutation_peel_v2_rect_s11_o105_v02_peelmid_curve_chain.asset","Campaign500Missing48RawCandidatesV1","0.975","81","21","105","11","Hard","Hard","23","31","117","maze","PSG_Normal_maze_Hard_Recovery","campaign500_normal_full_v1_report.csv","129","8","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s01_s13_142_nutation_peel_rail_v1_rect_s12_o112_v00_peelhard_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_142_nutation_peel_rail_v1_rect_s12_o112_v00_peelhard_rail_chain.asset","Campaign500Missing48RawCandidatesV1","0.994","68","20","112","12","Peak","Peak","22","30","108","lock","PSG_Normal_lock_VeryHard_Pressure","campaign500_normal_full_v1_report.csv","142","8","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s01_s13_143_nutation_peel_rail_v1_rect_s12_o112_v01_peelhard_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_143_nutation_peel_rail_v1_rect_s12_o112_v01_peelhard_rail_chain.asset","Campaign500Missing48RawCandidatesV1","0.989","65","20","112","12","Peak","Peak","22","30","108","lock","PSG_Normal_lock_VeryHard_Pressure","campaign500_normal_full_v1_report.csv","143","8","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s01_s13_144_nutation_peel_rail_v1_rect_s12_o112_v02_peelhard_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_144_nutation_peel_rail_v1_rect_s12_o112_v02_peelhard_rail_chain.asset","Campaign500Missing48RawCandidatesV1","0.991","63","20","112","12","Peak","Peak","22","30","108","lock","PSG_Normal_lock_VeryHard_Pressure","campaign500_normal_full_v1_report.csv","144","7","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s01_s13_154_nutation_peel_v2_rect_s13_o129_v00_peelhard_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_154_nutation_peel_v2_rect_s13_o129_v00_peelhard_curve_chain.asset","Campaign500Missing48RawCandidatesV1","0.974","70","21","129","13","Peak","Peak","22","30","102","section","PSG_Normal_section_VeryHard_Pressure","campaign500_normal_full_v1_report.csv","154","7","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s01_s13_155_nutation_peel_v2_rect_s13_o129_v01_peelhard_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_155_nutation_peel_v2_rect_s13_o129_v01_peelhard_curve_chain.asset","Campaign500Missing48RawCandidatesV1","0.980","78","21","129","13","Peak","Peak","22","30","102","section","PSG_Normal_section_VeryHard_Pressure","campaign500_normal_full_v1_report.csv","155","9","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s01_s13_156_nutation_peel_v2_rect_s13_o129_v02_peelhard_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_156_nutation_peel_v2_rect_s13_o129_v02_peelhard_curve_chain.asset","Campaign500Missing48RawCandidatesV1","0.988","75","21","129","13","Peak","Peak","22","30","102","section","PSG_Normal_section_VeryHard_Pressure","campaign500_normal_full_v1_report.csv","156","9","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s14_s26_10_nutation_peel_v2_rect_s14_o136_v00_peelhard_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_10_nutation_peel_v2_rect_s14_o136_v00_peelhard_curve_chain.asset","Campaign500Missing48RawCandidatesV1","0.980","83","21","136","14","Peak","Peak","24","32","113","section","PSG_Normal_section_Extreme_Peak","campaign500_normal_full_v1_s14_s26_report.csv","10","7","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s14_s26_10_nutation_peel_v2_rect_s14_o136_v00_peelhard_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_10_nutation_peel_v2_rect_s14_o136_v00_peelhard_curve_chain.asset","Campaign500Missing48RawCandidatesV1","0.980","83","21","136","14","Peak","Peak","24","32","113","section","PSG_Normal_section_Extreme_Peak","campaign500_normal_full_v1_report.csv","10","7","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s14_s26_11_nutation_peel_v2_rect_s14_o136_v01_peelhard_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_11_nutation_peel_v2_rect_s14_o136_v01_peelhard_curve_chain.asset","Campaign500Missing48RawCandidatesV1","0.975","82","20","136","14","Peak","Peak","24","32","113","section","PSG_Normal_section_Extreme_Peak","campaign500_normal_full_v1_report.csv","11","11","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s14_s26_11_nutation_peel_v2_rect_s14_o136_v01_peelhard_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_11_nutation_peel_v2_rect_s14_o136_v01_peelhard_curve_chain.asset","Campaign500Missing48RawCandidatesV1","0.975","82","20","136","14","Peak","Peak","24","32","113","section","PSG_Normal_section_Extreme_Peak","campaign500_normal_full_v1_s14_s26_report.csv","11","11","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s14_s26_12_nutation_peel_v2_rect_s14_o136_v02_peelhard_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_12_nutation_peel_v2_rect_s14_o136_v02_peelhard_curve_chain.asset","Campaign500Missing48RawCandidatesV1","0.979","89","21","136","14","Peak","Peak","24","32","113","section","PSG_Normal_section_Extreme_Peak","campaign500_normal_full_v1_report.csv","12","9","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s14_s26_12_nutation_peel_v2_rect_s14_o136_v02_peelhard_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_12_nutation_peel_v2_rect_s14_o136_v02_peelhard_curve_chain.asset","Campaign500Missing48RawCandidatesV1","0.979","89","21","136","14","Peak","Peak","24","32","113","section","PSG_Normal_section_Extreme_Peak","campaign500_normal_full_v1_s14_s26_report.csv","12","9","0","0","0","RawCandidate","Unknown","Unknown"
