"part","order","section10","roleInSection","productionDifficultyBand","levelId","path","sourceReport","sourceIndex","sourceCoverage","chains","maxChain","solved","steps","avgChoices","choiceP80","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","solveSameAxisRunMax","solveSameDirHeadRunMax","solveRegionEntropy","dependencyRegionEntropy","processTier","processTierReason","tightProcessTier","tightProcessTierReason"
"1","105","11","Hard","Hard","campaign500_normal_full_v1_s01_s13_129_nutation_peel_v2_rect_s11_o105_v02_peelmid_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_129_nutation_peel_v2_rect_s11_o105_v02_peelmid_curve_chain.asset","campaign500_normal_full_v1_report.csv","129","0.975","81","21","True","81","7.04","9","11","7","5","0.731","0.346","8","6","0.995","0.994","B","flow or late-campaign only","Drop","openers > 4; avg > 4; p80 > 5; max > 7; over8 too frequent; local patch solve run; near-outer patch solve run; local window burst"
"1","105","11","Hard","Hard","campaign500_normal_full_v1_s01_s13_128_nutation_peel_v2_rect_s11_o105_v01_peelmid_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_128_nutation_peel_v2_rect_s11_o105_v01_peelmid_curve_chain.asset","campaign500_normal_full_v1_report.csv","128","0.972","74","20","True","74","7.27","9","11","4","3","0.788","0.343","9","9","0.992","0.99","B","flow or late-campaign only","Drop","openers > 4; avg > 4; p80 > 5; max > 7; over8 too frequent; local patch solve run; near-outer patch solve run; local window burst"
"1","112","12","Peak","Peak","campaign500_normal_full_v1_s01_s13_143_nutation_peel_rail_v1_rect_s12_o112_v01_peelhard_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_143_nutation_peel_rail_v1_rect_s12_o112_v01_peelhard_rail_chain.asset","campaign500_normal_full_v1_report.csv","143","0.989","65","20","True","65","8.43","10","14","5","4","0.871","0.183","7","6","0.994","0.988","Drop","avg choices high; p80 choices high; choice peak high; too many over-10 steps; local patch solve run; near-outer patch solve run; local window burst","Drop","openers > 4; avg > 4; p80 > 5; max > 7; over8 too frequent; local patch solve run; near-outer patch solve run; local window burst"
"1","112","12","Peak","Peak","campaign500_normal_full_v1_s01_s13_142_nutation_peel_rail_v1_rect_s12_o112_v00_peelhard_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_142_nutation_peel_rail_v1_rect_s12_o112_v00_peelhard_rail_chain.asset","campaign500_normal_full_v1_report.csv","142","0.994","68","20","True","68","8.94","11","14","4","4","0.908","0.107","6","4","0.983","0.968","Drop","avg choices high; p80 choices high; choice peak high; too many over-10 steps; local patch solve run; near-outer patch solve run; local window burst","Drop","openers > 4; avg > 4; p80 > 5; max > 7; over8 too frequent; local patch solve run; near-outer patch solve run; local window burst"
"1","105","11","Hard","Hard","campaign500_normal_full_v1_s01_s13_127_nutation_peel_v2_rect_s11_o105_v00_peelmid_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_127_nutation_peel_v2_rect_s11_o105_v00_peelmid_curve_chain.asset","campaign500_normal_full_v1_report.csv","127","0.976","83","21","True","83","8.9","13","15","6","4","0.853","0.201","6","6","0.992","0.992","Drop","avg choices high; p80 choices high; choice peak high; too many over-10 steps; local patch solve run; near-outer patch solve run; local window burst","Drop","openers > 4; avg > 4; p80 > 5; max > 7; over8 too frequent; local patch solve run; near-outer patch solve run; local window burst"
"1","96","10","Peak","Peak","campaign500_normal_full_v1_s01_s13_118_nutation_peel_v2_rect_s10_o096_v00_peelhard_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_118_nutation_peel_v2_rect_s10_o096_v00_peelhard_curve_chain.asset","campaign500_normal_full_v1_report.csv","118","0.968","70","20","True","70","5.69","8","10","4","3","0.858","0.214","8","6","0.992","0.984","A","usable process curve","Drop","openers > 4; avg > 4; p80 > 5; max > 7; over8 too frequent; local patch solve run; near-outer patch solve run; local window burst"
"1","89","9","Peak","Peak","campaign500_normal_full_v1_s01_s13_108_nutation_peel_rail_v1_rect_s09_o089_v02_peelhard_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_108_nutation_peel_rail_v1_rect_s09_o089_v02_peelhard_rail_chain.asset","campaign500_normal_full_v1_report.csv","108","0.997","68","19","True","68","8.4","11","12","4","2","0.847","0.093","5","3","0.992","0.986","Drop","avg choices high; p80 choices high; choice peak high; too many over-10 steps; local patch solve run; local window burst","Drop","openers > 4; avg > 4; p80 > 5; max > 7; over8 too frequent; local patch solve run; local window burst"
"1","96","10","Peak","Peak","campaign500_normal_full_v1_s01_s13_120_nutation_peel_v2_rect_s10_o096_v02_peelhard_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_120_nutation_peel_v2_rect_s10_o096_v02_peelhard_curve_chain.asset","campaign500_normal_full_v1_report.csv","120","0.982","69","19","True","69","8.19","10","12","8","6","0.911","0.131","6","6","0.996","0.994","Drop","avg choices high; p80 choices high; choice peak high; too many over-10 steps; local patch solve run; near-outer patch solve run; local window burst","Drop","openers > 4; avg > 4; p80 > 5; max > 7; over8 too frequent; local patch solve run; near-outer patch solve run; local window burst"
"1","96","10","Peak","Peak","campaign500_normal_full_v1_s01_s13_119_nutation_peel_v2_rect_s10_o096_v01_peelhard_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_119_nutation_peel_v2_rect_s10_o096_v01_peelhard_curve_chain.asset","campaign500_normal_full_v1_report.csv","119","0.976","70","21","True","70","9.53","13","15","3","3","0.831","0.203","6","6","0.995","0.989","Drop","avg choices high; p80 choices high; choice peak high; too many over-10 steps; near-outer patch solve run; local window burst","Drop","openers > 4; avg > 4; p80 > 5; max > 7; over8 too frequent; near-outer patch solve run; local window burst"
"1","112","12","Peak","Peak","campaign500_normal_full_v1_s01_s13_144_nutation_peel_rail_v1_rect_s12_o112_v02_peelhard_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_144_nutation_peel_rail_v1_rect_s12_o112_v02_peelhard_rail_chain.asset","campaign500_normal_full_v1_report.csv","144","0.991","63","20","True","63","8.11","11","13","5","5","0.928","0.007","4","3","0.994","0.992","Drop","avg choices high; p80 choices high; choice peak high; too many over-10 steps; local patch solve run; near-outer patch solve run; local window burst","Drop","openers > 4; avg > 4; p80 > 5; max > 7; over8 too frequent; local patch solve run; near-outer patch solve run; local window burst"
