"part","order","section10","roleInSection","productionDifficultyBand","levelId","path","sourceReport","sourceIndex","sourceCoverage","chains","maxChain","solved","steps","avgChoices","choiceP80","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","solveSameAxisRunMax","solveSameDirHeadRunMax","solveRegionEntropy","dependencyRegionEntropy","processTier","processTierReason","tightProcessTier","tightProcessTierReason"
"2","219","22","Hard","Hard","campaign500_normal_full_v1_s14_s26_105_nutation_peel_v2_rect_s22_o219_v02_peelmid_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_105_nutation_peel_v2_rect_s22_o219_v02_peelmid_curve_chain.asset","campaign500_normal_full_v1_report.csv","105","0.973","84","19","True","84","8.27","10","14","4","3","0.737","0.33","10","7","0.995","0.996","Drop","avg choices high; p80 choices high; choice peak high; too many over-10 steps; local patch solve run; near-outer patch solve run; local window burst","Drop","openers > 4; avg > 4; p80 > 5; max > 7; over8 too frequent; local patch solve run; near-outer patch solve run; local window burst"
"2","221","23","Hard","Hard","campaign500_normal_full_v1_s14_s26_115_nutation_peel_rail_v1_rect_s23_o221_v00_peelmid_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_115_nutation_peel_rail_v1_rect_s23_o221_v00_peelmid_rail_chain.asset","campaign500_normal_full_v1_report.csv","115","0.992","70","20","True","70","8.41","11","13","3","3","0.876","0.078","6","3","0.99","0.98","Drop","too many openers; avg choices high; p80 choices high; choice peak high; too many over-10 steps; near-outer patch solve run; local window burst","Drop","openers > 4; avg > 4; p80 > 5; max > 7; over8 too frequent; near-outer patch solve run; local window burst"
"2","219","22","Hard","Hard","campaign500_normal_full_v1_s14_s26_104_nutation_peel_v2_rect_s22_o219_v01_peelmid_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_104_nutation_peel_v2_rect_s22_o219_v01_peelmid_curve_chain.asset","campaign500_normal_full_v1_s14_s26_report.csv","104","0.973","85","21","True","85","9.13","12","14","10","3","0.841","0.199","8","6","0.994","0.992","Drop","too many openers; avg choices high; p80 choices high; choice peak high; too many over-10 steps; local patch solve run; near-outer patch solve run; local window burst","Drop","openers > 4; avg > 4; p80 > 5; max > 7; over8 too frequent; local patch solve run; near-outer patch solve run; local window burst"
"2","219","22","Hard","Hard","campaign500_normal_full_v1_s14_s26_105_nutation_peel_v2_rect_s22_o219_v02_peelmid_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_105_nutation_peel_v2_rect_s22_o219_v02_peelmid_curve_chain.asset","campaign500_normal_full_v1_report.csv","105","0.973","84","19","True","84","8.27","10","14","4","3","0.737","0.33","10","7","0.995","0.996","Drop","avg choices high; p80 choices high; choice peak high; too many over-10 steps; local patch solve run; near-outer patch solve run; local window burst","Drop","openers > 4; avg > 4; p80 > 5; max > 7; over8 too frequent; local patch solve run; near-outer patch solve run; local window burst"
"2","221","23","Hard","Hard","campaign500_normal_full_v1_s14_s26_115_nutation_peel_rail_v1_rect_s23_o221_v00_peelmid_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_115_nutation_peel_rail_v1_rect_s23_o221_v00_peelmid_rail_chain.asset","campaign500_normal_full_v1_report.csv","115","0.992","70","20","True","70","8.41","11","13","3","3","0.876","0.078","6","3","0.99","0.98","Drop","too many openers; avg choices high; p80 choices high; choice peak high; too many over-10 steps; near-outer patch solve run; local window burst","Drop","openers > 4; avg > 4; p80 > 5; max > 7; over8 too frequent; near-outer patch solve run; local window burst"
"2","221","23","Hard","Hard","campaign500_normal_full_v1_s14_s26_117_nutation_peel_rail_v1_rect_s23_o221_v02_peelmid_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_117_nutation_peel_rail_v1_rect_s23_o221_v02_peelmid_rail_chain.asset","campaign500_normal_full_v1_s14_s26_report.csv","117","0.990","69","20","True","69","8.74","12","15","6","6","0.927","0.073","6","4","0.991","0.989","Drop","avg choices high; p80 choices high; choice peak high; too many over-10 steps; local patch solve run; near-outer patch solve run; local window burst","Drop","openers > 4; avg > 4; p80 > 5; max > 7; over8 too frequent; local patch solve run; near-outer patch solve run; local window burst"
"2","221","23","Hard","Hard","campaign500_normal_full_v1_s14_s26_117_nutation_peel_rail_v1_rect_s23_o221_v02_peelmid_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_117_nutation_peel_rail_v1_rect_s23_o221_v02_peelmid_rail_chain.asset","campaign500_normal_full_v1_s14_s26_report.csv","117","0.990","69","20","True","69","8.74","12","15","6","6","0.927","0.073","6","4","0.991","0.989","Drop","avg choices high; p80 choices high; choice peak high; too many over-10 steps; local patch solve run; near-outer patch solve run; local window burst","Drop","openers > 4; avg > 4; p80 > 5; max > 7; over8 too frequent; local patch solve run; near-outer patch solve run; local window burst"
"2","221","23","Hard","Hard","campaign500_normal_full_v1_s14_s26_116_nutation_peel_rail_v1_rect_s23_o221_v01_peelmid_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_116_nutation_peel_rail_v1_rect_s23_o221_v01_peelmid_rail_chain.asset","campaign500_normal_full_v1_report.csv","116","0.987","70","19","True","70","7.37","11","15","5","5","0.91","0.104","5","4","0.978","0.983","Drop","avg choices high; p80 choices high; choice peak high; too many over-10 steps; local patch solve run; near-outer patch solve run; local window burst","Drop","avg > 4; p80 > 5; max > 7; over8 too frequent; local patch solve run; near-outer patch solve run; local window burst"
"2","221","23","Hard","Hard","campaign500_normal_full_v1_s14_s26_116_nutation_peel_rail_v1_rect_s23_o221_v01_peelmid_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_116_nutation_peel_rail_v1_rect_s23_o221_v01_peelmid_rail_chain.asset","campaign500_normal_full_v1_report.csv","116","0.987","70","19","True","70","7.37","11","15","5","5","0.91","0.104","5","4","0.978","0.983","Drop","avg choices high; p80 choices high; choice peak high; too many over-10 steps; local patch solve run; near-outer patch solve run; local window burst","Drop","avg > 4; p80 > 5; max > 7; over8 too frequent; local patch solve run; near-outer patch solve run; local window burst"
"2","206","21","NormalB_NeutralOrPeelLight","NormalNeutral","campaign500_normal_full_v1_s14_s26_89_nutation_mixed_neutral_v1_rect_s21_o206_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_89_nutation_mixed_neutral_v1_rect_s21_o206_v01_neutralmixed_mixed_chain.asset","campaign500_normal_full_v1_report.csv","89","0.994","75","21","True","75","4.97","6","9","8","4","0.907","0.133","5","5","0.993","0.992","B","flow or late-campaign only","B","closest current-pool curve"
