"order","section10","roleInSection","band","targetChains","bestChoices","bestLocal","bestNear","bestSts","bestCollapse","bestAxis","bestDir","fail"
"25","3","Hard","Hard","98","13","4","4","0.899","0.124","7","4","choices"
"39","4","Peak","Peak","101","12","6","5","0.861","0.061","5","3","choices"
"47","5","Peak","Peak","117","12","7","3","0.87","0.119","5","5","choices"
"56","6","Peak","Peak","96","14","4","4","0.847","0.245","9","7","choices"
"70","7","Hard","Hard","103","12","6","4","0.821","0.142","4","4","choices"
"72","8","Peak","Peak","104","12","6","4","0.889","0.03","4","3","choices"
"89","9","Peak","Peak","100","12","4","2","0.847","0.093","5","3","choices"
"105","11","Hard","Hard","117","11","4","3","0.788","0.343","9","9","sts+collapse+dir"
"112","12","Peak","Peak","108","13","5","5","0.928","0.007","4","3","choices"
"129","13","Peak","Peak","102","11","4","4","0.864","0.194","13","5","axis"
"136","14","Peak","Peak","113","14","4","4","0.849","0.234","10","6","choices+axis"
"148","15","Hard","Hard","111","14","4","4","0.817","0.171","6","5","choices+sts"
"152","16","Hard","Hard","106","12","3","2","0.884","0.099","6","5","choices"
"166","17","Hard","Hard","119","12","5","3","0.871","0.168","6","6","choices"
"172","18","Hard","Hard","106","14","8","4","0.803","0.174","6","4","choices+local+sts"
"182","19","NormalA_FlowOrNeutral","NormalFlow","88","12","4","3","0.78","0.189","5","5","choices+sts"
"196","20","Peak","Peak","135","14","4","4","0.855","0.143","6","5","choices"
"206","21","NormalB_NeutralOrPeelLight","NormalNeutral","103","7","5","4","0.75","0.396","13","13","sts+collapse+axis+dir"
"219","22","Hard","Hard","105","13","6","6","0.861","0.169","6","5","choices"
"221","23","Hard","Hard","126","13","3","3","0.876","0.078","6","3","choices"
"231","24","NormalB_NeutralOrPeelLight","NormalNeutral","103","8","3","3","0.819","0.388","11","11","sts+collapse+axis+dir"
"248","25","NormalA_FlowOrNeutral","NormalFlow","102","13","4","4","0.861","0.271","9","9","choices+dir"
"252","26","Hard","Hard","147","12","9","7","0.8","0.249","7","6","choices+local+near+sts"
"274","28","Hard","Hard","131","11","5","5","0.813","0.177","6","4","sts"
"299","30","Peak","Peak","178","9","6","4","0.832","0.317","10","8","collapse+axis"
"302","31","NormalA_FlowOrNeutral","NormalFlow","102","12","7","5","0.808","0.309","9","9","choices+sts+collapse+dir"
"312","32","Hard","Hard","134","12","6","6","0.879","0.078","4","4","choices"
"326","33","NormalB_NeutralOrPeelLight","NormalNeutral","104","8","4","4","0.776","0.382","10","10","sts+collapse+axis+dir"
"331","34","Hard","Hard","147","12","6","3","0.855","0.15","5","5","choices"
"341","35","Hard","Hard","154","13","5","3","0.828","0.139","4","4","choices"
"359","36","Peak","Peak","176","12","7","3","0.882","0.242","8","8","choices"
"372","38","Hard","Hard","147","13","7","5","0.729","0.396","10","8","choices+sts+collapse+axis"
"389","39","Peak","Peak","181","10","6","6","0.793","0.325","8","8","sts+collapse"
"397","40","NormalA_FlowOrNeutral","NormalNeutral","105","9","7","7","0.803","0.363","10","9","near+sts+collapse+axis+dir"
"419","42","Peak","PeakReview","203","16","6","4","0.871","0.27","9","9","choices+dir"
"425","43","Peak","PeakReview","213","11","6","4","0.758","0.413","12","10","sts+collapse+axis+dir"
"436","44","Peak","PeakReview","194","11","5","3","0.801","0.382","11","11","sts+collapse+axis+dir"
"449","45","Peak","PeakReview","181","14","5","4","0.86","0.124","6","3","choices"
"456","46","Peak","PeakReview","224","12","6","4","0.746","0.377","9","9","choices+sts+collapse+dir"
"465","47","Peak","PeakReview","213","13","9","4","0.792","0.279","7","7","choices+local+sts"
"479","48","Peak","PeakReview","185","13","8","3","0.853","0.214","7","7","choices+local"
"485","49","Peak","PeakReview","189","13","6","3","0.799","0.206","6","6","choices+sts"
"500","50","Peak","PeakReview","200","15","6","3","0.835","0.306","9","9","choices+collapse+dir"
