"strict","score","order","section10","levelId","path","source","solved","sourceCoverage","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","solveSameAxisRunMax","solveSameDirHeadRunMax"
"False","6320.6","25","3","campaign500_longchain_prod200_pool_v1_02_l025_long_hard_lock_s03_sts_slot_seedweave_cross_braid_near","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_02_l025_long_hard_lock_s03_sts_slot_seedweave_cross_braid_near.asset","campaign500_targeted_holefill_s03_s36_partial25_39_joined.csv","True","0.946","17","4","3","0.89","0.106","6","4"
"False","6082","25","3","campaign500_longchain_prod200_pool_v1_03_l025_long_hard_lock_s03_sts_slot_seedweave_dense_support","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_03_l025_long_hard_lock_s03_sts_slot_seedweave_dense_support.asset","campaign500_targeted_holefill_s03_s36_partial25_39_joined.csv","True","0.94","14","4","3","0.845","0.17","8","5"
"False","5508.3","25","3","campaign500_longchain_prod200_pool_v1_01_l025_long_hard_lock_s03_choice_slot_balanced","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_01_l025_long_hard_lock_s03_choice_slot_balanced.asset","campaign500_targeted_holefill_s03_s36_partial25_39_joined.csv","True","0.938","23","4","3","0.905","0.133","6","6"
"False","5324.5","25","3","campaign500_longchain_prod200_pool_v1_04_l025_long_hard_lock_s03_sts_slot_seedmaze_branch_chamber","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_04_l025_long_hard_lock_s03_sts_slot_seedmaze_branch_chamber.asset","campaign500_targeted_holefill_s03_s36_partial25_39_joined.csv","True","0.94","15","4","2","0.811","0.295","10","8"
"False","6682.5","39","4","campaign500_longchain_prod200_pool_v1_09_l039_long_veryhard_lock_s04_choice_slot_seedweave_braid_carrier_near","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_09_l039_long_veryhard_lock_s04_choice_slot_seedweave_braid_carrier_near.asset","campaign500_targeted_holefill_s03_s36_partial25_39_joined.csv","True","0.936","15","4","4","0.893","0.065","5","3"
"False","6544.3","39","4","campaign500_longchain_prod200_pool_v1_05_l039_long_veryhard_lock_s04_choice_slot_balanced_near","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_05_l039_long_veryhard_lock_s04_choice_slot_balanced_near.asset","campaign500_targeted_holefill_s03_s36_partial25_39_joined.csv","True","0.93","13","6","2","0.884","0.173","6","6"
"False","6542.3","39","4","campaign500_longchain_prod200_pool_v1_16_l039_long_veryhard_lock_s04_sts_slot_braid_near","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_16_l039_long_veryhard_lock_s04_sts_slot_braid_near.asset","campaign500_targeted_holefill_s03_s36_partial25_39_joined.csv","True","0.924","18","6","2","0.935","0.113","5","4"
"False","5783.2","39","4","campaign500_longchain_prod200_pool_v1_10_l039_long_veryhard_lock_s04_choice_slot_runbreak_near","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_10_l039_long_veryhard_lock_s04_choice_slot_runbreak_near.asset","campaign500_targeted_holefill_s03_s36_partial25_39_joined.csv","True","0.938","19","4","2","0.883","0.172","8","6"
"False","5609.3","39","4","campaign500_longchain_prod200_pool_v1_06_l039_long_veryhard_lock_s04_choice_slot_headmix_outerclean","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_06_l039_long_veryhard_lock_s04_choice_slot_headmix_outerclean.asset","campaign500_targeted_holefill_s03_s36_partial25_39_joined.csv","True","0.957","26","3","1","0.925","0.103","6","5"
"False","5512.6","39","4","campaign500_longchain_prod200_pool_v1_11_l039_long_veryhard_lock_s04_sts_slot_seedweave_cross_braid","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_11_l039_long_veryhard_lock_s04_sts_slot_seedweave_cross_braid.asset","campaign500_targeted_holefill_s03_s36_partial25_39_joined.csv","True","0.943","21","7","2","0.904","0.156","7","6"
"False","5505.9","39","4","campaign500_longchain_prod200_pool_v1_13_l039_long_veryhard_lock_s04_sts_slot_seedmaze_branch_chamber_near","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_13_l039_long_veryhard_lock_s04_sts_slot_seedmaze_branch_chamber_near.asset","campaign500_targeted_holefill_s03_s36_partial25_39_joined.csv","True","0.929","22","3","3","0.906","0.159","12","4"
"False","5419.1","39","4","campaign500_longchain_prod200_pool_v1_07_l039_long_veryhard_lock_s04_choice_slot_seedlock_gate_carrier_near","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_07_l039_long_veryhard_lock_s04_choice_slot_seedlock_gate_carrier_near.asset","campaign500_targeted_holefill_s03_s36_partial25_39_joined.csv","True","0.936","26","6","2","0.936","0.091","5","5"
