"selected","levelId","path","source","order","mode","styleHint","coverage","chains","portableOpeners","status"
"1","campaign500_psg_prod20_08_sgp_pressure_hard_campaign500_pure_a_l008_normal","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Production20/campaign500_psg_prod20_08_sgp_pressure_hard_campaign500_pure_a_l008_normal.asset","Campaign500PSGNormalProduction20","8","pure_a","normal","0.980","54","5","Style=PressureCampaignMedium | Score=-18660 | TargetInitial=5 | OpeningRatio=0.093 | EarlyChoices=24.0/40 | LocalRun=11 | Jump=5.9 | NearRate=0.65 | Peel style=PressureCampaignMedium seed=22267914 fill=345/352(0.980) chains=54 remaining=7 rejectedShort=0 failedPeels=1"
"1","campaign500_psg_prod20_09_sgp_pressure_hard_campaign500_pure_relaxed_l008_normal","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Production20/campaign500_psg_prod20_09_sgp_pressure_hard_campaign500_pure_relaxed_l008_normal.asset","Campaign500PSGNormalProduction20","8","pure_relaxed","normal","0.983","48","3","Style=PressureCampaignRelaxed | Score=-10301 | TargetInitial=4 | OpeningRatio=0.063 | EarlyChoices=22.6/38 | LocalRun=4 | Jump=5.5 | NearRate=0.48 | Peel style=PressureCampaignRelaxed seed=26887606 fill=346/352(0.983) chains=48 remaining=6 rejectedShort=0 failedPeels=1"
"1","campaign500_psg_prod20_10_sgp_pressure_hard_campaign500_language_a_l010_lock","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Production20/campaign500_psg_prod20_10_sgp_pressure_hard_campaign500_language_a_l010_lock.asset","Campaign500PSGNormalProduction20","10","language_a","lock","0.979","57","1","Style=PressureCampaignLockLang | Score=-126 | TargetInitial=3 | OpeningRatio=0.018 | EarlyChoices=18.3/32 | LocalRun=6 | Jump=4.7 | NearRate=0.71 | Peel style=PressureCampaignLockLang seed=33804040 fill=370/378(0.979) chains=57 remaining=8 rejectedShort=0 failedPeels=1"
"1","campaign500_psg_prod20_11_sgp_pressure_hard_campaign500_language_b_l010_lock","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Production20/campaign500_psg_prod20_11_sgp_pressure_hard_campaign500_language_b_l010_lock.asset","Campaign500PSGNormalProduction20","10","language_b","lock","0.974","54","3","Style=PressureCampaignLockLang | Score=8230 | TargetInitial=3 | OpeningRatio=0.056 | EarlyChoices=17.0/35 | LocalRun=6 | Jump=5.5 | NearRate=0.68 | Peel style=PressureCampaignLockLang seed=17895448 fill=368/378(0.974) chains=54 remaining=10 rejectedShort=0 failedPeels=1"
"1","campaign500_psg_prod20_12_sgp_pressure_hard_campaign500_pure_relaxed_l010_lock","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Production20/campaign500_psg_prod20_12_sgp_pressure_hard_campaign500_pure_relaxed_l010_lock.asset","Campaign500PSGNormalProduction20","10","pure_relaxed","lock","0.981","52","3","Style=PressureCampaignRelaxed | Score=-4218 | TargetInitial=4 | OpeningRatio=0.058 | EarlyChoices=20.4/33 | LocalRun=6 | Jump=5.1 | NearRate=0.65 | Peel style=PressureCampaignRelaxed seed=7537291 fill=371/378(0.981) chains=52 remaining=7 rejectedShort=0 failedPeels=1"
"1","campaign500_psg_prod20_14_sgp_pressure_hard_campaign500_pure_a_l011_normal","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Production20/campaign500_psg_prod20_14_sgp_pressure_hard_campaign500_pure_a_l011_normal.asset","Campaign500PSGNormalProduction20","11","pure_a","normal","0.981","33","3","Style=PressureCampaignMedium | Score=-13727 | TargetInitial=5 | OpeningRatio=0.091 | EarlyChoices=18.3/34 | LocalRun=4 | Jump=5.9 | NearRate=0.55 | Peel style=PressureCampaignMedium seed=25883957 fill=212/216(0.981) chains=33 remaining=4 rejectedShort=0 failedPeels=1"
"1","campaign500_psg_prod20_15_sgp_pressure_hard_campaign500_pure_relaxed_l011_normal","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Production20/campaign500_psg_prod20_15_sgp_pressure_hard_campaign500_pure_relaxed_l011_normal.asset","Campaign500PSGNormalProduction20","11","pure_relaxed","normal","0.981","30","2","Style=PressureCampaignRelaxed | Score=-11578 | TargetInitial=4 | OpeningRatio=0.067 | EarlyChoices=17.6/33 | LocalRun=4 | Jump=5.8 | NearRate=0.41 | Peel style=PressureCampaignRelaxed seed=24534108 fill=212/216(0.981) chains=30 remaining=4 rejectedShort=0 failedPeels=1"
"1","campaign500_psg_prod20_17_sgp_pressure_hard_campaign500_pure_relaxed_l012_normal","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Production20/campaign500_psg_prod20_17_sgp_pressure_hard_campaign500_pure_relaxed_l012_normal.asset","Campaign500PSGNormalProduction20","12","pure_relaxed","normal","0.983","54","3","Style=PressureCampaignRelaxed | Score=-7111 | TargetInitial=4 | OpeningRatio=0.056 | EarlyChoices=18.2/42 | LocalRun=7 | Jump=6.4 | NearRate=0.52 | Peel style=PressureCampaignRelaxed seed=25599821 fill=401/408(0.983) chains=54 remaining=7 rejectedShort=0 failedPeels=1"
"1","campaign500_psg_prod20_19_sgp_pressure_hard_campaign500_pure_relaxed_l014_normal","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Production20/campaign500_psg_prod20_19_sgp_pressure_hard_campaign500_pure_relaxed_l014_normal.asset","Campaign500PSGNormalProduction20","14","pure_relaxed","normal","0.968","44","4","Style=PressureCampaignRelaxed | Score=-11028 | TargetInitial=4 | OpeningRatio=0.091 | EarlyChoices=19.3/38 | LocalRun=8 | Jump=4.6 | NearRate=0.74 | Peel style=PressureCampaignRelaxed seed=16925808 fill=305/315(0.968) chains=44 remaining=10 rejectedShort=0 failedPeels=1"
"1","campaign500_psg_prod20_20_sgp_pressure_hard_campaign500_language_a_l015_section","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Production20/campaign500_psg_prod20_20_sgp_pressure_hard_campaign500_language_a_l015_section.asset","Campaign500PSGNormalProduction20","15","language_a","section","0.989","60","3","Style=PressureCampaignSectionLang | Score=-9115 | TargetInitial=4 | OpeningRatio=0.050 | EarlyChoices=18.9/34 | LocalRun=6 | Jump=5.2 | NearRate=0.65 | Peel style=PressureCampaignSectionLang seed=19548242 fill=360/364(0.989) chains=60 remaining=4 rejectedShort=0 failedPeels=1"
