"selected","levelId","path","source","order","mode","styleHint","coverage","chains","portableOpeners","status"
"1","campaign500_psg_next10_01_sgp_pressure_hard_campaign500_language_a_l031_sweep","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/ProductionNext10/campaign500_psg_next10_01_sgp_pressure_hard_campaign500_language_a_l031_sweep.asset","Campaign500PSGNormalProductionNext10","31","language_a","sweep","0.995","51","3","Style=PressureCampaignSweepLang | Score=-14094 | TargetInitial=4 | OpeningRatio=0.059 | EarlyChoices=31.7/44 | LocalRun=6 | Jump=8.6 | NearRate=0.45 | Peel style=PressureCampaignSweepLang seed=3046462 fill=390/392(0.995) chains=51 remaining=2 rejectedShort=0 failedPeels=1"
"1","campaign500_psg_next10_02_sgp_pressure_hard_campaign500_language_b_l031_sweep","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/ProductionNext10/campaign500_psg_next10_02_sgp_pressure_hard_campaign500_language_b_l031_sweep.asset","Campaign500PSGNormalProductionNext10","31","language_b","sweep","1.000","51","3","Style=PressureCampaignSweepLang | Score=-7411 | TargetInitial=4 | OpeningRatio=0.059 | EarlyChoices=27.5/42 | LocalRun=6 | Jump=6.5 | NearRate=0.61 | Peel style=PressureCampaignSweepLang seed=7560109 fill=392/392(1.000) chains=51 remaining=0 rejectedShort=0 failedPeels=0"
"1","campaign500_psg_next10_03_sgp_pressure_hard_campaign500_language_c_l031_sweep","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/ProductionNext10/campaign500_psg_next10_03_sgp_pressure_hard_campaign500_language_c_l031_sweep.asset","Campaign500PSGNormalProductionNext10","31","language_c","sweep","0.987","48","3","Style=PressureCampaignSweepLang | Score=-7457 | TargetInitial=3 | OpeningRatio=0.063 | EarlyChoices=25.0/52 | LocalRun=6 | Jump=7.2 | NearRate=0.65 | Peel style=PressureCampaignSweepLang seed=12492734 fill=387/392(0.987) chains=48 remaining=5 rejectedShort=0 failedPeels=1"
"1","campaign500_psg_next10_04_sgp_pressure_hard_campaign500_pure_relaxed_l031_sweep","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/ProductionNext10/campaign500_psg_next10_04_sgp_pressure_hard_campaign500_pure_relaxed_l031_sweep.asset","Campaign500PSGNormalProductionNext10","31","pure_relaxed","sweep","0.962","54","3","Style=PressureCampaignRelaxed | Score=-3927 | TargetInitial=4 | OpeningRatio=0.074 | EarlyChoices=23.9/38 | LocalRun=6 | Jump=6.1 | NearRate=0.55 | Peel style=PressureCampaignRelaxed seed=27059445 fill=377/392(0.962) chains=54 remaining=15 rejectedShort=0 failedPeels=1 | FlipGate=ops=1 initial=4->3 edgeHeads=6->5 earlyChoices=23.1/37 localRun=6 jump=5.9 near=0.55 targetInitial=3"
"1","campaign500_psg_next10_05_sgp_pressure_hard_campaign500_layout_soft_l031_sweep","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/ProductionNext10/campaign500_psg_next10_05_sgp_pressure_hard_campaign500_layout_soft_l031_sweep.asset","Campaign500PSGNormalProductionNext10","31","layout_soft","sweep","0.985","63","2","Style=PressureCampaignMedium | Score=5402 | TargetInitial=5 | OpeningRatio=0.032 | EarlyChoices=25.4/39 | LocalRun=5 | Jump=6.8 | NearRate=0.58 | Peel style=PressureCampaignMedium seed=21412909 fill=468/475(0.985) chains=63 remaining=7 rejectedShort=0 failedPeels=1"
"1","campaign500_psg_next10_06_sgp_pressure_hard_campaign500_language_a_l033_dense","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/ProductionNext10/campaign500_psg_next10_06_sgp_pressure_hard_campaign500_language_a_l033_dense.asset","Campaign500PSGNormalProductionNext10","33","language_a","dense","0.974","99","4","Style=PressureCampaignDenseLang | Score=12881 | TargetInitial=6 | OpeningRatio=0.061 | EarlyChoices=18.5/41 | LocalRun=7 | Jump=6.5 | NearRate=0.65 | Peel style=PressureCampaignDenseLang seed=5920311 fill=611/627(0.974) chains=99 remaining=16 rejectedShort=0 failedPeels=1 | FlipGate=ops=2 initial=6->4 edgeHeads=10->8 earlyChoices=18.2/37 localRun=9 jump=6.0 near=0.71 targetInitial=4"
"1","campaign500_psg_next10_07_sgp_pressure_hard_campaign500_language_b_l033_dense","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/ProductionNext10/campaign500_psg_next10_07_sgp_pressure_hard_campaign500_language_b_l033_dense.asset","Campaign500PSGNormalProductionNext10","33","language_b","dense","0.974","103","3","Style=PressureCampaignDenseLang | Score=6401 | TargetInitial=6 | OpeningRatio=0.029 | EarlyChoices=22.7/39 | LocalRun=9 | Jump=4.4 | NearRate=0.77 | Peel style=PressureCampaignDenseLang seed=38920254 fill=611/627(0.974) chains=103 remaining=16 rejectedShort=0 failedPeels=1"
"1","campaign500_psg_next10_08_sgp_pressure_hard_campaign500_language_c_l033_dense","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/ProductionNext10/campaign500_psg_next10_08_sgp_pressure_hard_campaign500_language_c_l033_dense.asset","Campaign500PSGNormalProductionNext10","33","language_c","dense","0.986","109","3","Style=PressureCampaignDenseLang | Score=832 | TargetInitial=7 | OpeningRatio=0.028 | EarlyChoices=21.4/32 | LocalRun=10 | Jump=5.7 | NearRate=0.74 | Peel style=PressureCampaignDenseLang seed=11177443 fill=618/627(0.986) chains=109 remaining=9 rejectedShort=0 failedPeels=1"
"1","campaign500_psg_next10_09_sgp_pressure_hard_campaign500_pure_relaxed_l033_dense","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/ProductionNext10/campaign500_psg_next10_09_sgp_pressure_hard_campaign500_pure_relaxed_l033_dense.asset","Campaign500PSGNormalProductionNext10","33","pure_relaxed","dense","0.984","76","2","Style=PressureCampaignRelaxed | Score=10930 | TargetInitial=5 | OpeningRatio=0.026 | EarlyChoices=26.7/49 | LocalRun=5 | Jump=6.8 | NearRate=0.61 | Peel style=PressureCampaignRelaxed seed=19879142 fill=617/627(0.984) chains=76 remaining=10 rejectedShort=0 failedPeels=1"
"1","campaign500_psg_next10_10_sgp_pressure_hard_campaign500_layout_soft_l033_dense","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/ProductionNext10/campaign500_psg_next10_10_sgp_pressure_hard_campaign500_layout_soft_l033_dense.asset","Campaign500PSGNormalProductionNext10","33","layout_soft","dense","0.975","107","4","Style=PressureCampaignCompact | Score=20047 | TargetInitial=7 | OpeningRatio=0.047 | EarlyChoices=22.0/54 | LocalRun=6 | Jump=8.1 | NearRate=0.55 | Peel style=PressureCampaignCompact seed=24973650 fill=702/720(0.975) chains=107 remaining=18 rejectedShort=0 failedPeels=1 | FlipGate=ops=1 initial=5->4 edgeHeads=13->12 earlyChoices=20.1/48 localRun=7 jump=6.7 near=0.61 targetInitial=4"
"1","campaign500_psg_next10_11_sgp_pressure_hard_campaign500_language_a_l034_lock","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/ProductionNext10/campaign500_psg_next10_11_sgp_pressure_hard_campaign500_language_a_l034_lock.asset","Campaign500PSGNormalProductionNext10","34","language_a","lock","0.977","91","2","Style=PressureCampaignLockLang | Score=34360 | TargetInitial=5 | OpeningRatio=0.022 | EarlyChoices=24.9/36 | LocalRun=9 | Jump=6.0 | NearRate=0.71 | Peel style=PressureCampaignLockLang seed=13716280 fill=723/740(0.977) chains=91 remaining=17 rejectedShort=0 failedPeels=1"
"1","campaign500_psg_next10_12_sgp_pressure_hard_campaign500_language_b_l034_lock","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/ProductionNext10/campaign500_psg_next10_12_sgp_pressure_hard_campaign500_language_b_l034_lock.asset","Campaign500PSGNormalProductionNext10","34","language_b","lock","0.988","91","4","Style=PressureCampaignLockLang | Score=30863 | TargetInitial=5 | OpeningRatio=0.055 | EarlyChoices=24.0/44 | LocalRun=9 | Jump=9.2 | NearRate=0.48 | Peel style=PressureCampaignLockLang seed=22000183 fill=731/740(0.988) chains=91 remaining=9 rejectedShort=0 failedPeels=1 | FlipGate=ops=1 initial=5->4 edgeHeads=9->8 earlyChoices=22.2/40 localRun=9 jump=8.9 near=0.52 targetInitial=4"
"1","campaign500_psg_next10_13_sgp_pressure_hard_campaign500_pure_relaxed_l034_lock","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/ProductionNext10/campaign500_psg_next10_13_sgp_pressure_hard_campaign500_pure_relaxed_l034_lock.asset","Campaign500PSGNormalProductionNext10","34","pure_relaxed","lock","0.984","90","2","Style=PressureCampaignRelaxed | Score=28787 | TargetInitial=6 | OpeningRatio=0.022 | EarlyChoices=24.4/43 | LocalRun=4 | Jump=8.7 | NearRate=0.68 | Peel style=PressureCampaignRelaxed seed=15203100 fill=728/740(0.984) chains=90 remaining=12 rejectedShort=0 failedPeels=1"
"1","campaign500_psg_next10_14_sgp_pressure_hard_campaign500_layout_soft_l034_lock","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/ProductionNext10/campaign500_psg_next10_14_sgp_pressure_hard_campaign500_layout_soft_l034_lock.asset","Campaign500PSGNormalProductionNext10","34","layout_soft","lock","0.980","111","4","Style=PressureCampaignMedium | Score=35461 | TargetInitial=8 | OpeningRatio=0.036 | EarlyChoices=26.1/44 | LocalRun=7 | Jump=10.4 | NearRate=0.65 | Peel style=PressureCampaignMedium seed=8509280 fill=833/850(0.980) chains=111 remaining=17 rejectedShort=0 failedPeels=1"
"1","campaign500_psg_next10_15_sgp_pressure_hard_campaign500_language_a_l035_dense","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/ProductionNext10/campaign500_psg_next10_15_sgp_pressure_hard_campaign500_language_a_l035_dense.asset","Campaign500PSGNormalProductionNext10","35","language_a","dense","0.970","77","4","Style=PressureCampaignDenseLang | Score=-5267 | TargetInitial=5 | OpeningRatio=0.065 | EarlyChoices=22.4/36 | LocalRun=9 | Jump=5.1 | NearRate=0.68 | Peel style=PressureCampaignDenseLang seed=43810150 fill=478/493(0.970) chains=77 remaining=15 rejectedShort=0 failedPeels=1 | FlipGate=ops=2 initial=5->4 edgeHeads=13->11 earlyChoices=22.2/37 localRun=8 jump=6.2 near=0.71 targetInitial=3"
"1","campaign500_psg_next10_16_sgp_pressure_hard_campaign500_language_b_l035_dense","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/ProductionNext10/campaign500_psg_next10_16_sgp_pressure_hard_campaign500_language_b_l035_dense.asset","Campaign500PSGNormalProductionNext10","35","language_b","dense","0.982","83","3","Style=PressureCampaignDenseLang | Score=195 | TargetInitial=5 | OpeningRatio=0.036 | EarlyChoices=23.1/36 | LocalRun=5 | Jump=5.9 | NearRate=0.65 | Peel style=PressureCampaignDenseLang seed=15019991 fill=484/493(0.982) chains=83 remaining=9 rejectedShort=0 failedPeels=1"
"1","campaign500_psg_next10_17_sgp_pressure_hard_campaign500_language_c_l035_dense","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/ProductionNext10/campaign500_psg_next10_17_sgp_pressure_hard_campaign500_language_c_l035_dense.asset","Campaign500PSGNormalProductionNext10","35","language_c","dense","0.990","81","4","Style=PressureCampaignDenseLang | Score=1594 | TargetInitial=5 | OpeningRatio=0.049 | EarlyChoices=24.3/39 | LocalRun=7 | Jump=5.8 | NearRate=0.61 | Peel style=PressureCampaignDenseLang seed=37232925 fill=488/493(0.990) chains=81 remaining=5 rejectedShort=0 failedPeels=1 | FlipGate=ops=2 initial=4->4 edgeHeads=7->7 earlyChoices=20.1/35 localRun=7 jump=5.9 near=0.61 targetInitial=3"
