"order","sourceKind","sourceFile","score","levelId","path","source","section10","productionLane","productionChainLanguage","productionDifficultyBand","solved","sourceCoverage","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","solveSameAxisRunMax","solveSameDirHeadRunMax"
"3","strict152","","2.684","campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain.asset","relocated_from_order_11","1","FlowCurve","curve_chain","NormalFlow","True","0.988","9","5","5","0.919","0.113","5","5"
"5","strict152","","2.683","campaign500_normal_full_v1_s01_s13_06_nutation_mixed_neutral_v1_rect_s01_o005_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_06_nutation_mixed_neutral_v1_rect_s01_o005_v02_neutralmixed_mixed_chain.asset","relocated_from_order_5","1","NeutralMixed","mixed_chain","NormalNeutral","True","0.981","10","6","2","0.889","0.137","6","6"
"8","strict152","","2.669","c5nep_w4pl_04_nutation_peel_rect_s01_o008_v03_peellight_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w4pl/c5nep_w4pl_04_nutation_peel_rect_s01_o008_v03_peellight_curve_chain.asset","Campaign500NormalFullV1:w4pl","1","PeelMid","curve_chain","Hard","True","0.986","10","5","5","0.912","0.095","7","4"
"10","strict152","","2.672","c5nep_w11a_01_nutation_strict_mixed_hard_v1_rect_s01_o010_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_01_nutation_strict_mixed_hard_v1_rect_s01_o010_v00_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1:w11a","1","PeelHard","rail_chain","Peak","True","0.986","10","4","4","0.835","0.224","8","5"
"11","strict152","","2.86","campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain.asset","relocated_from_order_11","2","FlowRail","rail_chain","NormalFlow","True","0.988","7","3","3","0.809","0.051","3","2"
"16","strict152","","2.726","c5nep_w4pl_06_nutation_peel_rect_s02_o016_v01_peellight_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w4pl/c5nep_w4pl_06_nutation_peel_rect_s02_o016_v01_peellight_curve_chain.asset","Campaign500NormalFullV1:w4pl","2","PeelMid","rail_chain","Hard","True","0.974","8","6","5","0.848","0.085","4","4"
"19","strict152","","2.698","c5nep_w11b_04_nutation_strict_mixed_hard_v1_rect_s02_o019_v03_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_04_nutation_strict_mixed_hard_v1_rect_s02_o019_v03_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1:w11b","2","PeelHard","rail_chain","Peak","True","0.979","9","5","5","0.894","0.129","5","5"
"20","strict152","","2.736","campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain.asset","relocated_from_order_20","2","NeutralMixed","mixed_chain","NormalNeutral","True","0.976","8","5","5","0.851","0.14","5","5"
"21","strict152","","2.718","campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain.asset","relocated_from_order_21","3","NeutralMixed","mixed_chain","NormalNeutral","True","0.993","8","6","3","0.857","0.209","8","6"
"22","strict152","","2.781","campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain.asset","relocated_from_order_62","3","FlowPatch","patch_chain","NormalFlow","True","0.994","8","4","4","0.828","0.16","5","5"
"25","lowchoice","c5hole_lowchoice_v1_h01r_order25_strict_audit_strict_best_per_order.csv","7461.7","c5hole_lowchoice_v1_h01r_08_nutation_strict_mixed_hard_v1_rect_s03_o025_v01_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_08_nutation_strict_mixed_hard_v1_rect_s03_o025_v01_strictmixedhard_strict_hard_chain_hf1.asset","c5hole_lowchoice_v1_h01r_order25_trace_joined.csv","3","","","","True","0.982","10","5","5","0.931","0.117","6","5"
"29","strict152","","2.733","c5nep_w9smp_02_nutation_strict_mixed_peak_v1_rect_s03_o029_v01_strictmixedpeak_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smp/c5nep_w9smp_02_nutation_strict_mixed_peak_v1_rect_s03_o029_v01_strictmixedpeak_mixed_chain.asset","Campaign500NormalFullV1:w9smp","3","PeelHard","rail_chain","Peak","True","0.989","10","3","3","0.886","0.188","7","7"
