"section","normal","normalOrRecovery","hard","veryHard","extreme","hardPlus","specialPlus"
"1","6","5","1","0","0","1","0"
"2","8","7","0","1","0","1","1"
"3","7","5","1","0","1","2","1"
"4","7","4","2","1","0","3","1"
"5","7","3","2","1","1","4","2"
"6","7","4","1","2","0","3","2"
"7","7","3","2","1","1","4","2"
"8","7","5","0","2","0","2","2"
"9","7","2","3","1","1","5","2"
"10","7","3","2","1","1","4","2"
"11","7","3","2","2","0","4","2"
"12","7","4","1","2","0","3","2"
"13","7","5","0","2","0","2","2"
"14","7","4","2","0","1","3","1"
"15","7","4","1","1","1","3","2"
"16","7","3","2","2","0","4","2"
"17","7","4","1","2","0","3","2"
"18","7","4","1","2","0","3","2"
"19","7","5","1","1","0","2","1"
"20","7","6","0","0","1","1","1"
"21","7","4","2","0","1","3","1"
"22","7","4","1","1","1","3","2"
"23","7","3","3","0","1","4","1"
"24","7","4","1","1","1","3","2"
"25","7","5","0","2","0","2","2"
"26","7","5","0","1","1","2","2"
"27","7","5","0","1","1","2","2"
"28","7","5","0","1","1","2","2"
"29","7","4","1","1","1","3","2"
"30","7","5","0","1","1","2","2"
"31","7","5","0","1","1","2","2"
"32","7","5","0","1","1","2","2"
"33","7","4","0","2","1","3","3"
"34","7","4","1","1","1","3","2"
"35","7","3","1","2","1","4","3"
"36","7","4","0","2","1","3","3"
"37","7","5","0","2","0","2","2"
"38","7","5","1","0","1","2","1"
"39","7","4","0","2","1","3","3"
"40","7","5","0","1","1","2","2"
"41","7","3","2","1","1","4","2"
"42","7","4","0","2","1","3","3"
"43","7","5","0","1","1","2","2"
"44","7","5","1","0","1","2","1"
"45","7","3","1","2","1","4","3"
"46","7","4","1","1","1","3","2"
"47","7","5","1","1","0","2","1"
"48","7","4","1","1","1","3","2"
"49","7","6","0","1","0","1","1"
"50","7","6","0","1","0","1","1"
