"order","section","difficulty","category","width","height","aspect","chains","minChains","maxChains","style","role"
"1","1","1","normal","10","7","1.429","6","6","6","tutorial","Normal"
"3","1","1","normal","9","14","0.643","19","16","22","normal","Normal"
"5","1","1","normal","16","23","0.696","26","23","29","normal","Normal"
"7","1","1","normal","18","24","0.75","39","36","42","lock","Normal"
"8","1","1","normal","16","22","0.727","46","42","50","normal","Normal"
"10","1","2","normal","14","27","0.519","60","55","65","lock","Normal"
"11","2","1","normal","12","18","0.667","31","28","34","normal","Normal"
"12","2","1","normal","17","24","0.708","50","46","54","normal","Normal"
"14","2","1","normal","15","21","0.714","42","39","45","normal","Normal"
"15","2","1","normal","14","26","0.538","53","49","57","section","Normal"
"16","2","1","normal","15","29","0.517","54","50","58","lock","Normal"
"18","2","1","normal","18","25","0.72","53","49","57","normal","Normal"
"19","2","3","normal","19","37","0.514","94","86","102","lock","Normal"
"20","2","1","normal","15","22","0.682","41","38","44","shell","Normal"
"21","3","1","normal","17","24","0.708","59","53","65","sweep","FixedFront40"
"22","3","1","normal","16","24","0.667","55","49","61","section","FixedFront40"
"24","3","1","normal","18","37","0.486","82","74","90","section","FixedFront40"
"25","3","2","normal","21","35","0.6","98","88","108","lock","FixedFront40"
"28","3","1","normal","17","29","0.586","63","57","69","maze","FixedFront40"
"29","3","4","normal","22","35","0.629","98","88","108","dense","FixedFront40"
"30","3","1","normal","20","32","0.625","92","83","101","lock","FixedFront40"
"31","4","1","normal","14","28","0.5","61","55","67","sweep","FixedFront40"
"33","4","1","normal","19","33","0.576","78","70","86","dense","FixedFront40"
"34","4","2","normal","20","37","0.541","93","84","102","lock","FixedFront40"
"35","4","1","normal","17","29","0.586","65","59","71","dense","FixedFront40"
"36","4","1","normal","19","33","0.576","83","75","91","lock","FixedFront40"
"39","4","3","normal","22","35","0.629","101","91","111","lock","FixedFront40"
"40","4","2","normal","22","33","0.667","103","93","113","lock","FixedFront40"
"41","5","1","normal","14","28","0.5","62","56","68","dense","Recovery"
"42","5","2","normal","19","33","0.576","80","72","88","dense","Normal"
"44","5","2","normal","20","32","0.625","86","77","95","section","Pressure"
"45","5","1","normal","19","32","0.594","74","67","81","lock","Recovery"
"47","5","4","normal","24","40","0.6","117","105","129","lock","Peak"
"49","5","3","normal","20","34","0.588","89","80","98","section","Pressure"
"50","5","1","normal","18","30","0.6","67","60","74","sweep","Recovery"
"51","6","1","normal","18","34","0.529","85","77","93","maze","Recovery"
"52","6","2","normal","22","31","0.71","87","78","96","lock","Pressure"
"55","6","1","normal","20","35","0.571","94","85","103","section","Normal"
"56","6","3","normal","22","34","0.647","96","86","106","dense","Pressure"
"57","6","1","normal","18","34","0.529","84","76","92","section","Normal"
"59","6","3","normal","18","38","0.474","89","80","98","lock","Peak"
"60","6","1","normal","16","24","0.667","59","53","65","section","Recovery"
"62","7","1","normal","17","24","0.708","63","57","69","dense","Normal"
"64","7","1","normal","20","28","0.714","66","59","73","maze","Normal"
"65","7","4","normal","22","37","0.595","104","94","114","lock","Pressure"
"66","7","2","normal","18","37","0.486","89","80","98","sweep","Recovery"
"68","7","1","normal","15","25","0.6","59","53","65","lock","Normal"
"69","7","3","normal","22","35","0.629","100","90","110","section","Pressure"
"70","7","2","normal","21","36","0.583","103","93","113","section","Normal"
"72","8","3","normal","21","39","0.538","104","94","114","lock","Pressure"
"74","8","1","normal","18","36","0.5","87","78","96","section","Normal"
"75","8","1","normal","20","38","0.526","103","93","113","sweep","Recovery"
"76","8","3","normal","21","34","0.618","94","85","103","section","Peak"
"77","8","1","normal","18","29","0.621","48","43","53","lock","Normal"
"79","8","1","normal","19","27","0.704","58","52","64","maze","Recovery"
"80","8","1","normal","22","32","0.688","89","80","98","section","Normal"
"81","9","1","normal","16","24","0.667","46","41","51","sweep","Recovery"
"84","9","2","normal","21","32","0.656","88","79","97","lock","Pressure"
"85","9","2","normal","20","36","0.556","92","83","101","maze","Recovery"
"86","9","1","normal","16","28","0.571","55","49","61","dense","Normal"
"88","9","3","normal","20","38","0.526","101","91","111","section","Pressure"
"89","9","4","normal","21","34","0.618","100","90","110","lock","Peak"
"90","9","2","normal","22","34","0.647","98","88","108","section","Normal"
"92","10","1","normal","16","25","0.64","48","43","53","lock","Normal"
"94","10","3","normal","21","39","0.538","107","96","118","section","Pressure"
"95","10","1","normal","15","27","0.556","61","55","67","dense","Normal"
"96","10","4","normal","23","37","0.622","110","99","121","section","Peak"
"97","10","2","normal","21","38","0.553","102","92","112","sweep","Recovery"
"99","10","2","normal","22","34","0.647","101","91","111","section","Normal"
"100","10","1","normal","16","24","0.667","49","44","54","lock","Normal"
"102","11","1","normal","15","26","0.577","57","51","63","dense","Normal"
"104","11","2","normal","21","36","0.583","102","92","112","lock","Pressure"
"105","11","2","normal","23","40","0.575","117","105","129","maze","Recovery"
"106","11","1","normal","18","36","0.5","86","77","95","section","Normal"
"107","11","3","normal","21","36","0.583","105","95","115","lock","Peak"
"109","11","3","normal","23","37","0.622","108","97","119","section","Pressure"
"110","11","1","normal","21","37","0.568","104","94","114","section","Recovery"
"111","12","1","normal","20","35","0.571","89","80","98","dense","Recovery"
"112","12","3","normal","22","38","0.579","108","97","119","lock","Pressure"
"114","12","1","normal","18","37","0.486","94","85","103","maze","Recovery"
"115","12","1","normal","18","33","0.545","74","67","81","section","Normal"
"116","12","2","normal","20","34","0.588","89","80","98","lock","Pressure"
"119","12","3","normal","21","36","0.583","102","92","112","section","Peak"
"120","12","1","normal","22","38","0.579","106","95","117","sweep","Recovery"
"121","13","1","normal","17","24","0.708","51","46","56","maze","Recovery"
"122","13","1","normal","20","32","0.625","89","80","98","dense","Normal"
"124","13","1","normal","21","36","0.583","96","86","106","section","Normal"
"125","13","3","normal","21","34","0.618","93","84","102","lock","Pressure"
"128","13","1","normal","19","34","0.559","80","72","88","lock","Normal"
"129","13","3","normal","22","35","0.629","102","92","112","section","Pressure"
"130","13","1","normal","22","31","0.71","96","86","106","section","Normal"
"131","14","1","normal","18","31","0.581","81","73","89","dense","Normal"
"132","14","2","normal","19","32","0.594","86","77","95","lock","Pressure"
"134","14","1","normal","14","29","0.483","56","50","62","maze","Normal"
"136","14","4","normal","23","36","0.639","113","102","124","section","Peak"
"137","14","1","normal","21","31","0.677","80","72","88","lock","Normal"
"139","14","1","normal","20","39","0.513","101","91","111","section","Recovery"
"140","14","2","normal","23","34","0.676","102","92","112","section","Normal"
"141","15","1","normal","23","39","0.59","114","103","125","sweep","Recovery"
"144","15","3","normal","22","40","0.55","113","102","124","lock","Pressure"
"145","15","1","normal","21","34","0.618","95","85","105","maze","Recovery"
"146","15","1","normal","22","31","0.71","95","85","105","dense","Normal"
"148","15","2","normal","23","37","0.622","111","100","122","section","Pressure"
"149","15","4","normal","22","39","0.564","114","103","125","lock","Peak"
"150","15","1","normal","20","37","0.541","104","94","114","section","Normal"
"152","16","2","normal","21","39","0.538","106","95","117","lock","Normal"
"154","16","3","normal","23","38","0.605","113","102","124","section","Pressure"
"155","16","1","normal","18","35","0.514","84","76","92","dense","Normal"
"156","16","3","normal","26","29","0.897","94","85","103","section","Peak"
"157","16","1","normal","20","33","0.606","84","76","92","sweep","Recovery"
"159","16","2","normal","21","37","0.568","100","90","110","section","Normal"
"160","16","1","normal","21","31","0.677","76","68","84","lock","Normal"
"161","17","1","normal","17","30","0.567","53","48","58","sweep","Recovery"
"162","17","1","normal","19","38","0.5","95","85","105","dense","Normal"
"164","17","3","normal","23","38","0.605","114","103","125","lock","Pressure"
"165","17","1","normal","19","35","0.543","86","77","95","maze","Recovery"
"166","17","2","normal","20","38","0.526","119","107","131","section","Normal"
"169","17","3","normal","25","40","0.625","124","112","136","lock","Pressure"
"170","17","1","normal","22","37","0.595","104","94","114","section","Recovery"
"171","18","1","normal","22","38","0.579","108","97","119","dense","Recovery"
"172","18","2","normal","23","34","0.676","106","95","117","section","Pressure"
"174","18","1","normal","19","36","0.528","95","85","105","maze","Recovery"
"175","18","1","normal","20","33","0.606","92","83","101","section","Normal"
