planId,coverage,newChains,newCells,outerHeads,anchoredHeads,pressure,emptyComponents,smallEmptyComponents,largestEmptyComponent,score
1,0.8162,84,415,1,72,824,41,26,13,-36709.13
2,0.815,83,414,1,72,823,39,25,15,-34750.1
3,0.815,83,414,1,72,823,40,26,14,-35470.1
4,0.815,83,414,1,72,825,41,27,13,-36180.1
5,0.8137,83,413,0,72,826,40,25,15,-34519.37
6,0.8137,83,413,0,72,826,41,26,14,-34549.37
7,0.8137,83,413,1,72,826,39,25,19,-34746.87
8,0.8137,83,413,0,72,828,41,25,13,-34785.37
9,0.8125,82,412,0,72,827,39,24,15,-32928.19
10,0.8125,82,412,0,72,827,40,25,14,-33588.19
