planId,coverage,newChains,newCells,outerHeads,anchoredHeads,pressure,emptyComponents,smallEmptyComponents,largestEmptyComponent,score
1,0.6838,45,231,0,45,369,26,21,34,-22551.4
2,0.6838,45,231,0,45,368,27,22,34,-22916.4
3,0.6826,45,230,0,45,370,27,22,34,-22743.43
4,0.6801,45,228,0,45,373,28,23,34,-22899.16
5,0.6777,44,226,0,44,375,27,21,34,-22112.79
6,0.6765,44,225,0,44,375,27,21,34,-22201.31
7,0.6765,44,225,0,44,374,28,22,34,-22324.65
8,0.6765,44,225,0,44,373,28,22,34,-22324.65
9,0.6765,44,225,0,44,375,28,22,34,-22393.46
10,0.6716,43,221,0,43,377,27,21,34,-21485.49
