planId,coverage,newChains,newCells,outerHeads,anchoredHeads,pressure,emptyComponents,smallEmptyComponents,largestEmptyComponent,score
1,0.8419,69,360,1,61,804,36,26,19,-25675.84
2,0.8407,69,359,1,61,807,35,24,19,-24267.06
3,0.8407,69,359,1,61,804,37,27,19,-26244.28
4,0.8407,69,359,1,61,803,37,27,19,-26717.24
5,0.8395,69,358,1,61,807,36,25,19,-24835.5
6,0.8395,69,358,1,61,806,36,25,19,-25139.79
7,0.8395,68,358,0,61,801,38,28,19,-25252.97
8,0.8395,69,358,1,61,804,37,27,19,-26310.63
9,0.8395,69,358,1,61,803,38,28,19,-27208.41
10,0.8382,68,357,0,61,804,37,26,19,-23892.12
