planId,coverage,newChains,newCells,outerHeads,anchoredHeads,pressure,emptyComponents,smallEmptyComponents,largestEmptyComponent,score
1,0.8578,83,373,1,67,847,27,15,15,-27310.13
2,0.8566,81,372,0,67,844,28,16,15,-25951.28
3,0.8566,82,372,1,67,847,28,16,15,-26847.6
4,0.8566,83,372,0,68,848,28,16,15,-27128.43
5,0.8554,80,371,0,67,844,29,17,15,-25388.38
6,0.8554,82,371,0,68,848,29,17,15,-26755.82
7,0.8554,81,371,0,67,844,30,18,14,-27235.9
8,0.8542,80,370,0,67,844,29,17,15,-25850.07
9,0.8542,80,370,0,67,842,30,18,15,-26568.15
10,0.8542,80,370,0,67,843,30,18,15,-26842.9
