planId,coverage,newChains,newCells,outerHeads,anchoredHeads,pressure,emptyComponents,smallEmptyComponents,largestEmptyComponent,score
1,0.8297,54,350,0,49,752,34,20,21,-15715.76
2,0.8297,54,350,0,49,756,35,21,21,-16201.56
3,0.8284,54,349,0,49,752,35,21,21,-16085.99
4,0.8284,54,349,0,49,750,35,21,21,-16187.49
5,0.8284,54,349,0,49,756,36,22,21,-16541.71
6,0.8284,54,349,0,49,754,36,22,21,-16643.21
7,0.8199,54,342,1,49,755,34,20,21,-16362.01
8,0.8199,54,342,1,49,759,35,21,21,-16978.34
9,0.8186,54,341,1,49,755,35,21,21,-16491.57
10,0.8186,54,341,1,49,753,35,21,21,-16593.07
