planId,coverage,newChains,newCells,outerHeads,anchoredHeads,pressure,emptyComponents,smallEmptyComponents,largestEmptyComponent,score
1,0.8199,50,342,1,46,743,45,32,23,-24842.1
2,0.8199,50,342,1,46,743,45,32,23,-24842.1
3,0.8186,49,341,0,46,743,46,33,23,-23954.12
4,0.8186,49,341,0,46,743,46,33,23,-23954.12
5,0.8186,50,341,1,46,744,45,32,23,-24847.18
6,0.8186,50,341,1,46,744,45,32,23,-24847.18
7,0.8186,50,341,1,46,741,46,33,23,-25193.31
8,0.8186,50,341,1,46,741,46,33,23,-25193.31
9,0.8186,50,341,1,46,742,46,33,23,-26687.51
10,0.8186,50,341,1,46,742,46,33,23,-26687.51
