planId,coverage,newChains,newCells,outerHeads,anchoredHeads,pressure,emptyComponents,smallEmptyComponents,largestEmptyComponent,score
1,0.7426,61,279,1,48,344,25,22,14,-33318.01
2,0.7426,61,279,1,48,343,25,22,14,-33323.01
3,0.7426,61,279,1,48,346,26,23,14,-33415.72
4,0.7426,61,279,1,48,346,26,23,14,-33415.72
5,0.7426,61,279,1,48,345,26,23,14,-33420.72
6,0.7426,61,279,1,48,345,26,23,14,-33420.72
7,0.7414,60,278,1,48,344,26,23,14,-32824.25
8,0.7414,60,278,1,48,343,26,23,14,-32829.25
9,0.7414,60,278,1,48,344,26,23,14,-32849.25
10,0.7414,60,278,1,48,343,26,23,14,-32854.25
