planId,coverage,newChains,newCells,outerHeads,anchoredHeads,pressure,emptyComponents,smallEmptyComponents,largestEmptyComponent,score
1,0.7341,52,272,0,42,350,28,24,13,-28456.09
2,0.7341,52,272,0,42,350,28,24,13,-28461.09
3,0.7328,52,271,0,42,349,29,25,13,-28799.43
4,0.7328,52,271,0,42,348,29,25,13,-28799.43
5,0.7328,52,271,0,42,349,29,25,13,-28804.43
6,0.7328,52,271,0,42,348,29,25,13,-28804.43
7,0.7292,51,268,0,42,351,28,23,13,-27717.13
8,0.7292,51,268,0,42,353,29,24,13,-27740.81
9,0.7292,51,268,0,42,353,29,24,13,-27745.81
10,0.7279,51,267,0,42,353,29,24,13,-27752.21
