planId,coverage,newChains,newCells,outerHeads,anchoredHeads,pressure,emptyComponents,smallEmptyComponents,largestEmptyComponent,score
1,0.7341,52,272,0,42,350,28,24,13,-28426.38
2,0.7341,52,272,0,42,350,28,24,13,-28431.38
3,0.7328,52,271,0,42,349,29,25,13,-28769.72
4,0.7328,52,271,0,42,349,29,25,13,-28774.72
5,0.7292,51,268,0,42,351,28,23,13,-27687.43
6,0.7292,51,268,0,42,353,29,24,13,-27711.1
7,0.7292,51,268,0,42,353,29,24,13,-27716.1
8,0.7279,51,267,0,42,353,29,24,13,-27722.5
9,0.7279,51,267,0,42,353,29,24,13,-27727.5
10,0.7279,51,267,0,42,350,29,24,13,-28000.76
