"metric","label","direction","psgAvg","nutationAvg","delta","nutationBetter"
"sourceCoverage","coverage","higher","0.9882","0.9785","-0.0097","False"
"chains","chains","neutral","59.5","58.5","-1","False"
"sourceOpeners","source openers","lower","2","3.75","1.75","False"
"sourceEdgeHeads","edge heads","lower","5.25","4.75","-0.5","True"
"avgChoices","avg choices","lower","5.1775","4.8025","-0.375","True"
"maxChoices","max choices","lower","9.5","8.25","-1.25","True"
"localPatchRun","local patch run","lower","6.75","6.75","0","False"
"nearOuterRun","near outer run","lower","5","5.25","0.25","False"
"directionalRisk","directional sweep risk","lower","0.2398","0.2855","0.0457","False"
"stripeRisk","stripe visual risk","lower","0.1365","0.0182","-0.1182","True"
"solveTraceQualityScore","solve trace quality","higher","0.839","0.8578","0.0187","True"
"solveTraceCollapseRiskScore","solve collapse risk","lower","0.2302","0.1915","-0.0388","True"
"solveAxisDriftRate","axis drift rate","higher","0.4075","0.45","0.0425","True"
"solveSameAxisRunMax","same axis run","lower","7.75","6.5","-1.25","True"
"solveSameDirHeadRunMax","same dir run","lower","7.5","6.25","-1.25","True"
"solveRegionEntropy","region entropy","higher","0.9905","0.9915","0.001","True"
"solveRegionCollapseRunMax","region collapse run","lower","4","3.75","-0.25","True"
"solveFrontWidthAvg","front width avg","higher","3.626","3.644","0.018","True"
"dependencyLocalSameRegionRate","dependency local same-region","lower","0.4135","0.5008","0.0872","False"
"dependencyBraidScore","dependency braid","higher","0.3205","0.217","-0.1035","False"
