"metric","label","direction","psgAvg","nutationAvg","delta","nutationBetter"
"sourceCoverage","coverage","higher","0.9882","0.9728","-0.0155","False"
"chains","chains","neutral","59.5","58.25","-1.25","False"
"sourceOpeners","source openers","lower","2","5.5","3.5","False"
"sourceEdgeHeads","edge heads","lower","5.25","6.75","1.5","False"
"avgChoices","avg choices","lower","5.1775","6.59","1.4125","False"
"maxChoices","max choices","lower","9.5","9.75","0.25","False"
"localPatchRun","local patch run","lower","6.75","7","0.25","False"
"nearOuterRun","near outer run","lower","5","4.5","-0.5","True"
"directionalRisk","directional sweep risk","lower","0.2398","0.2812","0.0415","False"
"stripeRisk","stripe visual risk","lower","0.1365","0.01","-0.1265","True"
"solveTraceQualityScore","solve trace quality","higher","0.839","0.8368","-0.0023","False"
"solveTraceCollapseRiskScore","solve collapse risk","lower","0.2302","0.231","0.0007","False"
"solveAxisDriftRate","axis drift rate","higher","0.4075","0.4528","0.0452","True"
"solveSameAxisRunMax","same axis run","lower","7.75","9.5","1.75","False"
"solveSameDirHeadRunMax","same dir run","lower","7.5","6.25","-1.25","True"
"solveRegionEntropy","region entropy","higher","0.9905","0.9912","0.0008","True"
"solveRegionCollapseRunMax","region collapse run","lower","4","4.5","0.5","False"
"solveFrontWidthAvg","front width avg","higher","3.626","4.8245","1.1985","True"
"dependencyLocalSameRegionRate","dependency local same-region","lower","0.4135","0.5602","0.1468","False"
"dependencyBraidScore","dependency braid","higher","0.3205","0.284","-0.0365","False"
