"laneId","style","expectedChain","readiness","rows","traceOrderKeepRows","visualKeepRows","processKeepRows","rejectRows","reviewRows","highRiskRows","watchRows","cleanRows","localCollapseRows","avgCoverage","minCoverage","avgChoices","maxChoices","maxLocalPatchRun","maxNearOuterRun","maxDirectionalRisk","maxStripeRisk","avgSolveTraceQuality","avgCollapseRisk","maxSameAxisRun","maxSameDirRun","styleFamilyMix","actualChainMix","flowMix","riskMix","notes"
"NutationFlowCurveV1","Flow","curve_chain","flow_review_ready","4","4","0","0","0","4","0","4","0","0","0.986","0.982","9.378","15","7","4","0.224","0.055","0.884","0.177","9","8","flow_continuous=4","curve_chain=4","flow_spread=2;single_axis_sweep=2","watch=4","Flow is intentionally continuous and may allow Drop-tier review rows."
"NutationFlowPatchV1","Flow","patch_chain","flow_review_ready","4","2","1","0","1","3","2","2","0","1","0.982","0.976","9.205","21","7","5","0.276","0.057","0.787","0.325","17","11","flow_continuous=4","patch_chain=4","local_collapse=1;single_axis_sweep=3","high_risk=2;watch=2","Flow topology rendered with short patch-chain language; review-only."
"NutationFlowRailV1","Flow","rail_chain","flow_review_ready","4","4","0","0","0","4","1","3","0","0","0.993","0.99","6.985","16","6","6","0.289","0.272","0.86","0.247","10","10","flow_continuous=4","rail_chain=4","single_axis_sweep=4","high_risk=1;watch=3","Flow topology rendered with straighter rail-chain language; review-only."
"NutationHubCurveV1","Hub","curve_chain","needs_solve_time_control","3","0","0","2","1","0","3","0","0","3","0.898","0.89","5.303","12","16","16","0.74","0.045","0.752","0.35","22","13","hub_spoke=3","curve_chain=3","local_collapse=3","high_risk=3","Hub topology rendered with medium curve-chain language; not production-approved."
"NutationHubRailV1","Hub","rail_chain","style_proof_only","4","0","0","4","0","0","4","0","0","3","0.903","0.893","4.218","11","12","8","0.52","0.74","0.772","0.35","24","14","hub_spoke=4","rail_chain=4","local_collapse=3;single_axis_sweep=1","high_risk=4","Hub topology rendered with rail-chain language; not production-approved."
"NutationHubSpokeV2","Hub","patch_chain","needs_solve_time_control","3","0","1","1","1","1","3","0","0","3","0.919","0.906","5.163","12","11","10","0.665","0.078","0.716","0.427","10","10","hub_spoke=3","patch_chain=3","local_collapse=3","high_risk=3","Hub anti-collapse scoring probe; not production-approved."
"NutationHubSpokeV3","Hub","patch_chain","style_proof_only","7","0","1","6","0","1","7","0","0","6","0.92","0.906","4.829","11","10","9","0.618","0.048","0.717","0.421","19","19","hub_spoke=7","patch_chain=7","local_collapse=6;single_axis_sweep=1","high_risk=7","Hub expanded anti-collapse candidate pool; not production-approved."
"NutationHubSpokeV4","Hub","patch_chain","style_proof_only","4","0","2","1","1","2","4","0","0","3","0.914","0.908","4.58","12","7","7","0.391","0.095","0.739","0.4","20","16","hub_spoke=4","patch_chain=4","local_collapse=3;single_axis_sweep=1","high_risk=4","Hub anti-axis anti-collapse prototype; not production-approved."
"NutationHubSpokeV5Pool","Hub","patch_chain","strict_probe_ready","24","2","0","7","15","2","24","0","0","24","0.895","0.88","5.095","14","17","15","0.763","0.16","0.714","0.412","22","18","hub_spoke=24","patch_chain=24","local_collapse=24","high_risk=24","Hub V5 candidate-pool proof; trace-order rows exist but still need local/directional cleanup."
"NutationLongChainCurveV1","LongChain","curve_chain","strict_review_ready","4","3","0","0","1","3","1","2","1","0","0.941","0.931","5.917","12","6","6","0.266","0.057","0.885","0.103","6","6","maze_long_chain=4","curve_chain=4","flow_spread=2;staged_unlock=2","clean=1;high_risk=1;watch=2","Long-chain topology rendered with medium/long curve-chain language."
