"laneId","laneStyle","laneChain","laneRole","reviewRole","sourceJoinedCsv","rankClass","styleFamily","chainLanguage","chainLanguageDetail","flowLanguage","styleRiskBand","riskTags","levelId","assetPath","specId","sourceCoverage","chains","sourceAvgChain","sourceMaxChain","sourceStraightness","processTier","avgChoices","maxChoices","localPatchRun","nearOuterRun","directionalRisk","stripeRisk","solveTraceQualityScore","solveTraceCollapseRiskScore","solveSameAxisRunMax","solveSameDirHeadRunMax","dependencyLocalSameRegionRate","psgRankScore","rejectReasons"
"NutationFlowCurveV1","Flow","curve_chain","review","FlowReview","F:\Unityproject\ArrowLevel-Hand\.worktrees\nutation-peel\.codex-run\nutation_flow_curve_v1_smoke1_trace_joined.csv","TraceOrderKeep","flow_continuous","curve_chain","flow_curve_chain","single_axis_sweep","watch","broad_choice_curve;same_axis_watch","nutation_flow_curve_v1_02_nutation_flow_curve_v1_rect_section_flow","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationFlowCurveV1/nutation_flow_curve_v1_02_nutation_flow_curve_v1_rect_section_flow.asset","nutation_flow_curve_v1_rect_section_flow","0.982","66","9.17","19","0.123","Drop","9.44","13","4","2","0.049","0.018","0.918","0.122","9","4","0.544","2.674",""
"NutationFlowPatchV1","Flow","patch_chain","review","FlowReview","F:\Unityproject\ArrowLevel-Hand\.worktrees\nutation-peel\.codex-run\nutation_flow_patch_v1_smoke1_trace_joined.csv","TraceOrderKeep","flow_continuous","patch_chain","flow_patch_chain","single_axis_sweep","watch","choice_peak_watch;broad_choice_curve;collapse_watch;same_axis_watch;same_dir_watch","nutation_flow_patch_v1_01_nutation_flow_patch_v1_rect_sweep_patch","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationFlowPatchV1/nutation_flow_patch_v1_01_nutation_flow_patch_v1_rect_sweep_patch.asset","nutation_flow_patch_v1_rect_sweep_patch","0.988","66","8.38","15","0.164","Drop","8.62","15","4","3","0.102","0","0.797","0.306","10","7","0.446","2.617",""
"NutationFlowRailV1","Flow","rail_chain","review","FlowReview","F:\Unityproject\ArrowLevel-Hand\.worktrees\nutation-peel\.codex-run\nutation_flow_rail_v1_smoke1_trace_joined.csv","TraceOrderKeep","flow_continuous","rail_chain","flow_rail_chain","single_axis_sweep","watch","broad_choice_curve;stripe_watch;same_axis_watch;same_dir_watch;long_low_turn_visual","nutation_flow_rail_v1_02_nutation_flow_rail_v1_rect_section_rail","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationFlowRailV1/nutation_flow_rail_v1_02_nutation_flow_rail_v1_rect_section_rail.asset","nutation_flow_rail_v1_rect_section_rail","0.994","52","11.77","21","0.598","B","6.12","9","5","2","0.097","0.17","0.847","0.226","8","8","0.409","2.71",""
"NutationHubCurveV1","Hub","curve_chain","prototype","StyleProof","F:\Unityproject\ArrowLevel-Hand\.worktrees\nutation-peel\.codex-run\nutation_hub_curve_v1_smoke1_trace_joined.csv","ProcessKeep","hub_spoke","curve_chain","hub_curve_chain","local_collapse","high_risk","directional_sweep;local_patch_run;near_outer_patch;collapse_watch;same_axis_run;same_dir_watch;dependency_local_watch","nutation_hub_curve_v1_03_nutation_hub_curve_v1_rect_core_curve","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubCurveV1/nutation_hub_curve_v1_03_nutation_hub_curve_v1_rect_core_curve.asset","nutation_hub_curve_v1_rect_core_curve","0.89","78","6.85","17","0.262","B","4.46","10","12","8","0.568","0.045","0.787","0.324","11","6","0.6","1.262","sameAxisRun>8;directionalRiskHard>0.513;localPatchRunHard>9"
"NutationHubSpokeV5Pool","Hub","patch_chain","prototype","StrictKeep","F:\Unityproject\ArrowLevel-Hand\.worktrees\nutation-peel\.codex-run\nutation_hub_spoke_v5_pool_smoke1_traceonly_trace_joined.csv","TraceOrderKeep","hub_spoke","patch_chain","hub_spoke_chain","local_collapse","high_risk","directional_sweep;local_patch_run;near_outer_watch;collapse_watch;same_axis_watch;same_dir_watch;region_collapse_run","nutation_hub_spoke_v5_pool_10_nutation_hub_spoke_v5_pool_rect_p03_woven_stage_b","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubSpokeV5Pool/nutation_hub_spoke_v5_pool_10_nutation_hub_spoke_v5_pool_rect_p03_woven_stage_b.asset","nutation_hub_spoke_v5_pool_rect_p03_woven_stage_b","0.903","94","6.55","17","0.033","B","4.34","8","8","5","0.38","0.005","0.786","0.272","7","6","0.484","2.61","directionalRisk>0.34;localPatchRun>6"
"NutationHubRailV1","Hub","rail_chain","prototype","StyleProof","F:\Unityproject\ArrowLevel-Hand\.worktrees\nutation-peel\.codex-run\nutation_hub_rail_v1_smoke2_trace_joined.csv","ProcessKeep","hub_spoke","rail_chain","long_straight_chain","local_collapse","high_risk","stripe_visual;solve_collapse;same_axis_run;same_dir_run;straight_visual;long_low_turn_visual","nutation_hub_rail_v1_02_nutation_hub_rail_v1_rect_dual_rail","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubRailV1/nutation_hub_rail_v1_02_nutation_hub_rail_v1_rect_dual_rail.asset","nutation_hub_rail_v1_rect_dual_rail","0.905","75","7.96","22","0.855","B","4.53","8","6","3","0.199","0.667","0.738","0.423","16","14","0.458","1.319","solveTraceCollapseRisk>0.35;sameAxisRun>8;sameDirRun>7;stripeRiskHard>0.352"
"NutationLongChainCurveV1","LongChain","curve_chain","strict","StrictKeep","F:\Unityproject\ArrowLevel-Hand\.worktrees\nutation-peel\.codex-run\nutation_longchain_curve_v1_smoke1_trace_joined.csv","TraceOrderKeep","maze_long_chain","curve_chain","long_curve_chain","staged_unlock","clean","","nutation_longchain_curve_v1_03_nutation_longchain_curve_v1_rect_weave_curve","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCurveV1/nutation_longchain_curve_v1_03_nutation_longchain_curve_v1_rect_weave_curve.asset","nutation_longchain_curve_v1_rect_weave_curve","0.931","55","11.55","21","0.343","A","5.33","9","3","2","0","0.016","0.842","0.053","3","3","0.435","2.741",""
"NutationLongChainPatchV1","LongChain","patch_chain","strict","StrictKeep","F:\Unityproject\ArrowLevel-Hand\.worktrees\nutation-peel\.codex-run\nutation_longchain_patch_v1_smoke1_trace_joined.csv","TraceOrderKeep","maze_long_chain","patch_chain","long_patch_chain","staged_unlock","watch","stripe_watch;same_axis_watch;same_dir_watch","nutation_longchain_patch_v1_04_nutation_longchain_patch_v1_rect_core_patch","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainPatchV1/nutation_longchain_patch_v1_04_nutation_longchain_patch_v1_rect_core_patch.asset","nutation_longchain_patch_v1_rect_core_patch","0.948","52","11.48","22","0.306","A","4","7","3","2","0","0.153","0.858","0.201","7","7","0.438","2.833",""
"NutationLongChainRailV1","LongChain","rail_chain","strict","StrictKeep","F:\Unityproject\ArrowLevel-Hand\.worktrees\nutation-peel\.codex-run\nutation_longchain_rail_v1_smoke2_trace_joined.csv","TraceOrderKeep","maze_long_chain","rail_chain","long_rail_chain","staged_unlock","watch","stripe_watch","nutation_longchain_rail_v1_04_nutation_longchain_rail_v1_rect_core_rail","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainRailV1/nutation_longchain_rail_v1_04_nutation_longchain_rail_v1_rect_core_rail.asset","nutation_longchain_rail_v1_rect_core_rail","0.938","44","13.43","23","0.408","A","3.3","5","3","3","0.03","0.191","0.878","0.173","5","5","0.475","2.795",""
"NutationLongChainSpineV1","LongChain","spine_chain","strict","StrictKeep","F:\Unityproject\ArrowLevel-Hand\.worktrees\nutation-peel\.codex-run\nutation_longchain_spine_v1_smoke3_trace_joined.csv","TraceOrderKeep","maze_long_chain","spine_chain","long_straight_chain","flow_spread","watch","long_low_turn_visual","nutation_longchain_spine_v1_02_nutation_longchain_spine_v1_rect_maze_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainSpineV1/nutation_longchain_spine_v1_02_nutation_longchain_spine_v1_rect_maze_spine.asset","nutation_longchain_spine_v1_rect_maze_spine","0.948","42","14.9","28","0.611","B","4.86","9","4","4","0.109","0.104","0.897","0.073","5","4","0.405","2.639",""
