chainId,orderForward,color,headX,headY,dir,length,cells
0,22,4,10,2,R,6,10:2;9:2;9:3;9:4;10:4;10:5
1,21,3,11,1,D,6,11:1;11:2;11:3;11:4;11:5;11:6
2,20,2,8,1,L,5,8:1;9:1;9:0;10:0;11:0
3,19,0,2,1,L,6,2:1;3:1;4:1;5:1;6:1;7:1
4,18,2,4,3,U,6,4:3;4:2;3:2;2:2;1:2;1:1
5,17,1,3,6,L,6,3:6;4:6;4:7;4:8;4:9;4:10
6,16,5,1,6,L,6,1:6;2:6;2:5;3:5;4:5;4:4
7,15,1,1,9,U,6,1:9;1:8;1:7;0:7;0:6;0:5
8,14,0,1,13,L,6,1:13;2:13;3:13;3:14;4:14;4:15
9,13,2,2,11,R,6,2:11;1:11;0:11;0:12;0:13;0:14
10,12,4,5,11,R,6,5:11;4:11;3:11;3:12;2:12;1:12
11,11,1,8,11,R,6,8:11;7:11;6:11;6:12;5:12;4:12
12,10,4,10,11,R,6,10:11;9:11;9:10;8:10;8:9;9:9
13,9,2,11,12,U,6,11:12;11:11;11:10;10:10;10:9;11:9
14,8,6,9,14,U,4,9:14;9:13;10:13;11:13
15,7,5,11,15,U,5,11:15;11:14;10:14;10:15;9:15
16,6,0,0,0,D,6,0:0;0:1;0:2;0:3;0:4;1:4
17,5,2,1,10,L,6,1:10;2:10;2:9;2:8;2:7;3:7
18,4,1,7,14,U,5,7:14;7:13;6:13;5:13;4:13
19,3,2,5,15,U,6,5:15;5:14;6:14;6:15;7:15;8:15
20,2,6,0,15,L,6,0:15;1:15;1:14;2:14;2:15;3:15
21,1,2,9,7,R,6,9:7;8:7;8:6;8:5;9:5;9:6
22,0,3,11,7,R,6,11:7;10:7;10:8;9:8;8:8;7:8
