reverseStep,chainId,length,head,dir,blockedOpeners,afterChoices,blockedRays
0,0,6,10:2,R,0,1,0
1,1,6,11:1,D,1,1,1
2,2,5,8:1,L,1,1,1
3,3,6,2:1,L,1,1,1
4,4,6,4:3,U,1,1,2
5,5,6,3:6,L,1,1,1
6,6,6,1:6,L,1,1,2
7,7,6,1:9,U,1,1,2
8,8,6,1:13,L,1,1,2
9,9,6,2:11,R,1,1,2
10,10,6,5:11,R,1,1,3
11,11,6,8:11,R,1,1,3
12,12,6,10:11,R,1,1,3
13,13,6,11:12,U,1,1,4
14,14,4,9:14,U,1,1,1
15,15,5,11:15,U,1,1,2
16,16,6,0:0,D,0,2,2
17,17,6,1:10,L,0,3,1
18,18,5,7:14,U,0,4,1
19,19,6,5:15,U,1,4,1
20,20,6,0:15,L,0,5,1
21,21,6,9:7,R,0,6,0
22,22,6,11:7,R,1,6,1
