seed,chains,occupied,coverage,plannedSolved,plannedInitial,plannedAvg,plannedMax,greedySolved,greedyInitial,greedyAvg,greedyMax,baseChains,baseGreedyInitial,baseGreedyAvg,baseGreedyMax
123028,23,133,0.6927,True,6,2.000,6,True,6,2.087,6,,,,
134127,23,134,0.6979,True,6,2.348,6,True,6,2.957,6,,,,
129082,26,144,0.7500,True,7,2.731,7,True,7,3.385,7,,,,
135136,26,138,0.7188,True,8,2.923,8,True,8,5.192,8,,,,
132109,20,113,0.5885,True,7,2.450,7,True,7,3.850,7,,,,
136145,27,149,0.7760,True,9,2.963,9,True,9,4.593,9,,,,
133118,23,127,0.6615,True,8,2.957,8,True,8,5.261,8,,,,
125046,26,147,0.7656,True,9,3.269,9,True,9,5.885,9,,,,
120001,27,146,0.7604,True,9,3.333,9,True,9,3.852,9,,,,
127064,23,122,0.6354,True,8,2.913,8,True,8,3.870,8,,,,
126055,26,142,0.7396,True,9,3.654,9,True,9,5.308,9,,,,
124037,21,117,0.6094,True,8,3.190,8,True,8,4.905,8,,,,
137154,27,152,0.7917,True,10,4.074,10,True,10,6.963,10,,,,
122019,24,126,0.6562,True,9,3.417,9,True,9,5.875,9,,,,
121010,25,140,0.7292,True,10,4.240,10,True,10,7.000,10,,,,
131100,31,157,0.8177,True,11,4.355,11,True,11,5.581,11,,,,
139172,28,151,0.7865,True,11,4.857,11,True,11,6.500,11,,,,
128073,31,157,0.8177,True,12,4.871,12,True,12,7.968,12,,,,
130091,31,149,0.7760,True,12,3.742,12,True,12,5.065,12,,,,
138163,28,139,0.7240,True,13,4.929,13,True,13,7.679,13,,,,
