step,choices,basins
0,3,B0:1;B1:1;B2:1
1,3,B0:1;B1:1;B2:1
2,3,B0:1;B1:1;B2:1
3,3,B0:1;B1:1;B2:1
4,3,B0:1;B1:1;B2:1
5,3,B0:1;B1:1;B2:1
6,2,B1:1;B2:1
7,2,B1:1;B2:1
8,2,B1:1;B2:1
9,2,B1:1;B2:1
10,2,B1:1;B2:1
11,2,B1:1;B2:1
12,2,B1:1;B2:1
13,1,B2:1
14,1,B2:1
15,1,B2:1
16,1,B2:1
17,1,B2:1
18,1,B2:1
19,1,B2:1
20,1,B2:1
21,1,B2:1
22,2,B1:1;B2:1
23,3,B0:1;B1:1;B2:1
24,3,B0:1;B1:1;B2:1
25,3,B0:1;B1:1;B2:1
26,3,B0:1;B1:1;B2:1
27,3,B0:1;B1:1;B2:1
28,3,B0:1;B1:1;B2:1
29,2,B1:1;B2:1
30,2,B1:1;B2:1
31,2,B1:1;B2:1
32,2,B1:1;B2:1
33,2,B1:1;B2:1
34,2,B1:1;B2:1
35,2,B1:1;B2:1
36,2,B1:1;B2:1
37,1,B2:1
38,1,B2:1
39,1,B2:1
40,1,B2:1
41,1,B2:1
42,1,B2:1
43,1,B2:1
44,2,B0:1;B2:1
45,2,B0:1;B2:1
46,2,B0:1;B2:1
47,2,B0:1;B2:1
48,2,B0:1;B2:1
49,2,B0:1;B2:1
50,1,B2:1
51,1,B2:1
