seed,chains,occupied,coverage,plannedSolved,plannedInitial,plannedAvg,plannedMax,greedySolved,greedyInitial,greedyAvg,greedyMax,baseChains,baseGreedyInitial,baseGreedyAvg,baseGreedyMax
94028,49,341,0.4179,True,3,3.694,6,True,3,4.041,6,37,5,4.000,6
100082,49,337,0.4130,True,3,3.755,6,True,3,4.184,6,37,5,4.000,6
96046,49,334,0.4093,True,3,3.673,6,True,3,4.041,6,37,5,4.000,6
95037,49,344,0.4216,True,4,3.755,6,True,4,4.286,7,37,5,4.000,6
99073,49,339,0.4154,True,4,3.694,6,True,4,3.898,6,37,5,4.000,6
92010,49,340,0.4167,True,4,3.776,6,True,4,3.878,7,37,5,4.000,6
98064,49,336,0.4118,True,4,3.796,6,True,4,4.367,7,37,5,4.000,6
101091,49,343,0.4203,True,5,3.898,6,True,5,4.204,7,37,5,4.000,6
93019,49,339,0.4154,True,5,3.878,6,True,5,3.980,6,37,5,4.000,6
102100,49,338,0.4142,True,5,3.878,6,True,5,4.204,6,37,5,4.000,6
97055,49,338,0.4142,True,5,3.918,6,True,5,3.653,6,37,5,4.000,6
91001,49,343,0.4203,True,6,3.918,6,True,6,4.020,8,37,5,4.000,6
