chainId,orderForward,color,headX,headY,dir,length,cells
0,,0,4,4,D,8,4:4;4:5;5:5;5:6;6:6;6:7;5:7;5:8
1,,1,19,28,U,8,19:28;19:27;18:27;18:26;17:26;17:25;18:25;18:24
2,,2,4,17,R,7,4:17;3:17;3:18;2:18;2:19;3:19;3:20
3,,3,18,16,L,7,18:16;19:16;19:15;20:15;20:14;19:14;19:13
4,,4,6,2,U,6,6:2;6:1;7:1;7:2;8:2;8:3
5,,5,13,2,L,6,13:2;14:2;14:3;15:3;15:4;16:4
6,,6,16,8,D,6,16:8;16:9;15:9;15:10;14:10;14:11
7,,7,10,4,R,6,10:4;9:4;9:5;10:5;10:6;11:6
8,,0,17,31,D,6,17:31;17:32;16:32;16:31;15:31;15:30
9,,1,8,31,R,6,8:31;7:31;7:30;6:30;6:29;5:29
10,,2,5,23,U,6,5:23;5:22;4:22;4:23;3:23;3:24
11,,3,11,29,L,6,11:29;12:29;12:28;13:28;13:27;14:27
12,,4,1,20,R,6,1:20;0:20;0:19;1:19;1:18;0:18
13,,5,1,13,U,6,1:13;1:12;2:12;2:11;3:11;3:10
14,,6,8,10,L,6,8:10;9:10;9:11;10:11;10:12;11:12
15,,7,3,7,U,6,3:7;3:6;2:6;2:7;1:7;1:8
16,,0,19,19,D,8,19:19;19:20;20:20;20:21;21:21;21:22;22:22;22:23
17,,1,12,20,R,6,12:20;11:20;11:21;10:21;10:22;9:22
18,,2,9,25,D,6,9:25;9:26;8:26;8:27;7:27;7:26
19,,3,15,22,L,6,15:22;16:22;16:23;15:23;14:23;14:24
20,,4,13,9,D,9,13:9;13:10;13:11;13:12;13:13;13:14;14:14;15:14;16:14
21,,5,22,28,U,11,22:28;22:27;22:26;22:25;22:24;21:24;20:24;19:24;19:23;19:22;19:21
22,,6,22,13,U,9,22:13;22:12;22:11;22:10;22:9;21:9;20:9;20:10;20:11
23,,7,16,26,R,9,16:26;15:26;14:26;13:26;12:26;11:26;11:25;11:24;11:23
24,,0,10,7,L,8,10:7;11:7;12:7;12:8;12:9;12:10;12:11;12:12
25,,1,14,28,D,8,14:28;14:29;14:30;13:30;12:30;11:30;10:30;9:30
26,,2,12,6,L,6,12:6;13:6;14:6;14:7;14:8;14:9
27,,3,10,24,D,8,10:24;10:25;10:26;10:27;10:28;9:28;8:28;7:28
28,,4,12,13,D,6,12:13;12:14;12:15;13:15;14:15;15:15
29,,5,20,8,L,6,20:8;21:8;22:8;22:7;22:6;22:5
30,,6,13,23,D,6,13:23;13:24;13:25;14:25;15:25;16:25
31,,7,1,6,U,6,1:6;1:5;1:4;1:3;2:3;3:3
32,,0,20,3,L,5,20:3;21:3;22:3;22:2;22:1
33,,1,16,10,D,6,16:10;16:11;16:12;16:13;15:13;14:13
34,,2,11,5,L,8,11:5;12:5;13:5;14:5;15:5;15:6;15:7;15:8
35,,3,21,28,U,6,21:28;21:27;21:26;21:25;20:25;19:25
36,,4,22,29,R,6,22:29;21:29;20:29;20:28;20:27;20:26
37,19,2,1,16,L,8,1:16;2:16;3:16;4:16;5:16;6:16;6:17;7:17
38,18,5,3,1,L,8,3:1;4:1;4:2;4:3;5:3;5:4;6:4;6:5
39,17,1,20,30,R,8,20:30;19:30;19:31;19:32;19:33;20:33;21:33;22:33
40,16,6,22,32,R,7,22:32;21:32;21:31;21:30;22:30;23:30;23:29
41,15,0,2,0,D,8,2:0;2:1;1:1;0:1;0:2;0:3;0:4;0:5
42,14,7,0,14,L,8,0:14;1:14;1:15;0:15;0:16;0:17;1:17;2:17
43,13,5,23,33,U,4,23:33;23:32;23:31;22:31
44,12,6,12,1,D,7,12:1;12:2;12:3;13:3;13:4;12:4;11:4
45,11,6,13,0,R,8,13:0;12:0;11:0;11:1;10:1;10:2;9:2;9:3
46,10,6,19,0,R,8,19:0;18:0;17:0;16:0;15:0;14:0;14:1;13:1
47,9,0,21,0,R,8,21:0;20:0;20:1;19:1;18:1;17:1;16:1;16:2
48,8,2,23,0,R,2,23:0;22:0
49,7,3,14,17,R,7,14:17;13:17;13:16;12:16;12:17;11:17;11:16
50,6,7,17,17,R,8,17:17;16:17;15:17;15:18;15:19;14:19;14:20;13:20
51,5,5,20,17,R,8,20:17;19:17;18:17;18:18;17:18;16:18;16:19;16:20
52,4,0,22,17,R,8,22:17;21:17;21:18;22:18;22:19;23:19;23:20;23:21
53,3,1,6,9,L,8,6:9;7:9;8:9;9:9;10:9;10:8;11:8;11:9
54,2,7,1,9,L,8,1:9;2:9;3:9;4:9;5:9;5:10;6:10;6:11
55,1,1,0,11,L,8,0:11;1:11;1:10;0:10;0:9;0:8;0:7;0:6
56,0,3,23,14,R,7,23:14;22:14;22:15;23:15;23:16;23:17;23:18
