reverseStep,chainId,length,head,dir,blockedOpeners,afterChoices,blockedRays
0,37,8,19:17,R,2,4,6
1,38,8,4:2,D,1,4,5
2,39,8,23:28,D,2,3,6
3,40,8,21:17,R,2,2,4
4,41,8,23:17,R,1,2,7
5,42,8,4:0,D,1,2,4
6,43,5,12:2,D,0,3,7
7,44,8,12:0,D,1,3,8
8,45,7,19:2,D,0,4,6
9,46,8,19:0,D,1,4,6
10,47,8,5:27,L,0,5,5
11,48,8,1:27,L,1,5,6
12,49,8,0:28,U,1,5,5
13,50,8,0:30,U,1,5,6
14,51,7,0:32,U,1,5,6
15,52,2,1:33,R,1,5,5
16,53,7,20:32,R,1,5,5
17,54,4,23:31,R,1,5,5
18,55,8,9:9,L,0,6,5
19,56,8,5:9,L,1,6,6
20,57,7,1:9,L,1,6,7
21,58,8,1:16,L,0,7,5
22,59,6,9:1,D,0,8,4
23,60,6,0:14,L,1,8,4
24,61,8,3:21,L,0,9,4
25,62,8,1:21,L,1,9,5
26,63,8,3:33,U,0,10,4
27,64,7,0:11,L,1,10,7
28,65,8,9:32,U,0,11,2
29,66,4,11:1,D,0,12,3
