seed,chains,occupied,coverage,plannedSolved,plannedInitial,plannedAvg,plannedMax,greedySolved,greedyInitial,greedyAvg,greedyMax,baseChains,baseGreedyInitial,baseGreedyAvg,baseGreedyMax
294208,40,265,0.3248,True,3,4.000,6,True,3,3.650,6,37,5,4.000,6
273019,40,265,0.3248,True,4,4.025,6,True,4,3.750,6,37,5,4.000,6
271001,40,266,0.3260,True,5,4.075,6,True,5,3.175,6,37,5,4.000,6
272010,40,266,0.3260,True,5,4.075,6,True,5,3.275,6,37,5,4.000,6
274028,40,266,0.3260,True,5,4.075,6,True,5,3.100,6,37,5,4.000,6
275037,40,266,0.3260,True,5,4.075,6,True,5,3.175,6,37,5,4.000,6
277055,40,266,0.3260,True,5,4.075,6,True,5,3.175,6,37,5,4.000,6
278064,40,266,0.3260,True,5,4.075,6,True,5,3.175,6,37,5,4.000,6
279073,40,266,0.3260,True,5,4.075,6,True,5,3.175,6,37,5,4.000,6
280082,40,266,0.3260,True,5,4.075,6,True,5,3.275,6,37,5,4.000,6
282100,40,266,0.3260,True,5,4.075,6,True,5,3.275,6,37,5,4.000,6
283109,40,266,0.3260,True,5,4.075,6,True,5,3.275,6,37,5,4.000,6
285127,40,266,0.3260,True,5,4.075,6,True,5,3.175,6,37,5,4.000,6
290172,40,266,0.3260,True,5,4.075,6,True,5,3.275,6,37,5,4.000,6
291181,40,266,0.3260,True,5,4.075,6,True,5,3.275,6,37,5,4.000,6
292190,40,266,0.3260,True,5,4.075,6,True,5,3.175,6,37,5,4.000,6
293199,40,266,0.3260,True,5,4.075,6,True,5,3.275,6,37,5,4.000,6
284118,40,265,0.3248,True,5,4.075,6,True,5,3.700,6,37,5,4.000,6
289163,40,265,0.3248,True,5,4.075,6,True,5,3.675,6,37,5,4.000,6
276046,40,264,0.3235,True,5,4.075,6,True,5,3.675,6,37,5,4.000,6
281091,40,264,0.3235,True,5,4.075,6,True,5,3.675,6,37,5,4.000,6
286136,40,264,0.3235,True,5,4.075,6,True,5,3.675,6,37,5,4.000,6
287145,40,264,0.3235,True,5,4.075,6,True,5,3.675,6,37,5,4.000,6
288154,40,264,0.3235,True,5,4.075,6,True,5,3.675,6,37,5,4.000,6
