chainId,orderForward,color,headX,headY,dir,length,cells
0,,0,4,4,D,8,4:4;4:5;5:5;5:6;6:6;6:7;5:7;5:8
1,,1,19,28,U,10,19:28;19:27;18:27;18:26;17:26;17:25;18:25;18:24;18:23;18:22
2,,2,4,17,R,7,4:17;3:17;3:18;2:18;2:19;3:19;3:20
3,,3,18,16,L,13,18:16;19:16;19:15;20:15;20:14;19:14;19:13;20:13;21:13;21:14;21:15;21:16;20:16
4,,4,6,2,U,8,6:2;6:1;7:1;7:2;8:2;8:3;8:4;7:4
5,,5,13,2,L,6,13:2;14:2;14:3;15:3;15:4;16:4
6,,6,16,8,D,8,16:8;16:9;15:9;15:10;14:10;14:11;15:11;15:12
7,,7,10,4,R,6,10:4;9:4;9:5;10:5;10:6;11:6
8,,0,17,31,D,9,17:31;17:32;16:32;16:31;15:31;15:30;15:29;16:29;16:30
9,,1,8,31,R,6,8:31;7:31;7:30;6:30;6:29;5:29
10,,2,5,23,U,9,5:23;5:22;4:22;4:23;3:23;3:24;4:24;4:25;4:26
11,,3,11,29,L,10,11:29;12:29;12:28;13:28;13:27;14:27;15:27;15:28;16:28;16:27
12,,4,1,20,R,6,1:20;0:20;0:19;1:19;1:18;0:18
13,,5,1,13,U,6,1:13;1:12;2:12;2:11;3:11;3:10
14,,6,8,10,L,9,8:10;9:10;9:11;10:11;10:12;11:12;11:11;11:10;11:9
15,,7,3,7,U,6,3:7;3:6;2:6;2:7;1:7;1:8
16,,0,19,19,D,11,19:19;19:20;20:20;20:21;21:21;21:22;22:22;22:23;21:23;20:23;20:22
17,,1,12,20,R,6,12:20;11:20;11:21;10:21;10:22;9:22
18,,2,9,25,D,11,9:25;9:26;8:26;8:27;7:27;7:26;7:25;7:24;8:24;8:23;7:23
19,,3,15,22,L,8,15:22;16:22;16:23;15:23;14:23;14:24;15:24;16:24
20,,4,13,9,D,10,13:9;13:10;13:11;13:12;13:13;13:14;14:14;15:14;16:14;16:15
21,,5,22,28,U,12,22:28;22:27;22:26;22:25;22:24;21:24;20:24;19:24;19:23;19:22;19:21;18:21
22,,6,22,13,U,11,22:13;22:12;22:11;22:10;22:9;21:9;20:9;20:10;20:11;21:11;21:10
23,,7,16,26,R,12,16:26;15:26;14:26;13:26;12:26;11:26;11:25;11:24;11:23;12:23;12:24;12:25
24,,0,10,7,L,8,10:7;11:7;12:7;12:8;12:9;12:10;12:11;12:12
