reverseStep,chainId,length,head,dir,blockedOpeners,afterChoices,blockedRays
0,0,5,10:5,R,0,1,0
1,1,5,10:3,D,1,1,1
2,2,3,10:2,R,1,1,1
3,3,2,11:2,D,1,1,1
4,4,5,10:1,L,1,1,2
5,5,5,7:1,D,1,1,1
6,6,3,6:0,L,1,1,1
7,7,5,3:1,L,1,1,2
8,8,5,1:3,U,1,1,3
9,9,5,2:6,L,1,1,1
10,10,5,0:7,U,1,1,2
11,11,5,1:9,L,1,1,2
12,12,4,1:11,U,1,1,3
13,13,5,2:13,R,1,1,3
14,14,5,5:14,U,1,1,1
15,15,5,5:15,R,1,1,2
16,16,5,11:14,U,1,1,2
17,17,5,3:11,R,0,2,3
18,18,4,9:14,U,1,2,2
19,19,5,5:2,D,0,3,1
20,20,2,5:0,D,1,3,3
21,21,5,7:15,U,1,3,2
22,22,5,7:9,R,0,4,1
23,23,5,9:7,R,1,4,1
24,24,4,11:9,R,1,4,2
25,25,5,9:10,R,0,5,1
26,26,5,11:10,R,1,5,2
27,27,4,1:4,L,0,6,1
28,28,2,6:15,U,0,7,1
29,29,2,2:15,U,0,8,0
