seed,chains,occupied,coverage,plannedSolved,plannedInitial,plannedAvg,plannedMax,greedySolved,greedyInitial,greedyAvg,greedyMax
93019,30,130,0.6771,True,8,2.433,8,True,8,3.467,8
97055,34,151,0.7865,True,9,3.794,9,True,9,5.235,10
91001,30,135,0.7031,True,9,3.600,9,True,9,5.000,9
92010,34,152,0.7917,True,11,4.882,11,True,11,5.882,11
95037,30,134,0.6979,True,11,4.233,11,True,11,6.433,11
101091,29,132,0.6875,True,11,4.207,11,True,11,5.379,11
100082,30,139,0.7240,True,12,3.967,12,True,12,4.300,12
102100,34,149,0.7760,True,13,4.147,13,True,13,4.735,13
98064,29,128,0.6667,True,12,5.069,12,True,12,7.034,12
94028,24,109,0.5677,True,12,4.208,12,True,12,6.000,12
96046,34,151,0.7865,True,14,4.706,14,True,14,6.912,14
99073,32,141,0.7344,True,15,5.656,15,True,15,6.375,15
