chainId,orderForward,color,headX,headY,dir,length,cells
0,33,5,2,3,L,5,2:3;3:3;3:2;2:2;2:1
1,32,3,1,3,D,2,1:3;1:4
2,31,4,1,1,D,2,1:1;1:2
3,30,4,3,0,R,3,3:0;2:0;1:0
4,29,2,11,1,R,5,11:1;10:1;10:0;11:0;12:0
5,28,7,13,0,D,4,13:0;13:1;12:1;12:2
6,27,6,8,1,D,5,8:1;8:2;9:2;9:1;9:0
7,26,6,7,1,U,3,7:1;7:0;8:0
8,25,6,9,7,R,5,9:7;8:7;7:7;7:6;7:5
9,24,4,11,7,R,5,11:7;10:7;10:6;9:6;9:5
10,23,4,11,8,L,4,11:8;12:8;12:7;13:7
11,22,1,3,8,L,5,3:8;4:8;5:8;6:8;7:8
12,21,1,2,8,U,5,2:8;2:7;1:7;1:8;0:8
13,20,2,4,12,U,5,4:12;4:11;3:11;2:11;2:12
14,19,7,4,13,L,5,4:13;5:13;5:12;6:12;6:11
15,18,0,3,14,U,4,3:14;3:13;2:13;1:13
16,17,1,3,16,R,5,3:16;2:16;2:17;3:17;4:17
17,16,0,3,15,L,5,3:15;4:15;4:16;5:16;6:16
18,15,7,1,14,L,4,1:14;2:14;2:15;1:15
19,14,2,0,15,U,5,0:15;0:14;0:13;0:12;1:12
20,13,6,0,16,L,4,0:16;1:16;1:17;0:17
21,12,0,8,15,R,5,8:15;7:15;7:16;8:16;8:17
22,11,7,10,16,U,5,10:16;10:15;11:15;12:15;13:15
23,10,4,12,16,R,5,12:16;11:16;11:17;10:17;9:17
24,9,1,13,17,U,2,13:17;13:16
25,8,1,7,9,L,3,7:9;8:9;8:8
26,7,1,5,9,L,4,5:9;6:9;6:10;7:10
27,6,7,3,9,L,5,3:9;4:9;4:10;3:10;2:10
28,5,6,1,9,L,2,1:9;2:9
29,4,3,0,11,L,5,0:11;1:11;1:10;0:10;0:9
30,3,0,10,10,R,5,10:10;9:10;9:9;10:9;10:8
31,2,7,11,12,R,5,11:12;10:12;10:11;11:11;11:10
32,1,4,13,14,R,5,13:14;12:14;12:13;12:12;13:12
33,0,1,5,2,D,5,5:2;5:3;6:3;6:4;7:4
