chainId,orderForward,color,headX,headY,dir,length,cells
0,29,7,4,2,D,5,4:2;4:3;5:3;5:2;6:2
1,28,7,4,1,R,5,4:1;3:1;3:0;4:0;5:0
2,27,6,10,3,R,5,10:3;9:3;9:2;9:1;10:1
3,26,1,10,4,L,5,10:4;11:4;11:3;11:2;10:2
4,25,0,5,6,L,5,5:6;6:6;6:5;6:4;5:4
5,24,2,1,5,U,5,1:5;1:4;2:4;2:5;2:6
6,23,2,1,7,U,4,1:7;1:6;0:6;0:7
7,22,4,1,10,U,5,1:10;1:9;1:8;2:8;2:9
8,21,0,3,10,R,5,3:10;2:10;2:11;1:11;1:12
9,20,7,6,10,R,5,6:10;5:10;4:10;4:11;5:11
10,19,6,9,13,U,5,9:13;9:12;10:12;10:11;10:10
11,18,4,6,14,L,5,6:14;7:14;7:15;8:15;9:15
12,17,1,3,14,U,5,3:14;3:13;2:13;2:14;1:14
13,16,2,2,15,L,5,2:15;3:15;4:15;4:14;5:14
14,15,2,0,15,L,2,0:15;1:15
15,14,4,9,9,R,5,9:9;8:9;8:10;7:10;7:11
16,13,1,11,10,U,5,11:10;11:9;10:9;10:8;9:8
17,12,5,10,14,U,5,10:14;10:13;11:13;11:14;11:15
18,11,2,0,13,L,2,0:13;1:13
19,10,4,8,3,D,5,8:3;8:4;9:4;9:5;10:5
20,9,0,8,1,D,3,8:1;8:2;7:2
21,8,7,6,0,D,5,6:0;6:1;7:1;7:0;8:0
22,7,6,5,7,R,5,5:7;4:7;4:6;3:6;3:5
23,6,4,8,7,R,5,8:7;7:7;6:7;6:8;5:8
24,5,6,10,6,R,5,10:6;9:6;9:7;10:7;11:7
25,4,0,2,3,L,5,2:3;3:3;3:4;4:4;4:5
26,3,4,1,2,D,5,1:2;1:3;0:3;0:4;0:5
27,2,3,1,1,L,3,1:1;2:1;2:2
28,1,0,0,0,D,3,0:0;0:1;0:2
29,0,1,11,0,D,2,11:0;11:1
