reverseStep,chainId,length,head,dir,blockedOpeners,afterChoices,blockedRays
0,0,5,4:2,D,0,1,0
1,1,5,4:1,R,1,1,1
2,2,5,10:3,R,1,1,1
3,3,5,10:4,L,1,1,1
4,4,5,5:6,L,1,1,1
5,5,5,1:5,U,1,1,2
6,6,4,1:7,U,1,1,2
7,7,5,1:10,U,1,1,2
8,8,5,3:10,R,1,1,3
9,9,5,6:10,R,1,1,1
10,10,5,9:13,U,1,1,2
11,11,5,6:14,L,1,1,1
12,12,5,3:14,U,1,1,4
13,13,5,2:15,L,1,1,2
14,14,2,0:15,L,1,1,4
15,15,5,9:9,R,0,2,2
16,16,5,11:10,U,1,2,3
17,17,5,10:14,U,1,2,1
18,18,2,0:13,L,0,3,3
19,19,5,8:3,D,0,4,1
20,20,3,8:1,D,1,4,2
21,21,5,6:0,D,1,4,3
22,22,5,5:7,R,0,5,1
23,23,5,8:7,R,1,5,1
24,24,5,10:6,R,1,5,2
25,25,5,2:3,L,0,6,1
26,26,5,1:2,D,1,6,2
27,27,3,1:1,L,1,6,1
28,28,3,0:0,D,1,6,1
29,29,2,11:0,D,0,7,1
