chainId,orderForward,color,headX,headY,dir,length,cells
0,27,6,2,8,L,5,2:8;3:8;3:9;2:9;2:10
1,26,5,1,11,U,5,1:11;1:10;0:10;0:9;0:8
2,25,6,1,13,U,5,1:13;1:12;0:12;0:13;0:14
3,24,3,0,15,L,5,0:15;1:15;1:14;2:14;2:15
4,23,5,1,7,D,3,1:7;1:8;1:9
5,22,2,1,2,L,5,1:2;2:2;2:1;1:1;1:0
6,21,3,1,4,R,5,1:4;0:4;0:3;0:2;0:1
7,20,0,1,5,L,4,1:5;2:5;2:4;3:4
8,19,4,1,6,R,3,1:6;0:6;0:5
9,18,6,4,4,D,5,4:4;4:5;4:6;3:6;2:6
10,17,7,4,2,D,4,4:2;4:3;5:3;5:4
11,16,1,6,1,R,5,6:1;5:1;4:1;4:0;3:0
12,15,2,10,2,R,5,10:2;9:2;9:1;10:1;11:1
13,14,5,10,4,U,4,10:4;10:3;11:3;11:2
14,13,1,10,10,U,5,10:10;10:9;10:8;10:7;10:6
15,12,1,10,12,U,5,10:12;10:11;9:11;9:10;8:10
16,11,4,10,14,U,5,10:14;10:13;11:13;11:12;11:11
17,10,4,10,15,R,5,10:15;9:15;9:14;8:14;8:13
18,9,4,11,15,U,2,11:15;11:14
19,8,0,10,5,R,5,10:5;9:5;9:6;8:6;8:5
20,7,7,6,6,U,5,6:6;6:5;7:5;7:4;8:4
21,6,6,6,8,U,4,6:8;6:7;5:7;5:6
22,5,4,7,14,U,5,7:14;7:13;6:13;6:12;6:11
23,4,5,4,9,U,5,4:9;4:8;5:8;5:9;6:9
24,3,2,6,15,U,4,6:15;6:14;5:14;4:14
25,2,0,7,1,D,4,7:1;7:2;8:2;8:3
26,1,2,11,0,R,5,11:0;10:0;9:0;8:0;7:0
27,0,1,3,14,U,5,3:14;3:13;4:13;4:12;3:12
