reverseStep,chainId,length,head,dir,blockedOpeners,afterChoices,blockedRays
0,0,5,9:10,R,0,1,0
1,1,5,11:9,D,1,1,1
2,2,5,12:1,D,1,1,1
3,3,3,13:0,R,1,1,2
4,4,5,11:6,R,0,2,1
5,5,4,11:8,L,1,2,2
6,6,5,7:5,D,1,2,1
7,7,5,6:2,D,1,2,1
8,8,4,6:1,L,1,2,2
9,9,5,5:1,U,1,2,3
10,10,5,3:1,D,1,2,2
11,11,2,2:0,L,1,2,1
12,12,5,2:2,U,1,2,2
13,13,5,3:8,L,1,2,2
14,14,5,1:7,L,1,2,3
15,15,5,0:5,L,1,2,1
16,16,3,5:9,U,0,3,2
17,17,5,5:10,L,1,3,3
18,18,5,2:11,U,1,3,2
19,19,5,5:13,R,1,3,4
20,20,5,7:13,R,1,3,3
21,21,5,9:13,U,1,3,2
22,22,5,11:16,R,1,3,1
23,23,5,11:15,L,1,3,1
24,24,5,5:15,L,1,3,4
25,25,5,2:15,L,1,3,6
26,26,4,1:15,U,1,3,3
27,27,2,1:16,L,1,3,3
28,28,2,0:17,U,1,3,1
29,29,4,9:14,R,0,4,3
30,30,5,13:13,R,1,4,3
31,31,5,2:13,L,0,5,2
32,32,2,0:13,L,1,5,1
33,33,5,7:17,U,0,6,2
34,34,5,3:4,L,0,7,1
35,35,5,1:4,L,1,7,2
36,36,5,0:2,L,1,7,2
37,37,5,13:9,R,0,8,1
