seed,chains,occupied,coverage,plannedSolved,plannedInitial,plannedAvg,plannedMax,greedySolved,greedyInitial,greedyAvg,greedyMax
92010,38,170,0.6746,True,8,3.158,8,True,8,2.895,8
91001,38,171,0.6786,True,10,4.211,10,True,10,4.526,10
97055,38,179,0.7103,True,11,4.868,11,True,11,4.947,11
100082,38,172,0.6825,True,11,3.816,11,True,11,4.289,11
96046,38,178,0.7063,True,11,5.421,11,True,11,6.895,11
94028,38,171,0.6786,True,11,4.105,11,True,11,4.263,11
95037,38,175,0.6944,True,11,6.079,12,True,11,5.447,11
98064,38,172,0.6825,True,14,6.158,14,True,14,7.684,14
93019,38,168,0.6667,True,14,6.053,14,True,14,7.658,14
99073,38,171,0.6786,True,16,5.895,16,True,16,6.184,16
