reverseStep,chainId,length,head,dir,blockedOpeners,afterChoices,blockedRays
0,0,5,4:1,L,0,1,0
1,1,5,2:1,L,1,1,1
2,2,5,1:2,U,1,1,2
3,3,5,4:5,R,1,1,1
4,4,5,8:5,R,1,1,1
5,5,5,9:4,D,1,1,2
6,6,5,8:2,D,1,1,1
7,7,5,9:0,R,1,1,2
8,8,5,1:7,L,0,2,1
9,9,4,0:8,U,1,2,2
10,10,5,1:12,L,1,2,2
11,11,5,1:9,R,1,2,3
12,12,5,3:10,U,1,2,2
13,13,5,3:12,U,1,2,2
14,14,4,5:12,R,1,2,2
15,15,5,8:12,R,1,2,1
16,16,5,9:13,U,1,2,3
17,17,4,6:7,R,0,3,1
18,18,5,8:7,R,1,3,2
19,19,5,9:8,R,0,4,1
20,20,2,6:0,D,0,5,0
