seed,chains,occupied,coverage,plannedSolved,plannedInitial,plannedAvg,plannedMax,greedySolved,greedyInitial,greedyAvg,greedyMax
104118,21,99,0.7071,True,5,1.952,5,True,5,2.333,5
94028,23,109,0.7786,True,6,2.783,6,True,6,3.261,6
95037,23,107,0.7643,True,6,2.522,6,True,6,3.174,6
108154,19,88,0.6286,True,5,1.789,5,True,5,2.105,5
103109,22,103,0.7357,True,7,3.364,7,True,7,4.182,7
99073,21,97,0.6929,True,7,2.667,7,True,7,2.714,7
98064,21,97,0.6929,True,7,2.905,7,True,7,4.286,7
97055,23,109,0.7786,True,8,3.217,8,True,8,5.609,8
107145,24,103,0.7357,True,8,2.458,8,True,8,3.417,8
111181,22,99,0.7071,True,8,3.273,8,True,8,5.455,8
101091,24,117,0.8357,True,9,4.333,9,True,9,5.875,9
106136,24,112,0.8000,True,9,3.292,9,True,9,5.750,9
109163,22,94,0.6714,True,8,2.727,8,True,8,4.273,8
105127,20,94,0.6714,True,8,3.800,8,True,8,5.600,8
92010,22,103,0.7357,True,9,3.955,9,True,9,6.091,9
114208,26,119,0.8500,True,10,4.231,10,True,10,5.615,10
100082,25,113,0.8071,True,10,3.840,10,True,10,6.840,10
112190,21,95,0.6786,True,9,3.762,9,True,9,5.524,9
91001,25,110,0.7857,True,10,4.520,10,True,10,6.640,11
93019,24,105,0.7500,True,10,3.875,10,True,10,6.292,10
113199,26,117,0.8357,True,11,3.885,11,True,11,5.500,11
102100,27,117,0.8357,True,12,5.074,12,True,12,7.074,12
96046,23,102,0.7286,True,12,4.783,12,True,12,7.609,12
110172,26,116,0.8286,True,13,5.615,13,True,13,8.577,13
