chainId,orderForward,color,headX,headY,dir,length,cells
0,14,7,4,10,U,5,4:10;4:9;3:9;3:10;2:10
1,13,1,5,11,R,5,5:11;4:11;3:11;2:11;1:11
2,12,3,6,10,D,5,6:10;6:11;7:11;7:10;7:9
3,11,6,6,2,D,5,6:2;6:3;6:4;6:5;6:6
4,10,4,5,1,L,5,5:1;6:1;6:0;5:0;4:0
5,9,1,3,1,L,5,3:1;4:1;4:2;3:2;2:2
6,8,0,1,1,L,5,1:1;2:1;2:0;1:0;0:0
7,7,5,0,2,U,2,0:2;0:1
8,6,6,1,7,R,5,1:7;0:7;0:8;0:9;0:10
9,5,5,6,7,R,5,6:7;5:7;4:7;3:7;2:7
10,4,7,7,6,D,5,7:6;7:7;7:8;6:8;6:9
11,3,4,7,0,D,5,7:0;7:1;7:2;7:3;7:4
12,2,5,1,5,L,5,1:5;2:5;2:6;1:6;0:6
13,1,0,2,4,L,5,2:4;3:4;4:4;4:5;3:5
14,0,6,0,4,L,5,0:4;1:4;1:3;2:3;3:3
