"rankClass","psgRankScore","processKeep","visualPass","keepCandidate","stsMetricPresent","stsPass","stsKeepCandidate","rejectReasons","slot","sourceIndex","order","section10","mode","styleHint","profileHint","type","specId","levelId","assetPath","path","selected","width","height","sourceCoverage","chains","sourceOpeners","sourceEdgeHeads","solved","processTier","processTierReason","avgChoices","maxChoices","localPatchRun","nearOuterRun","dependencyFollowRun","directionalRisk","stripeRisk","edgeInwardSweepRun","edgeInwardSweepSide","startSideHint","solveVectorRun","solveTraceQualityScore","solveTraceCollapseRiskScore","solveAxisDriftRate","solveSameAxisRunMax","solveSameDirHeadRunMax","solveRegionEntropy","solveRegionCollapseRunMax","solveFrontWidthAvg","solveFrontWidthNarrowRate","dependencyRegionEntropy","dependencyLocalSameRegionRate","dependencySameAxisHeadRate","dependencySameDirHeadRate","dependencyBraidScore","hardStructureV3Class","sourceStatus"
"TraceOrderKeep","2.745","True","False","False","True","True","True","stripeRisk>0.18","1","1","","","","","","sgp_pressure_hard_rect_lock_buckle","sgp_pressure_hard_rect_lock_buckle","sgp_pressure_hard_trial_01_sgp_pressure_hard_rect_lock_buckle","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardTrial/sgp_pressure_hard_trial_01_sgp_pressure_hard_rect_lock_buckle.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardTrial/sgp_pressure_hard_trial_01_sgp_pressure_hard_rect_lock_buckle.asset","1","20","28","0.991","58","1","5","True","A","usable process curve","5.31","8","3","3","3","0.03","0.233","1","B","bottom-edge inward / starts around bottom side","3","0.904","0.094","0.509","4","4","0.995","4","3.569","0.207","0.994","0.351","0.596","0.544","0.349","LocalEasy","Style=PressureHard | Score=13035 | TargetInitial=4 | OpeningRatio=0.017 | EarlyChoices=23.0/52 | LocalRun=7 | Jump=7.1 | NearRate=0.55 | Peel style=PressureHard seed=19861908 fill=555/560(0.991) chains=58 remaining=5 rejectedShort=0 failedPeels=1"
"TraceOrderKeep","2.745","True","False","False","True","True","True","stripeRisk>0.18","5","5","","","","","","sgp_pressure_hard_rect_lock_buckle_a","sgp_pressure_hard_rect_lock_buckle_a","sgp_pressure_hard_review6_01_sgp_pressure_hard_rect_lock_buckle_a","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardReview6/sgp_pressure_hard_review6_01_sgp_pressure_hard_rect_lock_buckle_a.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardReview6/sgp_pressure_hard_review6_01_sgp_pressure_hard_rect_lock_buckle_a.asset","1","20","28","0.991","58","1","5","True","A","usable process curve","5.31","8","3","3","3","0.03","0.233","1","B","bottom-edge inward / starts around bottom side","3","0.904","0.094","0.509","4","4","0.995","4","3.569","0.207","0.994","0.351","0.596","0.544","0.349","LocalEasy","Style=PressureHard | Score=13035 | TargetInitial=4 | OpeningRatio=0.017 | EarlyChoices=23.0/52 | LocalRun=7 | Jump=7.1 | NearRate=0.55 | Peel style=PressureHard seed=19861908 fill=555/560(0.991) chains=58 remaining=5 rejectedShort=0 failedPeels=1"
"TraceOrderKeep","2.732","True","True","True","True","True","True","","14","14","","","","","","sgp_pressure_hard_rect_interfere_lock_buckle_b","sgp_pressure_hard_rect_interfere_lock_buckle_b","sgp_pressure_hard_interference6_04_sgp_pressure_hard_rect_interfere_lock_buckle_b","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterference6/sgp_pressure_hard_interference6_04_sgp_pressure_hard_rect_interfere_lock_buckle_b.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterference6/sgp_pressure_hard_interference6_04_sgp_pressure_hard_rect_interfere_lock_buckle_b.asset","1","22","28","0.985","66","5","6","True","A","usable process curve","5.03","7","4","3","5","0.079","0.104","2","L","left-edge inward / starts around left side","4","0.848","0.072","0.646","4","4","0.991","4","4.47","0.045","0.989","0.541","0.41","0.393","0.248","LocalEasy","Style=PressureHard | Score=-3806 | TargetInitial=5 | OpeningRatio=0.121 | EarlyChoices=27.4/67 | LocalRun=6 | Jump=7.8 | NearRate=0.42 | Peel style=PressureHard seed=12152490 fill=607/616(0.985) chains=66 remaining=9 rejectedShort=0 failedPeels=1 interference=NearDir | FlipGate=ops=5 initial=8->5 edgeHeads=9->6 earlyChoices=24.4/52 localRun=4 jump=6.8 near=0.58 targetInitial=3"
"TraceOrderKeep","2.718","True","True","True","True","True","True","","8","8","","","","","","sgp_pressure_hard_rect_lock_buckle_b","sgp_pressure_hard_rect_lock_buckle_b","sgp_pressure_hard_review6_04_sgp_pressure_hard_rect_lock_buckle_b","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardReview6/sgp_pressure_hard_review6_04_sgp_pressure_hard_rect_lock_buckle_b.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardReview6/sgp_pressure_hard_review6_04_sgp_pressure_hard_rect_lock_buckle_b.asset","1","22","28","0.985","59","2","2","True","A","usable process curve","5.12","8","4","3","3","0.079","0.104","1","L","left-edge inward / starts around left side","3","0.909","0.05","0.586","4","4","0.995","3","3.712","0.136","0.995","0.404","0.509","0.421","0.484","LocalEasy","Style=PressureHard | Score=14031 | TargetInitial=4 | OpeningRatio=0.034 | EarlyChoices=30.8/58 | LocalRun=3 | Jump=9.5 | NearRate=0.29 | Peel style=PressureHard seed=17379940 fill=607/616(0.985) chains=59 remaining=9 rejectedShort=0 failedPeels=1"
"TraceOrderKeep","2.693","True","True","True","True","True","True","","13","13","","","","","","sgp_pressure_hard_rect_interfere_dense_weave_a","sgp_pressure_hard_rect_interfere_dense_weave_a","sgp_pressure_hard_interference6_03_sgp_pressure_hard_rect_interfere_dense_weave_a","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterference6/sgp_pressure_hard_interference6_03_sgp_pressure_hard_rect_interfere_dense_weave_a.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterference6/sgp_pressure_hard_interference6_03_sgp_pressure_hard_rect_interfere_dense_weave_a.asset","1","21","30","0.986","62","4","4","True","B","flow or late-campaign only","4.89","8","5","4","5","0.157","0","2","R","right-edge inward / starts around right side","3","0.888","0.113","0.508","6","4","0.992","4","3.645","0.097","0.995","0.5","0.448","0.379","0.346","LocalEasy","Style=PressureHard | Score=-556 | TargetInitial=4 | OpeningRatio=0.113 | EarlyChoices=31.3/69 | LocalRun=6 | Jump=10.3 | NearRate=0.48 | Peel style=PressureHard seed=17588222 fill=621/630(0.986) chains=62 remaining=9 rejectedShort=0 failedPeels=1 interference=NearDir | FlipGate=ops=4 initial=7->4 edgeHeads=7->4 earlyChoices=24.9/59 localRun=6 jump=9.5 near=0.58 targetInitial=3"
"TraceOrderKeep","2.668","True","True","True","True","True","True","","4","4","","","","","","sgp_pressure_hard_rect_core_burst","sgp_pressure_hard_rect_core_burst","sgp_pressure_hard_trial_04_sgp_pressure_hard_rect_core_burst","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardTrial/sgp_pressure_hard_trial_04_sgp_pressure_hard_rect_core_burst.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardTrial/sgp_pressure_hard_trial_04_sgp_pressure_hard_rect_core_burst.asset","1","20","30","0.99","61","3","7","True","B","flow or late-campaign only","4.93","8","4","4","5","0.155","0.086","1","L","left-edge inward / starts around left side","2","0.805","0.253","0.467","6","6","0.979","6","3.426","0.164","0.981","0.431","0.534","0.448","0.381","LocalEasy","Style=PressureHard | Score=10871 | TargetInitial=4 | OpeningRatio=0.049 | EarlyChoices=22.5/50 | LocalRun=6 | Jump=6.1 | NearRate=0.71 | Peel style=PressureHard seed=3973628 fill=594/600(0.990) chains=61 remaining=6 rejectedShort=0 failedPeels=1"
"TraceOrderKeep","2.655","True","True","True","True","True","True","","6","6","","","","","","sgp_pressure_hard_rect_core_burst_a","sgp_pressure_hard_rect_core_burst_a","sgp_pressure_hard_review6_02_sgp_pressure_hard_rect_core_burst_a","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardReview6/sgp_pressure_hard_review6_02_sgp_pressure_hard_rect_core_burst_a.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardReview6/sgp_pressure_hard_review6_02_sgp_pressure_hard_rect_core_burst_a.asset","1","20","30","0.982","60","1","2","True","B","flow or late-campaign only","4.28","8","6","3","3","0.176","0.075","2","L","left-edge inward / starts around left side","4","0.892","0.145","0.441","5","5","0.992","4","3.15","0.233","0.993","0.492","0.458","0.424","0.301","LocalEasy","Style=PressureHard | Score=16258 | TargetInitial=4 | OpeningRatio=0.017 | EarlyChoices=23.2/45 | LocalRun=8 | Jump=5.7 | NearRate=0.68 | Peel style=PressureHard seed=39248949 fill=589/600(0.982) chains=60 remaining=11 rejectedShort=0 failedPeels=1"
"TraceOrderKeep","2.651","True","True","True","True","True","True","","16","16","","","","","","sgp_pressure_hard_rect_interfere_dense_weave_b","sgp_pressure_hard_rect_interfere_dense_weave_b","sgp_pressure_hard_interference6_06_sgp_pressure_hard_rect_interfere_dense_weave_b","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterference6/sgp_pressure_hard_interference6_06_sgp_pressure_hard_rect_interfere_dense_weave_b.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterference6/sgp_pressure_hard_interference6_06_sgp_pressure_hard_rect_interfere_dense_weave_b.asset","1","20","28","0.979","58","3","4","True","B","flow or late-campaign only","4.88","8","4","4","3","0.109","0.028","2","B","bottom-edge inward / starts around bottom side","3","0.896","0.124","0.526","7","5","0.996","3","3.414","0.086","0.997","0.527","0.436","0.364","0.29","LocalEasy","Style=PressureHard | Score=-8256 | TargetInitial=4 | OpeningRatio=0.103 | EarlyChoices=31.0/72 | LocalRun=6 | Jump=7.8 | NearRate=0.48 | Peel style=PressureHard seed=16257273 fill=548/560(0.979) chains=58 remaining=12 rejectedShort=0 failedPeels=1 interference=NearDir | FlipGate=ops=4 initial=6->3 edgeHeads=7->4 earlyChoices=26.6/55 localRun=4 jump=6.8 near=0.52 targetInitial=3"
"TraceOrderKeep","2.633","True","True","True","True","True","True","","22","22","","","","","","sgp_pressure_hard_rect_interfere_v2_dense_weave_b","sgp_pressure_hard_rect_interfere_v2_dense_weave_b","sgp_pressure_hard_interference_v2_six_06_sgp_pressure_hard_rect_interfere_v2_dense_weave_b","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterferenceV2Six/sgp_pressure_hard_interference_v2_six_06_sgp_pressure_hard_rect_interfere_v2_dense_weave_b.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterferenceV2Six/sgp_pressure_hard_interference_v2_six_06_sgp_pressure_hard_rect_interfere_v2_dense_weave_b.asset","1","20","28","0.975","51","4","5","True","B","flow or late-campaign only","4.65","8","4","4","4","0.109","0.015","1","T","top-edge inward / starts around top side","3","0.883","0.17","0.46","7","5","0.979","4","3.412","0.157","0.976","0.468","0.489","0.404","0.316","LocalEasy","Style=PressureHardFlowSpread | Score=-69132 | TargetInitial=4 | OpeningRatio=0.098 | EarlyChoices=30.6/52 | LocalRun=5 | Jump=8.4 | NearRate=0.42 | FlowRun=4/2 FlowJump=11.0 FlowNear=0.33 FlowSame=2 | Peel style=PressureHardFlowSpread seed=23398845 fill=546/560(0.975) chains=51 remaining=14 rejectedShort=0 failedPeels=1 interference=NearDirV1 | FlipGate=ops=2 initial=5->4 edgeHeads=6->5 earlyChoices=29.5/52 localRun=5 jump=7.5 near=0.45 | FlowRun=4/2 FlowJump=10.4 FlowNear=0.31 FlowSame=1 targetInitial=3"
"TraceOrderKeep","2.627","True","True","True","True","True","True","","12","12","","","","","","sgp_pressure_hard_rect_interfere_core_burst_a","sgp_pressure_hard_rect_interfere_core_burst_a","sgp_pressure_hard_interference6_02_sgp_pressure_hard_rect_interfere_core_burst_a","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterference6/sgp_pressure_hard_interference6_02_sgp_pressure_hard_rect_interfere_core_burst_a.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterference6/sgp_pressure_hard_interference6_02_sgp_pressure_hard_rect_interfere_core_burst_a.asset","1","20","30","0.98","62","7","7","True","B","flow or late-campaign only","5.53","9","5","4","5","0.157","0.061","2","R","right-edge inward / starts around right side","4","0.947","0.037","0.492","4","4","0.995","3","4.081","0.048","0.995","0.418","0.527","0.473","0.308","LocalEasy","Style=PressureHard | Score=-5763 | TargetInitial=4 | OpeningRatio=0.145 | EarlyChoices=32.1/56 | LocalRun=5 | Jump=8.2 | NearRate=0.58 | Peel style=PressureHard seed=35172518 fill=588/600(0.980) chains=62 remaining=12 rejectedShort=0 failedPeels=1 interference=NearDir | FlipGate=ops=3 initial=9->7 edgeHeads=9->7 earlyChoices=31.1/56 localRun=5 jump=8.3 near=0.58 targetInitial=3"
