"selected","levelId","path","source","coverage","chains","portableOpeners","status"
"1","sgp_pressure_hard_trial_01_sgp_pressure_hard_rect_lock_buckle","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardTrial/sgp_pressure_hard_trial_01_sgp_pressure_hard_rect_lock_buckle.asset","trial","0.991","58","1","Style=PressureHard | Score=13035 | TargetInitial=4 | OpeningRatio=0.017 | EarlyChoices=23.0/52 | LocalRun=7 | Jump=7.1 | NearRate=0.55 | Peel style=PressureHard seed=19861908 fill=555/560(0.991) chains=58 remaining=5 rejectedShort=0 failedPeels=1"
"1","sgp_pressure_hard_trial_02_sgp_pressure_hard_rect_section_unlock","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardTrial/sgp_pressure_hard_trial_02_sgp_pressure_hard_rect_section_unlock.asset","trial","0.994","61","1","Style=PressureHard | Score=15084 | TargetInitial=4 | OpeningRatio=0.016 | EarlyChoices=24.3/58 | LocalRun=6 | Jump=6.2 | NearRate=0.58 | Peel style=PressureHard seed=14321447 fill=612/616(0.994) chains=61 remaining=4 rejectedShort=0 failedPeels=1"
"1","sgp_pressure_hard_trial_03_sgp_pressure_hard_rect_dense_weave","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardTrial/sgp_pressure_hard_trial_03_sgp_pressure_hard_rect_dense_weave.asset","trial","0.978","58","3","Style=PressureHard | Score=18341 | TargetInitial=4 | OpeningRatio=0.052 | EarlyChoices=26.4/48 | LocalRun=6 | Jump=6.5 | NearRate=0.65 | Peel style=PressureHard seed=6581677 fill=616/630(0.978) chains=58 remaining=14 rejectedShort=0 failedPeels=1"
"1","sgp_pressure_hard_trial_04_sgp_pressure_hard_rect_core_burst","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardTrial/sgp_pressure_hard_trial_04_sgp_pressure_hard_rect_core_burst.asset","trial","0.990","61","3","Style=PressureHard | Score=10871 | TargetInitial=4 | OpeningRatio=0.049 | EarlyChoices=22.5/50 | LocalRun=6 | Jump=6.1 | NearRate=0.71 | Peel style=PressureHard seed=3973628 fill=594/600(0.990) chains=61 remaining=6 rejectedShort=0 failedPeels=1"
"1","sgp_pressure_hard_review6_01_sgp_pressure_hard_rect_lock_buckle_a","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardReview6/sgp_pressure_hard_review6_01_sgp_pressure_hard_rect_lock_buckle_a.asset","review6","0.991","58","1","Style=PressureHard | Score=13035 | TargetInitial=4 | OpeningRatio=0.017 | EarlyChoices=23.0/52 | LocalRun=7 | Jump=7.1 | NearRate=0.55 | Peel style=PressureHard seed=19861908 fill=555/560(0.991) chains=58 remaining=5 rejectedShort=0 failedPeels=1"
"1","sgp_pressure_hard_review6_02_sgp_pressure_hard_rect_core_burst_a","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardReview6/sgp_pressure_hard_review6_02_sgp_pressure_hard_rect_core_burst_a.asset","review6","0.982","60","1","Style=PressureHard | Score=16258 | TargetInitial=4 | OpeningRatio=0.017 | EarlyChoices=23.2/45 | LocalRun=8 | Jump=5.7 | NearRate=0.68 | Peel style=PressureHard seed=39248949 fill=589/600(0.982) chains=60 remaining=11 rejectedShort=0 failedPeels=1"
"1","sgp_pressure_hard_review6_03_sgp_pressure_hard_rect_dense_weave_a","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardReview6/sgp_pressure_hard_review6_03_sgp_pressure_hard_rect_dense_weave_a.asset","review6","0.978","58","3","Style=PressureHard | Score=18341 | TargetInitial=4 | OpeningRatio=0.052 | EarlyChoices=26.4/48 | LocalRun=6 | Jump=6.5 | NearRate=0.65 | Peel style=PressureHard seed=6581677 fill=616/630(0.978) chains=58 remaining=14 rejectedShort=0 failedPeels=1"
"1","sgp_pressure_hard_review6_04_sgp_pressure_hard_rect_lock_buckle_b","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardReview6/sgp_pressure_hard_review6_04_sgp_pressure_hard_rect_lock_buckle_b.asset","review6","0.985","59","2","Style=PressureHard | Score=14031 | TargetInitial=4 | OpeningRatio=0.034 | EarlyChoices=30.8/58 | LocalRun=3 | Jump=9.5 | NearRate=0.29 | Peel style=PressureHard seed=17379940 fill=607/616(0.985) chains=59 remaining=9 rejectedShort=0 failedPeels=1"
"1","sgp_pressure_hard_review6_05_sgp_pressure_hard_rect_core_burst_b","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardReview6/sgp_pressure_hard_review6_05_sgp_pressure_hard_rect_core_burst_b.asset","review6","0.989","67","2","Style=PressureHard | Score=12860 | TargetInitial=5 | OpeningRatio=0.030 | EarlyChoices=24.2/46 | LocalRun=9 | Jump=6.3 | NearRate=0.61 | Peel style=PressureHard seed=44096011 fill=623/630(0.989) chains=67 remaining=7 rejectedShort=0 failedPeels=1"
"1","sgp_pressure_hard_review6_06_sgp_pressure_hard_rect_dense_weave_b","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardReview6/sgp_pressure_hard_review6_06_sgp_pressure_hard_rect_dense_weave_b.asset","review6","0.982","63","1","Style=PressureHard | Score=18569 | TargetInitial=4 | OpeningRatio=0.016 | EarlyChoices=16.8/31 | LocalRun=4 | Jump=6.5 | NearRate=0.48 | Peel style=PressureHard seed=34575848 fill=550/560(0.982) chains=63 remaining=10 rejectedShort=0 failedPeels=1"
"1","sgp_pressure_hard_interference6_01_sgp_pressure_hard_rect_interfere_lock_buckle_a","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterference6/sgp_pressure_hard_interference6_01_sgp_pressure_hard_rect_interfere_lock_buckle_a.asset","interference6","0.988","58","4","Style=PressureHard | Score=-10618 | TargetInitial=4 | OpeningRatio=0.069 | EarlyChoices=34.7/88 | LocalRun=5 | Jump=7.9 | NearRate=0.55 | Peel style=PressureHard seed=43645391 fill=553/560(0.988) chains=58 remaining=7 rejectedShort=0 failedPeels=1 interference=NearDir | FlipGate=ops=1 initial=4->4 edgeHeads=5->5 earlyChoices=33.3/88 localRun=5 jump=7.9 near=0.55 targetInitial=3"
